spectrum_id,mp_id
spectrum_0000,mp-10092
spectrum_0001,mp-1018685
spectrum_0002,mp-1018723
spectrum_0003,mp-1018724
spectrum_0004,mp-1018741
spectrum_0005,mp-1018798
spectrum_0006,mp-1018900
spectrum_0007,mp-1019275
spectrum_0008,mp-10335
spectrum_0009,mp-1034
spectrum_0010,mp-10428
spectrum_0011,mp-1067210
spectrum_0012,mp-1068
spectrum_0013,mp-1069723
spectrum_0014,mp-1071618
spectrum_0015,mp-1071623
spectrum_0016,mp-1071839
spectrum_0017,mp-1071877
spectrum_0018,mp-1072011
spectrum_0019,mp-1072398
spectrum_0020,mp-1072653
spectrum_0021,mp-1072756
spectrum_0022,mp-1072823
spectrum_0023,mp-1072824
spectrum_0024,mp-1072944
spectrum_0025,mp-1077001
spectrum_0026,mp-1077023
spectrum_0027,mp-1077108
spectrum_0028,mp-1077175
spectrum_0029,mp-1077262
spectrum_0030,mp-1077341
spectrum_0031,mp-1077348
spectrum_0032,mp-1077372
spectrum_0033,mp-1077377
spectrum_0034,mp-1077463
spectrum_0035,mp-1077744
spectrum_0036,mp-1078387
spectrum_0037,mp-1078420
spectrum_0038,mp-1078469
spectrum_0039,mp-1078587
spectrum_0040,mp-1078672
spectrum_0041,mp-1078706
spectrum_0042,mp-1078909
spectrum_0043,mp-1079017
spectrum_0044,mp-1079070
spectrum_0045,mp-1079193
spectrum_0046,mp-1079204
spectrum_0047,mp-1079351
spectrum_0048,mp-1079383
spectrum_0049,mp-1079457
spectrum_0050,mp-1079468
spectrum_0051,mp-1079602
spectrum_0052,mp-1079782
spectrum_0053,mp-1079797
spectrum_0054,mp-1080022
spectrum_0055,mp-1080057
spectrum_0056,mp-1080074
spectrum_0057,mp-1080173
spectrum_0058,mp-1080650
spectrum_0059,mp-1080696
spectrum_0060,mp-1080708
spectrum_0061,mp-1080722
spectrum_0062,mp-1080743
spectrum_0063,mp-1084809
spectrum_0064,mp-1084813
spectrum_0065,mp-1087471
spectrum_0066,mp-10886
spectrum_0067,mp-1091416
spectrum_0068,mp-1092251
spectrum_0069,mp-1095027
spectrum_0070,mp-1095106
spectrum_0071,mp-1095168
spectrum_0072,mp-1095504
spectrum_0073,mp-1095537
spectrum_0074,mp-1095679
spectrum_0075,mp-10966
spectrum_0076,mp-1101077
spectrum_0077,mp-1101786
spectrum_0078,mp-1101915
spectrum_0079,mp-1102046
spectrum_0080,mp-1102243
spectrum_0081,mp-1102345
spectrum_0082,mp-1102607
spectrum_0083,mp-1103053
spectrum_0084,mp-1103118
spectrum_0085,mp-1103166
spectrum_0086,mp-1103249
spectrum_0087,mp-1103291
spectrum_0088,mp-1103352
spectrum_0089,mp-1103426
spectrum_0090,mp-1103457
spectrum_0091,mp-1103484
spectrum_0092,mp-1103519
spectrum_0093,mp-1103557
spectrum_0094,mp-1103650
spectrum_0095,mp-1103698
spectrum_0096,mp-1103827
spectrum_0097,mp-1103905
spectrum_0098,mp-1103973
spectrum_0099,mp-1104057
