energy_eV,Cu,Cu2O,CuO
925.0,0.0,0.0,0.0
925.1,0.0,0.0,0.0
925.2,5.859968734967248e-07,2.2311377160933717e-07,3.5298735311650847e-06
925.3,1.7900690101935318e-06,6.98885558120351e-07,1.0762945471566796e-05
925.4,3.6456844982066227e-06,1.4599102648789504e-06,2.187928353358939e-05
925.5,6.187745796602332e-06,2.542063886381767e-06,3.706589312059647e-05
925.6,9.452635355190187e-06,3.9847452573224395e-06,5.6516915902071266e-05
925.7,1.3478262191508476e-05,5.831129399291598e-06,8.04338321424038e-05
925.8,1.8304109434958236e-05,8.128432734836236e-06,0.00010902566681847013
925.9,2.397128284799777e-05,1.092819044057955e-05,0.00014250919956111264
926.0,3.052256033436304e-05,1.4286546211110204e-05,0.0001811091784557079
926.1,3.8002442444234475e-05,1.826455470533908e-05,0.00022505853773694033
926.2,4.6457203886286664e-05,2.29284969470287e-05,0.0002745986194129734
926.3,5.593494605658162e-05,2.835020895120231e-05,0.00032997939885414567
926.4,6.648565059421057e-05,3.460742384813175e-05,0.0003914597143812876
926.5,7.816123397365681e-05,4.1784127776616434e-05,0.00045930750088889194
926.6,9.101560314379569e-05,4.9970929818247575e-05,0.0005338000275382051
926.7,0.00010510471222346711,5.926544624436384e-05,0.000615224139555467
926.8,0.00012048662026358794,6.977269934740741e-05,0.0007038765041704122
926.9,0.00013722155008569957,8.160553112837657e-05,0.0008000638607301211
927.0,0.0001553719482069332,9.48850321120922e-05,0.0009041032750234693
927.1,0.00017500254586130166,0.00010974098556196647,0.00101632239785123
927.2,0.0001961804211272542,0.0001263123273659814,0.0011370597278770682
927.3,0.00021897506217146716,0.0001447476218655892,0.001266664878794538
927.4,0.00024345843161875663,0.00016520555389922616,0.0014054988508451526
927.5,0.00026970503205810505,0.00018785543733216477,0.0015539343067228052
927.6,0.00029779197269470483,0.00021287774034438358,0.0017123558518995648
927.7,0.0003277990371579536,0.00024046462774816554,0.0018811603194081178
927.8,0.0003598087524753836,0.0002708205206071397,0.002060757059115946
927.9,0.0003939064592223971,0.00030416267342845305,0.0022515682315263413
928.0,0.000430180382857815,0.0003407217691998065,0.002455758674085885
928.1,0.000468721706255131,0.0003807425325430227,0.0026759737626933745
928.2,0.0005096246434394059,0.0004244843612558634,0.0029168432982080877
928.3,0.0005529865145397928,0.00047222197651380086,0.0031852752374596518
928.4,0.000598907821967566,0.0005242460920034532,0.0034819799732435154
928.5,0.0006474923278296329,0.000580864102259402,0.0038069575056606125
928.6,0.00069884713258747,0.0006424007904760516,0.004168010473215377
928.7,0.0007530827549713727,0.0007091990560662609,0.004578377939179826
928.8,0.0008103132131600375,0.0007816206622384483,0.005041462558091489
928.9,0.0008706561072353339,0.0008600470038638801,0.005559453929244739
929.0,0.000934232702922254,0.00094487989590587,0.006155082176252689
929.1,0.0010011680166239797,0.0010365423826825283,0.006855560887491402
929.2,0.0010715909017619482,0.001135479568234804,0.007660890063462086
929.3,0.0011456341364309524,0.001242159468071519,0.008616402558326746
929.4,0.0012234345123791144,0.001357073882563108,0.009788113035143022
929.5,0.0013051329253227313,0.0014807392922557977,0.01120751404758689
929.6,0.0013908744666059332,0.0016136977753778432,0.012991929848518966
929.7,0.0014808085162150244,0.001756517947809576,0.015262697174083796
929.8,0.0015750888371575604,0.0019097959257889652,0.018231549686195503
929.9,0.001673873671215982,0.002074156311624403,0.022239116757494657
930.0,0.0017773258360858169,0.0022502532026864677,0.02759092949930237
930.1,0.0018856128239083314,0.0024387712239502877,0.034625458556607716
930.2,0.001999764537928017,0.0026396551357983017,0.04314744439197266
930.3,0.002119780978178423,0.00285268224442203,0.052378762905393436
930.4,0.0022470619255116064,0.0030778525498214478,0.061361356059861275
930.5,0.002383891232881659,0.0033157975748708797,0.06942123082956397
930.6,0.0025302689003599207,0.003570719778116766,0.07636276185906626
930.7,0.0026861949280367293,0.003845368617000938,0.08225227159137435
930.8,0.002853290168812121,0.004140225354456271,0.08720781311291731
930.9,0.003036687323318098,0.0044568195763896425,0.09137179704358896
931.0,0.0032363863917312954,0.004800686826292573,0.09489155309055755
931.1,0.0034523873742700593,0.005177717877260891,0.09789968909577022
931.2,0.0036923846529912817,0.0055897679060714,0.10052975373434837
931.3,0.003961950021931937,0.006044845088951628,0.10287371299775708
931.4,0.004261083481490996,0.006553808740984621,0.1049898216826635
931.5,0.004600960521284267,0.007124463692069388,0.10694003683465511
931.6,0.004997662943328855,0.007773448554650125,0.10876652473537611
931.7,0.0054511907483237795,0.00852045270933083,0.11051702809013395
931.8,0.006002355325049787,0.009384499071346485,0.11223382202867078
931.9,0.00666625129744029,0.010411673480824075,0.11395715355948936
932.0,0.007498048292379827,0.011659201574250355,0.11572903698846494
932.1,0.00854667031896386,0.013208254718014376,0.11758433823448206
932.2,0.009910891306445109,0.015168125047655665,0.11955814015869833
932.3,0.011670459670628231,0.017649921451539888,0.12167678786866015
932.4,0.013832572706334534,0.02087937652085201,0.1239487097505765
932.5,0.01632049175799175,0.024995193499191902,0.12638340869506867
932.6,0.019017907841999283,0.030008995315799623,0.12896095254016157
932.7,0.021818056212530433,0.03573731023637115,0.13164786211204704
932.8,0.024645042021770893,0.04190904668741398,0.1344217895028067
932.9,0.027444889535309817,0.0482959436515905,0.13722503451700727
933.0,0.030189291049086374,0.054602917988983146,0.14000485481275501
933.1,0.03286158863396825,0.06065132820159795,0.14275912389772358
933.2,0.035451313862628286,0.0663837654499079,0.1454837600435064
933.3,0.03795567133412902,0.07180970482541385,0.1481771820772953
933.4,0.04037501059463736,0.07698385529024647,0.15088171709597736
933.5,0.04271096524353194,0.08195949655685178,0.15366051974458536
933.6,0.044968296431537574,0.08676905363217322,0.1565186553845236
933.7,0.04714914323468086,0.09140084305407566,0.15941984303020976
933.8,0.04926083955723876,0.09582325303068116,0.16231670633485162
933.9,0.05130428524020733,0.10000325869337033,0.16520418462216643
934.0,0.05328795467467263,0.10393386574797947,0.16797913078267954
934.1,0.055212034740037136,0.10762640347554667,0.1705087549007828
934.2,0.05708568145903052,0.11111881407665784,0.17279305736646894
934.3,0.05890889485975349,0.11446790332066191,0.1748312163730641
934.4,0.060690015026578246,0.11773087726019114,0.1766220444388289
934.5,0.06243017927461766,0.120978301858526,0.17816546959646107
934.6,0.06413602370991067,0.12425665951438038,0.17949472386464882
934.7,0.06581144574876292,0.12759071308255363,0.18066927233157787
934.8,0.0674592239965392,0.1310212453274382,0.1817078598955341
934.9,0.06908769417737465,0.13455971122928326,0.18262166381922534
935.0,0.07069685635131881,0.1381897465098313,0.18344598857386266
935.1,0.07229605571329618,0.14189202281645177,0.1842082737210884
935.2,0.07388840737976182,0.14562125059764325,0.18490852017927192
935.3,0.07547592652448325,0.1493111842369283,0.18556077902435855
935.4,0.07707209885530007,0.15292272074564814,0.18618636974679786
935.5,0.07867692447135806,0.1564347319693921,0.18678793930844276
935.6,0.08029900833253208,0.1598226382920625,0.18736797871601463
935.7,0.08195180942796276,0.16308039538418062,0.18793602313210978
935.8,0.08363532788967944,0.16621430329733894,0.18850049173634784
935.9,0.08536709727044396,0.16923061264988795,0.18906138611933862
936.0,0.08716330241333123,0.1721391729261792,0.18962100427504403
936.1,0.08902394349242826,0.17494882395629566,0.19018425138380424
936.2,0.0909695459343253,0.17766691604421678,0.19075352163296552
936.3,0.09301831157172939,0.18030297569393522,0.19132881716476327
936.4,0.09517024063207133,0.1828647499532877,0.19191260713480007
936.5,0.09742308078979246,0.18535860128516934,0.19250921302113683
936.6,0.09977372161836218,0.1877934576878596,0.1931198974602811
936.7,0.10222216341234454,0.19017763240734306,0.19374466330674386
936.8,0.1047518053085247,0.19251903996363337,0.19438797276021688
936.9,0.10729187418790209,0.1948245529336074,0.19505731891031974
937.0,0.10984237042891319,0.1971006481008035,0.19575454463392566
937.1,0.11240329444225287,0.1993558254208802,0.19647965369701945
937.2,0.11491045066889213,0.20159390194045362,0.19723866576146806
937.3,0.1173516117809819,0.2038149380455871,0.19804272332412662
937.4,0.11972677830088334,0.2060190552912576,0.19889574031071897
937.5,0.12203231232684125,0.2082063102283647,0.1997977216438704
937.6,0.12426201924236224,0.21037189000322293,0.20075471745546578
937.7,0.1264158997071878,0.21250468118174887,0.20178162965566226
937.8,0.12849395443339579,0.21459581756051127,0.20288750755369464
937.9,0.1305078928236442,0.2166410573810914,0.2040723575284849
938.0,0.1324612130900609,0.21863689589379628,0.20533491867827697
938.1,0.13435391612416822,0.22057641029244596,0.2066662639834808
938.2,0.13618701986461373,0.22245512781914886,0.20805648090343118
938.3,0.13797984794632992,0.22427246928593997,0.20950557763723426
938.4,0.13973240147867041,0.22603505875228194,0.211013562904462
938.5,0.1414446816532837,0.22774879851633378,0.21255578442018028
938.6,0.14312191597946694,0.2294152876656611,0.21408762636376963
938.7,0.14478376640937807,0.23103885456022583,0.21559450358034143
938.8,0.14643023441447758,0.23262585125438692,0.21707642717186693
938.9,0.14806132157148064,0.23418473579510088,0.2185328255577633
939.0,0.1496840796501351,0.2357194860742312,0.21995862766238214
939.1,0.15131966070134106,0.2372318274172233,0.22134793904911335
939.2,0.15296806665814885,0.23872654080242642,0.2227007737535452
939.3,0.15462929958710886,0.24020780710686165,0.22401714664286174
939.4,0.1563076678491472,0.2416771976178899,0.22530167842335672
939.5,0.15802578110481771,0.24313498205015951,0.22656684924821574
939.6,0.15978364187081004,0.24458284604632372,0.22782110643000367
939.7,0.1615812528318218,0.24602231832045532,0.22906446860935342
939.8,0.16341861685029235,0.2474536701966546,0.23029695549191628
939.9,0.1653053985027022,0.24887746559557766,0.2315169969933166
940.0,0.16724200360169703,0.2502950113521531,0.23272144306941817
940.1,0.16922843560623219,0.25170886446501106,0.23390897041833308
940.2,0.17126469819692944,0.25312031587198286,0.23507960355720028
940.3,0.17333929010417953,0.25452997864031524,0.2362333683556489
940.4,0.1754454584765567,0.25593986106112804,0.23736889706830652
940.5,0.1775832077360298,0.25735447748239837,0.23848363550792678
940.6,0.17975254257915396,0.25877714808047403,0.23957670742569426
940.7,0.18194890172360317,0.2602085538788926,0.2406481447765175
940.8,0.18415148857140717,0.26165129640806717,0.24169798121936822
940.9,0.1863603087344528,0.2631093791839975,0.24272680888138978
941.0,0.18857536816261217,0.2645885567561448,0.2437357750195139
941.1,0.1907966731614215,0.2660916569741983,0.24472539006423377
941.2,0.1930122780359193,0.26761920619150537,0.24569569531237875
941.3,0.19521454817704537,0.26917319246864935,0.24664673419201014
941.4,0.19740349107141678,0.2707578012782857,0.2475800234124134
941.5,0.19957911464019304,0.27237619569253013,0.24849951466168763
941.6,0.20174142726098715,0.2740291093000138,0.24940784383957595
941.7,0.20387810330075454,0.2757161580592985,0.25030506389246415
941.8,0.20598793222493272,0.27743652425329735,0.25119123041382146
941.9,0.20807092392153437,0.27918836138538194,0.25206678313255115
942.0,0.2101270888324124,0.2809706880975609,0.2529348622113603
942.1,0.2121561448537948,0.2827834362706629,0.2537990564521755
942.2,0.21415546547940903,0.28462630345834755,0.25465943323093687
942.3,0.21612506297887116,0.2864898103862989,0.2555160631900437
942.4,0.21806495029031753,0.2883638357342943,0.25636902037609194
942.5,0.2199751410520619,0.2902457688082341,0.25721901719797036
942.6,0.22185638692508003,0.2921356096081184,0.25806727088447606
942.7,0.22371257381830142,0.2940310838345315,0.2589142246396956
