material_id,site_index,edge,energy_eV,intensity
mp-10092,1,L2,952.782,0.0819302
mp-10092,1,L2,953.246,0.096366
mp-10092,1,L2,953.66,0.114751
mp-10092,1,L2,954.026,0.138318
mp-10092,1,L2,954.343,0.168475
mp-10092,1,L2,954.611,0.206209
mp-10092,1,L2,954.831,0.250476
mp-10092,1,L2,955.001,0.296256
mp-10092,1,L2,955.021,0.30217
mp-10092,1,L2,955.121,0.334832
mp-10092,1,L2,955.221,0.373123
mp-10092,1,L2,955.321,0.410972
mp-10092,1,L2,955.421,0.448611
mp-10092,1,L2,955.521,0.48658
mp-10092,1,L2,955.621,0.525298
mp-10092,1,L2,955.714,0.563319
mp-10092,1,L2,955.83,0.612472
mp-10092,1,L2,955.958,0.671188
mp-10092,1,L2,956.099,0.740651
mp-10092,1,L2,956.251,0.820641
mp-10092,1,L2,956.415,0.910115
mp-10092,1,L2,956.592,1.00878
mp-10092,1,L2,956.781,1.11595
mp-10092,1,L2,956.982,1.22426
mp-10092,1,L2,957.196,1.31641
mp-10092,1,L2,957.421,1.37379
mp-10092,1,L2,957.659,1.38831
mp-10092,1,L2,957.909,1.36703
mp-10092,1,L2,958.171,1.32594
mp-10092,1,L2,958.445,1.27868
mp-10092,1,L2,958.732,1.23191
mp-10092,1,L2,959.031,1.18822
mp-10092,1,L2,959.342,1.14881
mp-10092,1,L2,959.665,1.11318
mp-10092,1,L2,960.0,1.07873
mp-10092,1,L2,960.347,1.04343
mp-10092,1,L2,960.707,1.00754
mp-10092,1,L2,961.079,0.969794
mp-10092,1,L2,961.463,0.926773
mp-10092,1,L2,961.859,0.882717
mp-10092,1,L2,962.268,0.849362
mp-10092,1,L2,962.688,0.82967
mp-10092,1,L2,963.121,0.817467
mp-10092,1,L2,963.566,0.808212
mp-10092,1,L2,964.023,0.795775
mp-10092,1,L2,964.493,0.776606
mp-10092,1,L2,964.974,0.753942
mp-10092,1,L2,965.468,0.736791
mp-10092,1,L2,965.974,0.734498
mp-10092,1,L2,966.492,0.750479
mp-10092,1,L2,967.022,0.779346
mp-10092,1,L2,967.565,0.808984
mp-10092,1,L2,968.12,0.828534
mp-10092,1,L2,968.687,0.834467
mp-10092,1,L2,969.266,0.831454
mp-10092,1,L2,969.857,0.829693
mp-10092,1,L2,970.461,0.837574
mp-10092,1,L2,971.076,0.857108
mp-10092,1,L2,971.704,0.886457
mp-10092,1,L2,972.344,0.92289
mp-10092,1,L2,972.997,0.960438
mp-10092,1,L2,973.661,0.991877
mp-10092,1,L2,974.338,1.01491
mp-10092,1,L2,975.027,1.03123
mp-10092,1,L2,975.728,1.04065
mp-10092,1,L2,976.441,1.04581
mp-10092,1,L2,977.166,1.04713
mp-10092,1,L2,977.904,1.04616
mp-10092,1,L2,978.654,1.04441
mp-10092,1,L2,979.416,1.0431
mp-10092,1,L2,980.19,1.04272
mp-10092,1,L2,980.976,1.04348
mp-10092,1,L2,981.775,1.04548
mp-10092,1,L2,982.586,1.04839
mp-10092,1,L2,983.408,1.0519
mp-10092,1,L2,984.244,1.05525
mp-10092,1,L2,985.091,1.05804
mp-10092,1,L2,985.95,1.05979
mp-10092,1,L2,986.822,1.06013
mp-10092,1,L2,987.706,1.05899
mp-10092,1,L2,988.602,1.05649
mp-10092,1,L2,989.511,1.05333
mp-10092,1,L2,990.431,1.05023
mp-10092,1,L2,991.364,1.04789
mp-10092,1,L2,992.309,1.04682
mp-10092,1,L2,993.266,1.04748
mp-10092,1,L2,994.235,1.05021
mp-10092,1,L2,995.216,1.05478
mp-10092,1,L2,996.21,1.06029
mp-10092,1,L2,997.216,1.06514
mp-10092,1,L2,998.234,1.06745
mp-10092,1,L2,999.264,1.06559
mp-10092,1,L2,1000.307,1.05852
mp-10092,1,L2,1001.361,1.0464
mp-10092,1,L2,1002.428,1.03038
mp-10092,1,L2,1003.507,1.0124
mp-10092,1,L2,1004.598,0.994602
mp-10092,1,L2,1005.701,0.978888
mp-10092,1,L2,1006.817,0.966835
mp-10092,1,L2,1007.945,0.959468
mp-10092,1,L3,932.814,0.0431381
mp-10092,1,L3,933.278,0.0515069
mp-10092,1,L3,933.692,0.0624417
mp-10092,1,L3,934.058,0.0770451
mp-10092,1,L3,934.375,0.097076
mp-10092,1,L3,934.643,0.12536
mp-10092,1,L3,934.863,0.165854
mp-10092,1,L3,935.033,0.220578
mp-10092,1,L3,935.053,0.228807
mp-10092,1,L3,935.153,0.278662
mp-10092,1,L3,935.253,0.340879
mp-10092,1,L3,935.353,0.399489
mp-10092,1,L3,935.453,0.448165
mp-10092,1,L3,935.553,0.48789
mp-10092,1,L3,935.653,0.524295
mp-10092,1,L3,935.746,0.560693
mp-10092,1,L3,935.862,0.612395
mp-10092,1,L3,935.99,0.683811
mp-10092,1,L3,936.131,0.78001
mp-10092,1,L3,936.283,0.894626
mp-10092,1,L3,936.447,1.01147
mp-10092,1,L3,936.624,1.13598
mp-10092,1,L3,936.813,1.29629
mp-10092,1,L3,937.014,1.48629
mp-10092,1,L3,937.228,1.6455
mp-10092,1,L3,937.453,1.71909
mp-10092,1,L3,937.691,1.69773
mp-10092,1,L3,937.941,1.61477
mp-10092,1,L3,938.203,1.51895
mp-10092,1,L3,938.477,1.43534
mp-10092,1,L3,938.764,1.36263
mp-10092,1,L3,939.063,1.29957
mp-10092,1,L3,939.374,1.24708
mp-10092,1,L3,939.697,1.2041
mp-10092,1,L3,940.032,1.16317
mp-10092,1,L3,940.379,1.11817
mp-10092,1,L3,940.739,1.07434
mp-10092,1,L3,941.111,1.03161
mp-10092,1,L3,941.495,0.975536
mp-10092,1,L3,941.891,0.911203
mp-10092,1,L3,942.3,0.868529
mp-10092,1,L3,942.72,0.850931
mp-10092,1,L3,943.153,0.840418
mp-10092,1,L3,943.598,0.833526
mp-10092,1,L3,944.055,0.82212
mp-10092,1,L3,944.525,0.797246
mp-10092,1,L3,945.006,0.763214
mp-10092,1,L3,945.5,0.735186
mp-10092,1,L3,946.006,0.728559
mp-10092,1,L3,946.524,0.748788
mp-10092,1,L3,947.054,0.788116
mp-10092,1,L3,947.597,0.827427
mp-10092,1,L3,948.152,0.850535
mp-10092,1,L3,948.719,0.853149
mp-10092,1,L3,949.298,0.842103
mp-10092,1,L3,949.889,0.833074
mp-10092,1,L3,950.493,0.838117
mp-10092,1,L3,951.108,0.858497
mp-10092,1,L3,951.736,0.890742
mp-10092,1,L3,952.376,0.931971
mp-10092,1,L3,953.029,0.974456
mp-10092,1,L3,953.693,1.00798
mp-10092,1,L3,954.37,1.03079
mp-10092,1,L3,955.059,1.04664
mp-10092,1,L3,955.76,1.05567
mp-10092,1,L3,956.473,1.06024
mp-10092,1,L3,957.198,1.06037
mp-10092,1,L3,957.936,1.05784
mp-10092,1,L3,958.686,1.05453
mp-10092,1,L3,959.448,1.05188
mp-10092,1,L3,960.222,1.05046
mp-10092,1,L3,961.008,1.05048
mp-10092,1,L3,961.807,1.05203
mp-10092,1,L3,962.618,1.05471
mp-10092,1,L3,963.44,1.05813
mp-10092,1,L3,964.276,1.06143
mp-10092,1,L3,965.123,1.06417
mp-10092,1,L3,965.982,1.0658
mp-10092,1,L3,966.854,1.06583
mp-10092,1,L3,967.738,1.06417
mp-10092,1,L3,968.634,1.06093
mp-10092,1,L3,969.543,1.05691
mp-10092,1,L3,970.463,1.053
mp-10092,1,L3,971.396,1.04992
mp-10092,1,L3,972.341,1.0483
mp-10092,1,L3,973.298,1.04866
mp-10092,1,L3,974.267,1.05147
mp-10092,1,L3,975.248,1.05659
mp-10092,1,L3,976.242,1.06298
mp-10092,1,L3,977.248,1.06885
mp-10092,1,L3,978.266,1.07205
mp-10092,1,L3,979.296,1.07058
mp-10092,1,L3,980.339,1.06326
mp-10092,1,L3,981.393,1.05021
mp-10092,1,L3,982.46,1.03276
