energy_eV,Cu,Cu2O,CuO
925.0,0.0,0.0,0.0
925.1,0.0,0.0,0.0
925.2,5.85996873496653e-07,2.2311377160933722e-07,3.5298735311649174e-06
925.3,1.7900690101933042e-06,6.988855581200674e-07,1.0762945471566342e-05
925.4,3.645684498206226e-06,1.4599102648785527e-06,2.1879283533588872e-05
925.5,6.187745796601894e-06,2.5420638863811304e-06,3.7065893120595856e-05
925.6,9.452635355189555e-06,3.984745257321545e-06,5.651691590207043e-05
925.7,1.3478262191507541e-05,5.8311293992905674e-06,8.043383214240274e-05
925.8,1.8304109434957017e-05,8.12843273483514e-06,0.00010902566681846884
925.9,2.3971282847996406e-05,1.0928190440578435e-05,0.00014250919956111126
926.0,3.052256033436145e-05,1.4286546211108919e-05,0.0001811091784557065
926.1,3.800244244423275e-05,1.8264554705337548e-05,0.00022505853773693884
926.2,4.6457203886284645e-05,2.2928496947027035e-05,0.00027459861941297184
926.3,5.593494605657932e-05,2.835020895120064e-05,0.00032997939885414393
926.4,6.648565059420813e-05,3.460742384812997e-05,0.00039145971438128566
926.5,7.816123397365408e-05,4.178412777661463e-05,0.0004593075008888898
926.6,9.101560314379276e-05,4.997092981824553e-05,0.000533800027538203
926.7,0.00010510471222346391,5.926544624436153e-05,0.0006152241395554648
926.8,0.00012048662026358462,6.9772699347405e-05,0.0007038765041704098
926.9,0.00013722155008569624,8.160553112837411e-05,0.0008000638607301186
927.0,0.00015537194820692955,9.488503211208956e-05,0.0009041032750234669
927.1,0.00017500254586129795,0.00010974098556196356,0.0010163223978512273
927.2,0.00019618042112725021,0.00012631232736597822,0.0011370597278770654
927.3,0.00021897506217146302,0.00014474762186558583,0.001266664878794535
927.4,0.00024345843161875224,0.0001652055538992228,0.0014054988508451498
927.5,0.0002697050320581004,0.0001878554373321613,0.0015539343067228024
927.6,0.0002977919726947001,0.00021287774034437992,0.0017123558518995618
927.7,0.00032779903715794874,0.0002404646277481616,0.0018811603194081143
927.8,0.00035980875247537843,0.0002708205206071355,0.002060757059115942
927.9,0.0003939064592223918,0.0003041626734284486,0.0022515682315263374
928.0,0.00043018038285780964,0.0003407217691998018,0.002455758674085881
928.1,0.0004687217062551256,0.0003807425325430178,0.002675973762693371
928.2,0.0005096246434394004,0.0004244843612558582,0.0029168432982080834
928.3,0.0005529865145397872,0.0004722219765137957,0.003185275237459647
928.4,0.0005989078219675602,0.0005242460920034477,0.0034819799732435106
928.5,0.0006474923278296268,0.0005808641022593963,0.0038069575056606077
928.6,0.0006988471325874638,0.000642400790476046,0.004168010473215371
928.7,0.0007530827549713663,0.0007091990560662551,0.00457837793917982
928.8,0.0008103132131600309,0.0007816206622384425,0.005041462558091484
928.9,0.0008706561072353273,0.000860047003863874,0.005559453929244734
929.0,0.0009342327029222474,0.000944879895905864,0.006155082176252683
929.1,0.001001168016623973,0.0010365423826825223,0.0068555608874913965
929.2,0.0010715909017619412,0.0011354795682347978,0.007660890063462081
929.3,0.0011456341364309453,0.0012421594680715126,0.008616402558326741
929.4,0.001223434512379107,0.0013570738825631013,0.009788113035143016
929.5,0.0013051329253227237,0.001480739292255791,0.011207514047586882
929.6,0.0013908744666059256,0.0016136977753778367,0.012991929848518961
929.7,0.0014808085162150164,0.0017565179478095693,0.015262697174083791
929.8,0.0015750888371575521,0.001909795925788958,0.018231549686195496
929.9,0.0016738736712159736,0.002074156311624396,0.022239116757494654
930.0,0.0017773258360858084,0.0022502532026864607,0.027590929499302363
930.1,0.0018856128239083225,0.0024387712239502804,0.03462545855660771
930.2,0.001999764537928008,0.002639655135798295,0.043147444391972656
930.3,0.0021197809781784136,0.002852682244422023,0.052378762905393436
930.4,0.0022470619255115965,0.003077852549821441,0.061361356059861275
930.5,0.002383891232881649,0.0033157975748708724,0.06942123082956397
930.6,0.0025302689003599108,0.003570719778116758,0.07636276185906626
930.7,0.0026861949280367193,0.00384536861700093,0.08225227159137435
930.8,0.002853290168812111,0.004140225354456263,0.08720781311291731
930.9,0.0030366873233180877,0.004456819576389635,0.09137179704358896
931.0,0.0032363863917312845,0.004800686826292564,0.09489155309055755
931.1,0.0034523873742700485,0.005177717877260882,0.09789968909577022
931.2,0.0036923846529912704,0.005589767906071392,0.10052975373434837
931.3,0.003961950021931926,0.00604484508895162,0.10287371299775708
931.4,0.004261083481490985,0.006553808740984614,0.1049898216826635
931.5,0.004600960521284256,0.00712446369206938,0.10694003683465511
931.6,0.004997662943328844,0.007773448554650118,0.10876652473537611
931.7,0.005451190748323768,0.008520452709330821,0.11051702809013395
931.8,0.006002355325049776,0.009384499071346478,0.11223382202867078
931.9,0.006666251297440278,0.010411673480824068,0.11395715355948936
932.0,0.007498048292379815,0.01165920157425035,0.11572903698846494
932.1,0.00854667031896385,0.01320825471801437,0.11758433823448206
932.2,0.009910891306445097,0.01516812504765566,0.11955814015869833
932.3,0.011670459670628219,0.01764992145153988,0.12167678786866015
932.4,0.013832572706334522,0.020879376520852005,0.1239487097505765
932.5,0.01632049175799174,0.024995193499191902,0.12638340869506867
932.6,0.01901790784199927,0.030008995315799626,0.12896095254016157
932.7,0.021818056212530423,0.03573731023637116,0.13164786211204704
932.8,0.02464504202177088,0.041909046687413985,0.1344217895028067
932.9,0.027444889535309804,0.048295943651590505,0.13722503451700727
933.0,0.030189291049086363,0.05460291798898315,0.14000485481275501
933.1,0.032861588633968236,0.06065132820159796,0.14275912389772358
933.2,0.03545131386262828,0.06638376544990791,0.1454837600435064
933.3,0.03795567133412901,0.07180970482541386,0.1481771820772953
933.4,0.04037501059463735,0.07698385529024648,0.15088171709597736
933.5,0.04271096524353193,0.0819594965568518,0.15366051974458536
933.6,0.04496829643153756,0.08676905363217323,0.1565186553845236
933.7,0.04714914323468085,0.09140084305407567,0.15941984303020976
933.8,0.049260839557238756,0.09582325303068118,0.16231670633485162
933.9,0.05130428524020732,0.10000325869337034,0.16520418462216643
934.0,0.05328795467467262,0.10393386574797948,0.16797913078267954
934.1,0.05521203474003712,0.1076264034755467,0.1705087549007828
934.2,0.05708568145903051,0.11111881407665786,0.17279305736646894
934.3,0.05890889485975348,0.11446790332066194,0.1748312163730641
934.4,0.06069001502657824,0.11773087726019117,0.1766220444388289
934.5,0.06243017927461764,0.12097830185852602,0.17816546959646107
934.6,0.06413602370991066,0.1242566595143804,0.17949472386464882
934.7,0.06581144574876292,0.12759071308255365,0.18066927233157787
934.8,0.06745922399653918,0.13102124532743822,0.1817078598955341
934.9,0.06908769417737462,0.13455971122928329,0.18262166381922534
935.0,0.07069685635131878,0.1381897465098313,0.18344598857386266
935.1,0.07229605571329617,0.1418920228164518,0.1842082737210884
935.2,0.0738884073797618,0.14562125059764328,0.18490852017927192
935.3,0.07547592652448322,0.14931118423692832,0.18556077902435855
935.4,0.07707209885530004,0.15292272074564817,0.18618636974679786
935.5,0.07867692447135803,0.15643473196939212,0.18678793930844276
935.6,0.08029900833253205,0.15982263829206253,0.18736797871601463
935.7,0.08195180942796274,0.16308039538418065,0.18793602313210978
935.8,0.08363532788967941,0.16621430329733897,0.18850049173634784
935.9,0.08536709727044395,0.16923061264988798,0.18906138611933862
936.0,0.0871633024133312,0.17213917292617925,0.18962100427504403
936.1,0.08902394349242825,0.17494882395629568,0.19018425138380424
936.2,0.09096954593432528,0.1776669160442168,0.19075352163296552
936.3,0.09301831157172938,0.18030297569393525,0.19132881716476327
936.4,0.0951702406320713,0.18286474995328772,0.19191260713480007
936.5,0.09742308078979244,0.18535860128516937,0.19250921302113683
936.6,0.09977372161836215,0.18779345768785963,0.1931198974602811
936.7,0.10222216341234452,0.1901776324073431,0.19374466330674384
936.8,0.10475180530852467,0.1925190399636334,0.19438797276021685
936.9,0.10729187418790208,0.19482455293360743,0.19505731891031972
937.0,0.10984237042891316,0.19710064810080352,0.19575454463392564
937.1,0.11240329444225286,0.19935582542088026,0.19647965369701942
937.2,0.11491045066889212,0.20159390194045365,0.19723866576146803
937.3,0.11735161178098188,0.20381493804558715,0.1980427233241266
937.4,0.11972677830088332,0.20601905529125764,0.19889574031071897
937.5,0.12203231232684122,0.20820631022836472,0.19979772164387039
937.6,0.12426201924236221,0.21037189000322298,0.20075471745546575
937.7,0.12641589970718778,0.2125046811817489,0.20178162965566224
937.8,0.12849395443339576,0.2145958175605113,0.20288750755369464
937.9,0.13050789282364417,0.21664105738109146,0.2040723575284849
938.0,0.13246121309006087,0.21863689589379634,0.20533491867827697
938.1,0.1343539161241682,0.220576410292446,0.2066662639834808
938.2,0.1361870198646137,0.2224551278191489,0.20805648090343118
938.3,0.1379798479463299,0.22427246928594002,0.20950557763723426
938.4,0.13973240147867041,0.22603505875228197,0.211013562904462
938.5,0.14144468165328364,0.2277487985163338,0.21255578442018028
938.6,0.14312191597946688,0.22941528766566113,0.21408762636376963
938.7,0.14478376640937804,0.23103885456022588,0.21559450358034143
938.8,0.14643023441447753,0.23262585125438698,0.21707642717186693
938.9,0.1480613215714806,0.2341847357951009,0.2185328255577633
939.0,0.14968407965013505,0.23571948607423127,0.21995862766238214
939.1,0.15131966070134104,0.23723182741722335,0.22134793904911335
939.2,0.1529680666581488,0.23872654080242647,0.2227007737535452
939.3,0.1546292995871088,0.24020780710686168,0.22401714664286174
939.4,0.15630766784914715,0.24167719761788992,0.22530167842335672
939.5,0.1580257811048177,0.24313498205015954,0.22656684924821574
939.6,0.15978364187080998,0.24458284604632374,0.22782110643000367
939.7,0.16158125283182173,0.24602231832045535,0.22906446860935342
939.8,0.16341861685029233,0.24745367019665465,0.23029695549191628
939.9,0.16530539850270215,0.24887746559557772,0.2315169969933166
940.0,0.16724200360169697,0.25029501135215315,0.23272144306941817
940.1,0.16922843560623213,0.2517088644650111,0.23390897041833308
940.2,0.17126469819692938,0.2531203158719829,0.23507960355720028
940.3,0.17333929010417948,0.2545299786403153,0.2362333683556489
940.4,0.17544545847655665,0.2559398610611281,0.23736889706830652
940.5,0.17758320773602976,0.25735447748239837,0.23848363550792678
940.6,0.1797525425791539,0.25877714808047403,0.23957670742569426
940.7,0.18194890172360315,0.26020855387889263,0.2406481447765175
940.8,0.18415148857140712,0.2616512964080672,0.24169798121936822
940.9,0.18636030873445275,0.2631093791839975,0.24272680888138978
941.0,0.1885753681626121,0.26458855675614484,0.2437357750195139
941.1,0.19079667316142143,0.26609165697419834,0.24472539006423377
941.2,0.19301227803591925,0.2676192061915054,0.24569569531237875
941.3,0.1952145481770453,0.2691731924686494,0.24664673419201014
941.4,0.19740349107141675,0.2707578012782857,0.2475800234124134
941.5,0.19957911464019298,0.2723761956925302,0.24849951466168763
941.6,0.2017414272609871,0.27402910930001384,0.24940784383957595
941.7,0.2038781033007545,0.27571615805929856,0.25030506389246415
941.8,0.20598793222493267,0.27743652425329735,0.25119123041382146
941.9,0.2080709239215343,0.279188361385382,0.25206678313255115
942.0,0.21012708883241235,0.28097068809756093,0.2529348622113603
942.1,0.21215614485379475,0.28278343627066294,0.2537990564521755
942.2,0.21415546547940897,0.2846263034583476,0.25465943323093687
942.3,0.2161250629788711,0.28648981038629895,0.2555160631900437
942.4,0.21806495029031747,0.28836383573429436,0.25636902037609194
942.5,0.21997514105206184,0.29024576880823416,0.25721901719797036
942.6,0.22185638692508,0.29213560960811846,0.25806727088447606
942.7,0.2237125738183014,0.2940310838345316,0.2589142246396956
