spectrum_id,mp_id,cu_oxidation_state,status,reason,evidence
spectrum_0000,mp-10092,1.0,assigned,,query_snapshot.json:material_id=mp-10092; method=None
spectrum_0001,mp-1018685,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1018685; method=None
spectrum_0002,mp-1018723,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1018723; method=None
spectrum_0003,mp-1018724,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1018724; method=None
spectrum_0004,mp-1018741,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1018741; method=None
spectrum_0005,mp-1018798,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1018798; method=None
spectrum_0006,mp-1018900,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1018900; method=None
spectrum_0007,mp-1019275,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1019275; method=None
spectrum_0008,mp-10335,2.0,assigned,,query_snapshot.json:material_id=mp-10335; method=None
spectrum_0009,mp-1034,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1034; method=None
spectrum_0010,mp-10428,1.0,assigned,,query_snapshot.json:material_id=mp-10428; method=None
spectrum_0011,mp-1067210,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1067210; method=None
spectrum_0012,mp-1068,2.0,assigned,,query_snapshot.json:material_id=mp-1068; method=None
spectrum_0013,mp-1069723,1.0,assigned,,query_snapshot.json:material_id=mp-1069723; method=None
spectrum_0014,mp-1071618,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1071618; method=None
spectrum_0015,mp-1071623,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1071623; method=None
spectrum_0016,mp-1071839,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1071839; method=None
spectrum_0017,mp-1071877,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1071877; method=None
spectrum_0018,mp-1072011,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1072011; method=None
spectrum_0019,mp-1072398,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1072398; method=None
spectrum_0020,mp-1072653,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1072653; method=None
spectrum_0021,mp-1072756,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1072756; method=None
spectrum_0022,mp-1072823,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1072823; method=None
spectrum_0023,mp-1072824,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1072824; method=None
spectrum_0024,mp-1072944,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1072944; method=None
spectrum_0025,mp-1077001,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077001; method=None
spectrum_0026,mp-1077023,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077023; method=None
spectrum_0027,mp-1077108,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077108; method=None
spectrum_0028,mp-1077175,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077175; method=None
spectrum_0029,mp-1077262,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077262; method=None
spectrum_0030,mp-1077341,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077341; method=None
spectrum_0031,mp-1077348,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077348; method=None
spectrum_0032,mp-1077372,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077372; method=None
spectrum_0033,mp-1077377,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077377; method=None
spectrum_0034,mp-1077463,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077463; method=None
spectrum_0035,mp-1077744,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1077744; method=None
spectrum_0036,mp-1078387,1.6666666666666667,assigned,,query_snapshot.json:material_id=mp-1078387; method=None
spectrum_0037,mp-1078420,2.0,assigned,,query_snapshot.json:material_id=mp-1078420; method=None
spectrum_0038,mp-1078469,1.0,assigned,,query_snapshot.json:material_id=mp-1078469; method=None
spectrum_0039,mp-1078587,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1078587; method=None
spectrum_0040,mp-1078672,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1078672; method=None
spectrum_0041,mp-1078706,1.0,assigned,,query_snapshot.json:material_id=mp-1078706; method=None
spectrum_0042,mp-1078909,2.0,assigned,,query_snapshot.json:material_id=mp-1078909; method=None
spectrum_0043,mp-1079017,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1079017; method=None
spectrum_0044,mp-1079070,2.0,assigned,,query_snapshot.json:material_id=mp-1079070; method=None
spectrum_0045,mp-1079193,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1079193; method=None
spectrum_0046,mp-1079204,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1079204; method=None
spectrum_0047,mp-1079351,2.0,assigned,,query_snapshot.json:material_id=mp-1079351; method=None
spectrum_0048,mp-1079383,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1079383; method=None
spectrum_0049,mp-1079457,2.0,assigned,,query_snapshot.json:material_id=mp-1079457; method=None
spectrum_0050,mp-1079468,2.0,assigned,,query_snapshot.json:material_id=mp-1079468; method=None
spectrum_0051,mp-1079602,2.0,assigned,,query_snapshot.json:material_id=mp-1079602; method=None
spectrum_0052,mp-1079782,2.0,assigned,,query_snapshot.json:material_id=mp-1079782; method=None
spectrum_0053,mp-1079797,,unresolved,Cu_assignment_unavailable,query_snapshot.json:material_id=mp-1079797; method=None
