Index,Type,Origin,Notes,File,Unique sites,x_P,x_P2S5,Formula
1,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/001,63,0.128,0.258064516,Li46P16S63
2,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/002,63,0.128,0.258064516,Li46P16S63
3,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/003,63,0.128,0.258064516,Li46P16S63
4,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/004,63,0.128,0.258064516,Li46P16S63
5,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/005,63,0.128,0.258064516,Li46P16S63
6,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/006,63,0.128,0.258064516,Li46P16S63
7,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/007,63,0.128,0.258064516,Li46P16S63
8,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/008,63,0.128,0.258064516,Li46P16S63
9,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/009,63,0.128,0.258064516,Li46P16S63
10,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-1L2S,22-05-13-LPS-no-POTCAR/010,63,0.128,0.258064516,Li46P16S63
11,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/011,62,0.131147541,0.266666667,Li22P8S31
12,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/012,62,0.131147541,0.266666667,Li22P8S31
13,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/013,62,0.131147541,0.266666667,Li22P8S31
14,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/014,62,0.131147541,0.266666667,Li22P8S31
15,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/015,62,0.131147541,0.266666667,Li22P8S31
16,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/016,62,0.131147541,0.266666667,Li22P8S31
17,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/017,62,0.131147541,0.266666667,Li22P8S31
18,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/018,62,0.131147541,0.266666667,Li22P8S31
19,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/019,62,0.131147541,0.266666667,Li22P8S31
20,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S,22-05-13-LPS-no-POTCAR/020,62,0.131147541,0.266666667,Li22P8S31
21,glassy,ANN-GA,b-Li3PS4-Li48P16S64-del-2L2S-after-opt-1L2S,22-05-13-LPS-no-POTCAR/021,62,0.131147541,0.266666667,Li22P8S31
