material,ablation,fwhm_eV,shape_relative_L2,main_peak_delta_eV,site_correction_range_eV
001,common_site_shift,0.0,0.22407036836087768,0.1505785102417576,0.6684936786000621
001,equal_site_weights,0.0,4.19596687095983e-16,0.0,0.6684936786000621
001,common_site_shift,0.5,0.03088373936828431,0.0,0.6684936786000621
001,equal_site_weights,0.5,1.4650481642701584e-16,0.0,0.6684936786000621
001,common_site_shift,1.0,0.008647707208444775,-0.0071704052497807425,0.6684936786000621
001,equal_site_weights,1.0,1.4027863674251407e-16,0.0,0.6684936786000621
002,common_site_shift,0.0,0.1833163783104552,-0.01435317418690829,0.9267950759999426
002,equal_site_weights,0.0,3.253798218500279e-16,0.0,0.9267950759999426
002,common_site_shift,0.5,0.024076093158538772,0.007176587093454145,0.9267950759999426
002,equal_site_weights,0.5,2.4625264468993055e-16,0.0,0.9267950759999426
002,common_site_shift,1.0,0.013362552384925765,0.0,0.9267950759999426
002,equal_site_weights,1.0,1.562644376806428e-16,0.0,0.9267950759999426
003,common_site_shift,0.0,0.1188204993224111,0.0,0.8203002098999939
003,equal_site_weights,0.0,2.5656942256246704e-16,0.0,0.8203002098999939
003,common_site_shift,0.5,0.022778330054643928,0.014288994449998427,0.8203002098999939
003,equal_site_weights,0.5,2.421277440965046e-16,0.0,0.8203002098999939
003,common_site_shift,1.0,0.017304130992755334,0.0,0.8203002098999939
003,equal_site_weights,1.0,1.442153830037428e-16,0.0,0.8203002098999939
004,common_site_shift,0.0,0.12537569189774134,0.16465795150497797,0.8838092629999865
004,equal_site_weights,0.0,3.303388806600447e-16,0.0,0.8838092629999865
004,common_site_shift,0.5,0.020327093566201833,0.007159041369959596,0.8838092629999865
004,equal_site_weights,0.5,1.4881956230961394e-16,0.0,0.8838092629999865
004,common_site_shift,1.0,0.016173596736254715,0.0,0.8838092629999865
004,equal_site_weights,1.0,2.248652428311609e-16,0.0,0.8838092629999865
005,common_site_shift,0.0,0.1168780927515815,-0.014358458927745232,0.6290715462000147
005,equal_site_weights,0.0,2.7159516302025426e-16,0.0,0.6290715462000147
005,common_site_shift,0.5,0.016493435592754215,0.007179229463872616,0.6290715462000147
