material,site,weight,correction,p_cn,li_cn,p_cutoff_A,li_cutoff_A,li_cn_2p8,li_cn_3p2,p_nearest_A,li_nearest_A,peak_e,onset_e,centroid_e
001,01_1,1,7.073985006999968,1,2,2.6,3.0,2,2,2.0305661274161433,2.403750545883348,2403.4000000000196,2403.297426694185,2406.155268103936
001,02_1,1,7.107800015899967,1,3,2.6,3.0,3,3,2.0576942218860683,2.466284418864764,2403.4000000000196,2403.326931536649,2406.5063998525843
001,03_1,1,7.262606825700044,1,3,2.6,3.0,3,3,2.0649563031113343,2.4530902180818175,2403.55000000002,2403.4705367010033,2406.526597954611
001,04_1,1,7.315005762800043,1,3,2.6,3.0,3,3,2.046469120649955,2.4968639047510988,2403.6000000000204,2403.5097851684286,2406.5772194247415
001,05_1,1,7.338404336400046,1,3,2.6,3.0,2,3,2.0361068137549454,2.4803934518576694,2403.6000000000204,2403.501023889546,2406.5373837186003
001,06_1,1,7.366186428199953,1,3,2.6,3.0,3,3,2.049569269857054,2.4797594121509867,2403.6500000000206,2403.556300527338,2406.5988809185146
001,07_1,1,7.088338079000041,1,2,2.6,3.0,2,2,2.0314781984259014,2.4503039430886995,2403.4000000000196,2403.3312533154335,2406.2153451168647
001,08_1,1,7.420422146899955,1,4,2.6,3.0,3,4,2.0553450960190323,2.5370307698497645,2403.6500000000206,2403.577507507303,2406.6630711835446
001,09_1,1,7.561554712600056,1,1,2.6,3.0,1,1,1.932749103378775,2.649006004748062,2403.55000000002,2403.228676697765,2405.932512504701
001,10_1,1,7.313459300999993,1,3,2.6,3.0,3,3,2.047034283752217,2.47155146352112,2403.6000000000204,2403.530906575838,2406.5589924347287
001,11_1,1,7.208326063799962,1,3,2.6,3.0,3,3,2.0564826347935585,2.485625877437022,2403.55000000002,2403.472910119626,2406.5449150367426
001,12_1,1,7.315312470199977,1,3,2.6,3.0,3,3,2.045054570306635,2.4678843774017527,2403.6000000000204,2403.5140284611743,2406.5324769027943
001,13_1,1,7.29424174070005,1,3,2.6,3.0,3,3,2.0459281160727305,2.4871120404306786,2403.55000000002,2403.49308552642,2406.5582279615605
001,14_1,1,7.344217506499962,1,3,2.6,3.0,3,3,2.055898043685251,2.4308419558551244,2403.6000000000204,2403.503555999411,2406.5262788999767
001,15_1,1,7.429525174699965,1,3,2.6,3.0,3,3,2.0476466669874975,2.395066084570438,2403.6500000000206,2403.566398848532,2406.54178147968
001,16_1,1,7.137083307300056,1,2,2.6,3.0,2,2,2.0274348816063394,2.4462560430538445,2403.50000000002,2403.412953032359,2406.374613715436
