material,split,method,role
001,fold0,crystal_RF_fwhm0.5,unused
002,fold0,crystal_RF_fwhm0.5,unused
003,fold0,crystal_RF_fwhm0.5,unused
004,fold0,crystal_RF_fwhm0.5,test
005,fold0,crystal_RF_fwhm0.5,test
006,fold0,crystal_RF_fwhm0.5,unused
007,fold0,crystal_RF_fwhm0.5,unused
008,fold0,crystal_RF_fwhm0.5,unused
009,fold0,crystal_RF_fwhm0.5,unused
010,fold0,crystal_RF_fwhm0.5,unused
011,fold0,crystal_RF_fwhm0.5,unused
012,fold0,crystal_RF_fwhm0.5,test
013,fold0,crystal_RF_fwhm0.5,unused
014,fold0,crystal_RF_fwhm0.5,test
015,fold0,crystal_RF_fwhm0.5,unused
016,fold0,crystal_RF_fwhm0.5,unused
017,fold0,crystal_RF_fwhm0.5,unused
018,fold0,crystal_RF_fwhm0.5,unused
019,fold0,crystal_RF_fwhm0.5,unused
020,fold0,crystal_RF_fwhm0.5,unused
021,fold0,crystal_RF_fwhm0.5,unused
022,fold0,crystal_RF_fwhm0.5,test
023,fold0,crystal_RF_fwhm0.5,unused
024,fold0,crystal_RF_fwhm0.5,unused
025,fold0,crystal_RF_fwhm0.5,test
026,fold0,crystal_RF_fwhm0.5,test
027,fold0,crystal_RF_fwhm0.5,unused
028,fold0,crystal_RF_fwhm0.5,unused
029,fold0,crystal_RF_fwhm0.5,unused
030,fold0,crystal_RF_fwhm0.5,unused
031,fold0,crystal_RF_fwhm0.5,unused
032,fold0,crystal_RF_fwhm0.5,unused
033,fold0,crystal_RF_fwhm0.5,test
034,fold0,crystal_RF_fwhm0.5,unused
035,fold0,crystal_RF_fwhm0.5,unused
036,fold0,crystal_RF_fwhm0.5,test
037,fold0,crystal_RF_fwhm0.5,test
038,fold0,crystal_RF_fwhm0.5,unused
039,fold0,crystal_RF_fwhm0.5,unused
040,fold0,crystal_RF_fwhm0.5,test
041,fold0,crystal_RF_fwhm0.5,unused
042,fold0,crystal_RF_fwhm0.5,unused
043,fold0,crystal_RF_fwhm0.5,unused
044,fold0,crystal_RF_fwhm0.5,unused
045,fold0,crystal_RF_fwhm0.5,unused
046,fold0,crystal_RF_fwhm0.5,test
047,fold0,crystal_RF_fwhm0.5,unused
048,fold0,crystal_RF_fwhm0.5,unused
049,fold0,crystal_RF_fwhm0.5,train
050,fold0,crystal_RF_fwhm0.5,train
051,fold0,crystal_RF_fwhm0.5,train
052,fold0,crystal_RF_fwhm0.5,train
053,fold0,crystal_RF_fwhm0.5,train
054,fold0,crystal_RF_fwhm0.5,train
055,fold0,crystal_RF_fwhm0.5,train
056,fold0,crystal_RF_fwhm0.5,train
057,fold0,crystal_RF_fwhm0.5,train
058,fold0,crystal_RF_fwhm0.5,train
059,fold0,crystal_RF_fwhm0.5,train
060,fold0,crystal_RF_fwhm0.5,train
061,fold0,crystal_RF_fwhm0.5,train
062,fold0,crystal_RF_fwhm0.5,train
063,fold0,crystal_RF_fwhm0.5,train
064,fold0,crystal_RF_fwhm0.5,train
065,fold0,crystal_RF_fwhm0.5,train
066,fold0,crystal_RF_fwhm0.5,train
001,fold1,crystal_RF_fwhm0.5,unused
002,fold1,crystal_RF_fwhm0.5,test
003,fold1,crystal_RF_fwhm0.5,unused
004,fold1,crystal_RF_fwhm0.5,unused
005,fold1,crystal_RF_fwhm0.5,unused
006,fold1,crystal_RF_fwhm0.5,test
007,fold1,crystal_RF_fwhm0.5,unused
008,fold1,crystal_RF_fwhm0.5,unused
009,fold1,crystal_RF_fwhm0.5,unused
010,fold1,crystal_RF_fwhm0.5,unused
011,fold1,crystal_RF_fwhm0.5,unused
012,fold1,crystal_RF_fwhm0.5,unused
013,fold1,crystal_RF_fwhm0.5,test
014,fold1,crystal_RF_fwhm0.5,unused
015,fold1,crystal_RF_fwhm0.5,unused
016,fold1,crystal_RF_fwhm0.5,unused
017,fold1,crystal_RF_fwhm0.5,unused
018,fold1,crystal_RF_fwhm0.5,test
019,fold1,crystal_RF_fwhm0.5,test
020,fold1,crystal_RF_fwhm0.5,test
021,fold1,crystal_RF_fwhm0.5,unused
022,fold1,crystal_RF_fwhm0.5,unused
023,fold1,crystal_RF_fwhm0.5,test
024,fold1,crystal_RF_fwhm0.5,unused
025,fold1,crystal_RF_fwhm0.5,unused
026,fold1,crystal_RF_fwhm0.5,unused
027,fold1,crystal_RF_fwhm0.5,test
028,fold1,crystal_RF_fwhm0.5,unused
029,fold1,crystal_RF_fwhm0.5,unused
030,fold1,crystal_RF_fwhm0.5,unused
031,fold1,crystal_RF_fwhm0.5,unused
032,fold1,crystal_RF_fwhm0.5,test
033,fold1,crystal_RF_fwhm0.5,unused
034,fold1,crystal_RF_fwhm0.5,test
035,fold1,crystal_RF_fwhm0.5,test
036,fold1,crystal_RF_fwhm0.5,unused
037,fold1,crystal_RF_fwhm0.5,unused
038,fold1,crystal_RF_fwhm0.5,test
039,fold1,crystal_RF_fwhm0.5,unused
040,fold1,crystal_RF_fwhm0.5,unused
041,fold1,crystal_RF_fwhm0.5,unused
