chemistry,method,representation,phase,n,accuracy
Li-La-Zr-O,Ridge,XRD,La(OH)3_176,4,1.0
Li-La-Zr-O,Ridge,XRD,La2O3_164,4,1.0
Li-La-Zr-O,Ridge,XRD,La2O3_206,4,1.0
Li-La-Zr-O,Ridge,XRD,La2Zr2O7_227,4,1.0
Li-La-Zr-O,Ridge,XRD,LaOOH_11,4,1.0
Li-La-Zr-O,Ridge,XRD,Li2CO3_15,4,1.0
Li-La-Zr-O,Ridge,XRD,Li2O2_194,4,1.0
Li-La-Zr-O,Ridge,XRD,Li2O_225,4,1.0
Li-La-Zr-O,Ridge,XRD,Li2ZrO3_15,4,1.0
Li-La-Zr-O,Ridge,XRD,Li4Zr3O8_141,4,1.0
Li-La-Zr-O,Ridge,XRD,Li6Zr2O7_15,4,1.0
Li-La-Zr-O,Ridge,XRD,Li7La3Zr2O12_142,4,1.0
Li-La-Zr-O,Ridge,XRD,Li7La3Zr2O12_230,4,0.75
Li-La-Zr-O,Ridge,XRD,LiLaO2_14,4,1.0
Li-La-Zr-O,Ridge,XRD,LiO2_58,4,1.0
Li-La-Zr-O,Ridge,XRD,LiOH-H2O_12,4,1.0
Li-La-Zr-O,Ridge,XRD,LiOH_129,4,1.0
Li-La-Zr-O,Ridge,XRD,Zr2O_224,4,1.0
Li-La-Zr-O,Ridge,XRD,Zr3O_167,4,0.75
Li-La-Zr-O,Ridge,XRD,Zr3O_182,4,1.0
Li-La-Zr-O,Ridge,XRD,ZrO2_137,4,0.75
Li-La-Zr-O,Ridge,XRD,ZrO2_14,4,1.0
Li-La-Zr-O,Ridge,XRD,ZrO2_19,4,1.0
Li-La-Zr-O,Ridge,XRD,ZrO2_225,4,0.5
Li-La-Zr-O,Ridge,XRD,ZrO2_61,4,1.0
Li-La-Zr-O,Ridge,XRD,ZrO2_62,4,1.0
Li-La-Zr-O,Ridge,XRD,ZrO_189,4,1.0
Li-La-Zr-O,Ridge,XRD,ZrO_225,4,1.0
Li-La-Zr-O,Ridge,PDF,La(OH)3_176,4,1.0
Li-La-Zr-O,Ridge,PDF,La2O3_164,4,1.0
Li-La-Zr-O,Ridge,PDF,La2O3_206,4,1.0
Li-La-Zr-O,Ridge,PDF,La2Zr2O7_227,4,1.0
Li-La-Zr-O,Ridge,PDF,LaOOH_11,4,1.0
Li-La-Zr-O,Ridge,PDF,Li2CO3_15,4,1.0
Li-La-Zr-O,Ridge,PDF,Li2O2_194,4,1.0
Li-La-Zr-O,Ridge,PDF,Li2O_225,4,1.0
Li-La-Zr-O,Ridge,PDF,Li2ZrO3_15,4,1.0
Li-La-Zr-O,Ridge,PDF,Li4Zr3O8_141,4,1.0
Li-La-Zr-O,Ridge,PDF,Li6Zr2O7_15,4,1.0
Li-La-Zr-O,Ridge,PDF,Li7La3Zr2O12_142,4,1.0
Li-La-Zr-O,Ridge,PDF,Li7La3Zr2O12_230,4,0.75
Li-La-Zr-O,Ridge,PDF,LiLaO2_14,4,1.0
Li-La-Zr-O,Ridge,PDF,LiO2_58,4,1.0
Li-La-Zr-O,Ridge,PDF,LiOH-H2O_12,4,1.0
Li-La-Zr-O,Ridge,PDF,LiOH_129,4,1.0
Li-La-Zr-O,Ridge,PDF,Zr2O_224,4,1.0
Li-La-Zr-O,Ridge,PDF,Zr3O_167,4,1.0
Li-La-Zr-O,Ridge,PDF,Zr3O_182,4,1.0
Li-La-Zr-O,Ridge,PDF,ZrO2_137,4,1.0
Li-La-Zr-O,Ridge,PDF,ZrO2_14,4,1.0
Li-La-Zr-O,Ridge,PDF,ZrO2_19,4,1.0
Li-La-Zr-O,Ridge,PDF,ZrO2_225,4,0.5
Li-La-Zr-O,Ridge,PDF,ZrO2_61,4,1.0
Li-La-Zr-O,Ridge,PDF,ZrO2_62,4,1.0
Li-La-Zr-O,Ridge,PDF,ZrO_189,4,1.0
Li-La-Zr-O,Ridge,PDF,ZrO_225,4,1.0
Li-La-Zr-O,Ridge,Combined,La(OH)3_176,4,1.0
Li-La-Zr-O,Ridge,Combined,La2O3_164,4,1.0
Li-La-Zr-O,Ridge,Combined,La2O3_206,4,1.0
Li-La-Zr-O,Ridge,Combined,La2Zr2O7_227,4,1.0
Li-La-Zr-O,Ridge,Combined,LaOOH_11,4,1.0
Li-La-Zr-O,Ridge,Combined,Li2CO3_15,4,1.0
Li-La-Zr-O,Ridge,Combined,Li2O2_194,4,1.0
Li-La-Zr-O,Ridge,Combined,Li2O_225,4,1.0
Li-La-Zr-O,Ridge,Combined,Li2ZrO3_15,4,1.0
Li-La-Zr-O,Ridge,Combined,Li4Zr3O8_141,4,1.0
Li-La-Zr-O,Ridge,Combined,Li6Zr2O7_15,4,1.0
Li-La-Zr-O,Ridge,Combined,Li7La3Zr2O12_142,4,1.0
Li-La-Zr-O,Ridge,Combined,Li7La3Zr2O12_230,4,0.75
Li-La-Zr-O,Ridge,Combined,LiLaO2_14,4,1.0
Li-La-Zr-O,Ridge,Combined,LiO2_58,4,1.0
Li-La-Zr-O,Ridge,Combined,LiOH-H2O_12,4,1.0
Li-La-Zr-O,Ridge,Combined,LiOH_129,4,1.0
Li-La-Zr-O,Ridge,Combined,Zr2O_224,4,1.0
Li-La-Zr-O,Ridge,Combined,Zr3O_167,4,1.0
Li-La-Zr-O,Ridge,Combined,Zr3O_182,4,1.0
Li-La-Zr-O,Ridge,Combined,ZrO2_137,4,1.0
Li-La-Zr-O,Ridge,Combined,ZrO2_14,4,1.0
Li-La-Zr-O,Ridge,Combined,ZrO2_19,4,1.0
Li-La-Zr-O,Ridge,Combined,ZrO2_225,4,0.5
Li-La-Zr-O,Ridge,Combined,ZrO2_61,4,1.0
Li-La-Zr-O,Ridge,Combined,ZrO2_62,4,1.0
Li-La-Zr-O,Ridge,Combined,ZrO_189,4,1.0
Li-La-Zr-O,Ridge,Combined,ZrO_225,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,La(OH)3_176,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,La2O3_164,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,La2O3_206,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,La2Zr2O7_227,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,LaOOH_11,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Li2CO3_15,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Li2O2_194,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Li2O_225,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Li2ZrO3_15,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Li4Zr3O8_141,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Li6Zr2O7_15,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Li7La3Zr2O12_142,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Li7La3Zr2O12_230,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,LiLaO2_14,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,LiO2_58,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,LiOH-H2O_12,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,LiOH_129,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Zr2O_224,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Zr3O_167,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,Zr3O_182,4,0.75
Li-La-Zr-O,RBF-SVM,XRD,ZrO2_137,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,ZrO2_14,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,ZrO2_19,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,ZrO2_225,4,0.75
Li-La-Zr-O,RBF-SVM,XRD,ZrO2_61,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,ZrO2_62,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,ZrO_189,4,1.0
Li-La-Zr-O,RBF-SVM,XRD,ZrO_225,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,La(OH)3_176,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,La2O3_164,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,La2O3_206,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,La2Zr2O7_227,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,LaOOH_11,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Li2CO3_15,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Li2O2_194,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Li2O_225,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Li2ZrO3_15,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Li4Zr3O8_141,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Li6Zr2O7_15,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Li7La3Zr2O12_142,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Li7La3Zr2O12_230,4,0.75
Li-La-Zr-O,RBF-SVM,PDF,LiLaO2_14,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,LiO2_58,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,LiOH-H2O_12,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,LiOH_129,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Zr2O_224,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Zr3O_167,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,Zr3O_182,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,ZrO2_137,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,ZrO2_14,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,ZrO2_19,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,ZrO2_225,4,0.5
Li-La-Zr-O,RBF-SVM,PDF,ZrO2_61,4,0.75
Li-La-Zr-O,RBF-SVM,PDF,ZrO2_62,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,ZrO_189,4,1.0
Li-La-Zr-O,RBF-SVM,PDF,ZrO_225,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,La(OH)3_176,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,La2O3_164,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,La2O3_206,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,La2Zr2O7_227,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,LaOOH_11,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Li2CO3_15,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Li2O2_194,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Li2O_225,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Li2ZrO3_15,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Li4Zr3O8_141,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Li6Zr2O7_15,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Li7La3Zr2O12_142,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Li7La3Zr2O12_230,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,LiLaO2_14,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,LiO2_58,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,LiOH-H2O_12,4,1.0
