id,fold,role
A_S_008a8c505c38d000,0,train
A_S_0161f1e404703118,0,train
A_S_01dae63a8d8551c6,0,train
A_S_03378055a446a1e0,0,train
A_S_03893b8626861f37,0,train
A_S_03b4a75e3befc5bf,0,test
A_S_0405c4de22006aca,0,train
A_S_04489593606bd65f,0,test
A_S_0460b9c0af2db0d6,0,test
A_S_05b8f15ca25c65bf,0,validation
A_S_05ed2cef592c88a3,0,train
A_S_067e234cc2d31892,0,train
A_S_068e2ee64db544b3,0,test
A_S_06a4eaf08519a276,0,train
A_S_08395c0fdc35a3af,0,train
A_S_086616f7960ff206,0,train
A_S_093e101d57b0db98,0,train
A_S_095a68a3f186b3ba,0,test
A_S_09681ac6f35265eb,0,train
A_S_09c7ea2fb21cd5f7,0,test
A_S_0a0713c88c1df367,0,test
A_S_0a08d2ca309bb882,0,train
A_S_0aa9ddf0410e4edf,0,train
A_S_0aaee1139c9cfff7,0,train
A_S_0b1b6e6e7efdb6d7,0,train
A_S_0b53bd7b8dd1bd19,0,train
A_S_0bb01cdca5cafb49,0,validation
A_S_0be653716acc4902,0,validation
A_S_0c3e7846470c3162,0,validation
A_S_0c8c1303ed0b2153,0,train
A_S_0cd8c90cd1efb94a,0,train
A_S_0d650f8c03947787,0,test
A_S_0d770f3dc9e0a811,0,train
A_S_0dba479cb2551f3a,0,validation
A_S_0e710160e0144414,0,train
A_S_0ed7bd36748730aa,0,validation
A_S_0fc9c5802c0860aa,0,train
A_S_1005020e78f07dac,0,train
A_S_103e90c305c632e7,0,train
A_S_107880b70b56b88f,0,validation
A_S_110c371288bfafc9,0,train
A_S_11d79d88eb1d67eb,0,test
A_S_124ce673b2bf8235,0,train
A_S_124e54fe831850b2,0,validation
A_S_125bf8f89b687134,0,validation
A_S_13209c8cd6f622e1,0,train
A_S_132b2377331c3710,0,validation
A_S_1413e354480242c7,0,test
A_S_14edc7edceb719cc,0,validation
A_S_14f4fa0b10adaec3,0,train
A_S_1518dd7d8a3b196d,0,validation
A_S_15228c51dfa4042a,0,validation
A_S_156339aad240951f,0,train
A_S_15a6da8cf31c5423,0,validation
A_S_15bd2ce7160c48d1,0,train
A_S_1617100b76617313,0,test
A_S_17829bb4883cdf8a,0,train
A_S_179d7f7a747cb944,0,validation
A_S_17ad92a107662832,0,validation
A_S_18b147639b7e2473,0,train
A_S_18cb3bc817c25a9d,0,train
A_S_19910814fc4e56d3,0,test
A_S_19a0a8583aad74bf,0,train
A_S_19f9acc514d8b63d,0,test
A_S_1a29dd9c9dfcd54e,0,validation
A_S_1a2fd7fb75daf062,0,train
A_S_1a3dfbd8cb68091a,0,train
A_S_1a43b8a57c4320b2,0,validation
A_S_1b12d276b7980492,0,train
A_S_1b144372650ef4a9,0,validation
A_S_1b5ef06e63c42c64,0,train
A_S_1d4e9402a827a898,0,train
A_S_1e0d6dd73f4474cd,0,train
A_S_1ea65f3c55682bbf,0,test
A_S_1f2b00dbc078f5d5,0,train
A_S_1ff860748fa8c347,0,train
A_S_2019a6a28f19953a,0,train
A_S_2026f356a446600a,0,test
A_S_2032d79555418cff,0,validation
A_S_20b4ab3b26f00f9b,0,train
A_S_20f12535aab49417,0,test
A_S_2135f0f9b8270497,0,validation
A_S_214252c478288a82,0,train
A_S_22373d251d1dd940,0,train
A_S_2278a1c17044e5b2,0,validation
A_S_22857223efc80aa6,0,test
A_S_23b3d74cee25bf56,0,validation
A_S_23c1257f540b70a3,0,validation
A_S_23faed6e743c750b,0,test
A_S_25a947264da9bb26,0,validation
A_S_2603d3eb7e9bb343,0,train
A_S_269af13526155f64,0,train
A_S_26b0a7dc56ab38ba,0,train
A_S_26d704b038838f27,0,train
A_S_26e75d5143da8c17,0,train
A_S_26f93b9a06e11abc,0,test
A_S_2798f8344476759e,0,validation
A_S_27a9cf3335c3b001,0,validation
A_S_282cc7e5f92fef92,0,train
A_S_288f565484d6a70f,0,validation
A_S_28ddda2796075b27,0,validation
A_S_28e792bd932b6359,0,train
A_S_28e947d70d8cc980,0,test
A_S_28edd9f2d2c15f03,0,validation
A_S_29f05ca00981057d,0,train
A_S_29f40ac242615fc1,0,train
A_S_2a16c9e664f3dbd3,0,train
A_S_2a94172c703ed7d1,0,test
A_S_2ab54745132f00b1,0,validation
A_S_2ae87eddfb5cf398,0,test
A_S_2aedfbec2b4532a6,0,train
A_S_2ba176c1b7508243,0,train
A_S_2bf870683367c0d0,0,train
A_S_2c2b6797e9494d96,0,train
A_S_2cafb92688dfe7b8,0,test
A_S_2cbe3ee7285b9aea,0,train
A_S_2d16a5956be4dc8c,0,test
A_S_2d27a769e8a0d148,0,validation
A_S_2d92ddf4ee10aac1,0,train
A_S_2da50529b41df253,0,train
A_S_2de54d6121eaf431,0,validation
A_S_2dfd9a9b2010d4de,0,test
A_S_2fac081303c8148c,0,validation
A_S_2fde774f146e5b76,0,train
A_S_2fe12d7d50d13a63,0,train
A_S_30d77b1d8c86ae5e,0,train
A_S_317dd5cb31493835,0,train
A_S_327b249f674adcb1,0,train
A_S_32bc50fd08843ccc,0,test
A_S_32ebf822dd3735ba,0,test
A_S_335452cf40be663d,0,test
A_S_34d2fb17648202dd,0,train
A_S_35664879efdd6fff,0,validation
A_S_35754a3fb8f4a0c5,0,train
A_S_3738b6cbe731562b,0,train
A_S_37ff1995da75e0a1,0,train
A_S_3849b476dd470aee,0,test
A_S_38592616b5b899ca,0,test
A_S_392d62ea5b290455,0,train
A_S_3b0f7002f10022f4,0,validation
A_S_3b8c2ade80451834,0,test
A_S_3b9fef08a8b26be9,0,train
A_S_3d31541983cf1e02,0,test
A_S_3d8761e7addf9c62,0,validation
A_S_3db57c74e63fa729,0,validation
A_S_3f15a87d803e6874,0,train
A_S_3f2cfbd2fa85a3d3,0,test
A_S_4089f3991428e2ed,0,train
A_S_40c31383f608830a,0,test
A_S_41b77fb67321fc31,0,train
A_S_41c145309e20114b,0,train
A_S_4219d9500600c801,0,train
A_S_43717e04539e15c7,0,train
A_S_43ca0432bb04a8a5,0,test
A_S_43d830a069da6668,0,train
A_S_4456c513c8740534,0,train
A_S_44aafd7a143613eb,0,train
A_S_44fb55f695abe327,0,validation
A_S_4529d021e8621f7b,0,train
A_S_456a6e13839df403,0,train
A_S_45a3b6c49995819b,0,train
A_S_45c90459ce026755,0,train
A_S_46374ce3b9044c64,0,train
A_S_4646680a5b50eb10,0,train
A_S_466d0216d98f590b,0,test
A_S_467a89793092b80a,0,train
A_S_46b2957322e5c7c9,0,train
A_S_46d337e6fe04da01,0,train
A_S_47654d99f6159614,0,train
A_S_4863be0c048b12ad,0,train
A_S_48816b0872bf1681,0,validation
A_S_48965dd438d48d18,0,train
A_S_48f764092f2567ae,0,train
A_S_4906fb7b43e98de7,0,test
A_S_4989a5884300fa7f,0,train
A_S_4a50784daa476ab1,0,test
A_S_4a67a1d4ef7042f5,0,train
A_S_4a78b33e0a03b402,0,validation
A_S_4acec7d5fcff2dda,0,train
A_S_4b099512873a3641,0,test
A_S_4b36d06827739e2b,0,train
A_S_4b45f72224394626,0,train
A_S_4b8446c22843877b,0,test
A_S_4c7ac429bdd944a9,0,validation
A_S_4d245a6ec3b4d285,0,validation
A_S_4df6ea1163824f40,0,test
