id,chemistry,representation,truth,predicted,false_inclusions,false_exclusions
A_M_00275cb210c13ff4,Li-La-Zr-O,XRD,"[""Li4Zr3O8_141"", ""ZrO2_137"", ""ZrO_225""]","[""Li4Zr3O8_141"", ""ZrO_225""]",[],"[""ZrO2_137""]"
A_M_008e944826a2fdc6,Li-La-Zr-O,XRD,"[""La(OH)3_176"", ""Li2O_225"", ""ZrO2_62""]","[""La(OH)3_176"", ""ZrO2_62""]",[],"[""Li2O_225""]"
A_M_009caf2e3511ccb4,Li-La-Zr-O,XRD,"[""La2O3_206"", ""ZrO2_61"", ""ZrO2_62""]","[""La2O3_206"", ""ZrO2_62""]",[],"[""ZrO2_61""]"
A_M_00275cb210c13ff4,Li-La-Zr-O,PDF,"[""Li4Zr3O8_141"", ""ZrO2_137"", ""ZrO_225""]","[""Li4Zr3O8_141"", ""ZrO_225""]",[],"[""ZrO2_137""]"
A_M_008e944826a2fdc6,Li-La-Zr-O,PDF,"[""La(OH)3_176"", ""Li2O_225"", ""ZrO2_62""]","[""La(OH)3_176"", ""ZrO2_62""]",[],"[""Li2O_225""]"
A_M_009caf2e3511ccb4,Li-La-Zr-O,PDF,"[""La2O3_206"", ""ZrO2_61"", ""ZrO2_62""]","[""La2O3_206"", ""ZrO2_62""]",[],"[""ZrO2_61""]"
A_M_00275cb210c13ff4,Li-La-Zr-O,Combined,"[""Li4Zr3O8_141"", ""ZrO2_137"", ""ZrO_225""]","[""Li4Zr3O8_141"", ""ZrO_225""]",[],"[""ZrO2_137""]"
A_M_008e944826a2fdc6,Li-La-Zr-O,Combined,"[""La(OH)3_176"", ""Li2O_225"", ""ZrO2_62""]","[""La(OH)3_176"", ""ZrO2_62""]",[],"[""Li2O_225""]"
A_M_009caf2e3511ccb4,Li-La-Zr-O,Combined,"[""La2O3_206"", ""ZrO2_61"", ""ZrO2_62""]","[""La2O3_206"", ""ZrO2_62""]",[],"[""ZrO2_61""]"
B_M_000aa4a09933e8cb,Li-Ti-P-O,XRD,"[""LiPO3_13"", ""LiTi2O4_31"", ""TiP2O9_14""]","[""LiTi2O4_31"", ""TiP2O9_14""]",[],"[""LiPO3_13""]"
B_M_00231e8e2b3aca8d,Li-Ti-P-O,XRD,"[""Li2O_225"", ""Ti2P2O11_2"", ""Ti3PO2_164""]","[""Ti2P2O11_2""]",[],"[""Li2O_225"", ""Ti3PO2_164""]"
B_M_00c15e25263a8980,Li-Ti-P-O,XRD,"[""Ti2P2O11_2"", ""TiO2_136""]","[""Ti2P2O11_2""]",[],"[""TiO2_136""]"
B_M_000aa4a09933e8cb,Li-Ti-P-O,PDF,"[""LiPO3_13"", ""LiTi2O4_31"", ""TiP2O9_14""]","[""LiTi2O4_31"", ""TiP2O9_14""]",[],"[""LiPO3_13""]"
B_M_00231e8e2b3aca8d,Li-Ti-P-O,PDF,"[""Li2O_225"", ""Ti2P2O11_2"", ""Ti3PO2_164""]","[""Ti2P2O11_2"", ""Ti3PO2_164""]",[],"[""Li2O_225""]"
B_M_00c15e25263a8980,Li-Ti-P-O,PDF,"[""Ti2P2O11_2"", ""TiO2_136""]","[""Ti2P2O11_2""]",[],"[""TiO2_136""]"
B_M_000aa4a09933e8cb,Li-Ti-P-O,Combined,"[""LiPO3_13"", ""LiTi2O4_31"", ""TiP2O9_14""]","[""LiTi2O4_31"", ""TiP2O9_14""]",[],"[""LiPO3_13""]"
B_M_00231e8e2b3aca8d,Li-Ti-P-O,Combined,"[""Li2O_225"", ""Ti2P2O11_2"", ""Ti3PO2_164""]","[""Ti2P2O11_2"", ""Ti3PO2_164""]",[],"[""Li2O_225""]"
B_M_00c15e25263a8980,Li-Ti-P-O,Combined,"[""Ti2P2O11_2"", ""TiO2_136""]","[""Ti2P2O11_2""]",[],"[""TiO2_136""]"
