method,representation,condition,fold,chemistry,group,metric,value,n
NNLS,Combined,baseline,0,Li-La-Zr-O,2,exact_match,0.675,400
NNLS,Combined,baseline,0,Li-La-Zr-O,2,micro_f1,0.8785166240409207,400
NNLS,Combined,baseline,0,Li-La-Zr-O,2,phase_count_accuracy,0.77,400
NNLS,Combined,baseline,0,Li-La-Zr-O,3,exact_match,0.1625,400
NNLS,Combined,baseline,0,Li-La-Zr-O,3,micro_f1,0.7507360157016683,400
NNLS,Combined,baseline,0,Li-La-Zr-O,3,phase_count_accuracy,0.25,400
NNLS,Combined,baseline,0,Li-Ti-P-O,2,exact_match,0.69,400
NNLS,Combined,baseline,0,Li-Ti-P-O,2,micro_f1,0.892459826946848,400
NNLS,Combined,baseline,0,Li-Ti-P-O,2,phase_count_accuracy,0.765,400
NNLS,Combined,baseline,0,Li-Ti-P-O,3,exact_match,0.2825,400
NNLS,Combined,baseline,0,Li-Ti-P-O,3,micro_f1,0.7987072945521699,400
NNLS,Combined,baseline,0,Li-Ti-P-O,3,phase_count_accuracy,0.4125,400
NNLS,PDF,baseline,0,Li-La-Zr-O,2,exact_match,0.67,400
NNLS,PDF,baseline,0,Li-La-Zr-O,2,micro_f1,0.8722860791826309,400
NNLS,PDF,baseline,0,Li-La-Zr-O,2,phase_count_accuracy,0.7575,400
NNLS,PDF,baseline,0,Li-La-Zr-O,3,exact_match,0.1625,400
NNLS,PDF,baseline,0,Li-La-Zr-O,3,micro_f1,0.7454455933037912,400
NNLS,PDF,baseline,0,Li-La-Zr-O,3,phase_count_accuracy,0.24,400
NNLS,PDF,baseline,0,Li-Ti-P-O,2,exact_match,0.69,400
NNLS,PDF,baseline,0,Li-Ti-P-O,2,micro_f1,0.892459826946848,400
NNLS,PDF,baseline,0,Li-Ti-P-O,2,phase_count_accuracy,0.765,400
NNLS,PDF,baseline,0,Li-Ti-P-O,3,exact_match,0.2825,400
NNLS,PDF,baseline,0,Li-Ti-P-O,3,micro_f1,0.7987072945521699,400
NNLS,PDF,baseline,0,Li-Ti-P-O,3,phase_count_accuracy,0.4125,400
NNLS,XRD,baseline,0,Li-La-Zr-O,2,exact_match,0.6525,400
NNLS,XRD,baseline,0,Li-La-Zr-O,2,micro_f1,0.8644278606965174,400
NNLS,XRD,baseline,0,Li-La-Zr-O,2,phase_count_accuracy,0.77,400
NNLS,XRD,baseline,0,Li-La-Zr-O,3,exact_match,0.1475,400
NNLS,XRD,baseline,0,Li-La-Zr-O,3,micro_f1,0.739568345323741,400
NNLS,XRD,baseline,0,Li-La-Zr-O,3,phase_count_accuracy,0.295,400
NNLS,XRD,baseline,0,Li-Ti-P-O,2,exact_match,0.7,400
NNLS,XRD,baseline,0,Li-Ti-P-O,2,micro_f1,0.8974683544303798,400
NNLS,XRD,baseline,0,Li-Ti-P-O,2,phase_count_accuracy,0.7725,400
NNLS,XRD,baseline,0,Li-Ti-P-O,3,exact_match,0.1625,400
NNLS,XRD,baseline,0,Li-Ti-P-O,3,micro_f1,0.7536656891495601,400
NNLS,XRD,baseline,0,Li-Ti-P-O,3,phase_count_accuracy,0.2525,400
