id,condition,method,representation,relative_l2,signal_energy_fraction
B_S_02723e6d57e53340,noise_0.01_trial0,Ridge,XRD,0.07424818608711992,1.0
B_S_044eb374f92ea1b3,noise_0.01_trial0,Ridge,XRD,0.13644874868047108,1.0
B_S_04cde678090464c7,noise_0.01_trial0,Ridge,XRD,0.1342192795122483,1.0
B_S_05991e9d132c10e1,noise_0.01_trial0,Ridge,XRD,0.10082100018909103,1.0
B_S_0691bf18a8c496e4,noise_0.01_trial0,Ridge,XRD,0.13150720727901205,1.0
B_S_07d8e51b433299e1,noise_0.01_trial0,Ridge,XRD,0.09237009133036887,1.0
B_S_098fdf8be4a02f09,noise_0.01_trial0,Ridge,XRD,0.09841132014751248,1.0
B_S_0ab6e555a98086ea,noise_0.01_trial0,Ridge,XRD,0.12034970843333309,1.0
B_S_0ba43a4559d6a4d5,noise_0.01_trial0,Ridge,XRD,0.06501659447635139,1.0
B_S_0e0fcb9aeec09753,noise_0.01_trial0,Ridge,XRD,0.13565286579313787,1.0
B_S_0f329dd9da91462d,noise_0.01_trial0,Ridge,XRD,0.09109777952812978,1.0
B_S_127e3c72075c2de0,noise_0.01_trial0,Ridge,XRD,0.0912399176834445,1.0
B_S_12bb1641a2177087,noise_0.01_trial0,Ridge,XRD,0.09229193185647697,1.0
B_S_12f0bec697a41e71,noise_0.01_trial0,Ridge,XRD,0.13078726676321922,1.0
B_S_141243a6a760176d,noise_0.01_trial0,Ridge,XRD,0.07624386202523678,1.0
B_S_1534fe223f019cef,noise_0.01_trial0,Ridge,XRD,0.06347837658418128,1.0
B_S_1b99bcbef86a852d,noise_0.01_trial0,Ridge,XRD,0.06867911808796781,1.0
B_S_1d0b2fbce045ca6e,noise_0.01_trial0,Ridge,XRD,0.11986492295472341,1.0
B_S_1da64c932dcd1875,noise_0.01_trial0,Ridge,XRD,0.10384611675494336,1.0
B_S_1f84b3545214bea4,noise_0.01_trial0,Ridge,XRD,0.14619559424882017,1.0
B_S_20c5194c695e058a,noise_0.01_trial0,Ridge,XRD,0.08068553648563441,1.0
B_S_24644192b5fe4008,noise_0.01_trial0,Ridge,XRD,0.1347379645091946,1.0
B_S_25f501cc2d4840e8,noise_0.01_trial0,Ridge,XRD,0.10451005288936263,1.0
B_S_2771091c121e23cf,noise_0.01_trial0,Ridge,XRD,0.06285691737971785,1.0
B_S_28828fe3c1266f5f,noise_0.01_trial0,Ridge,XRD,0.08563911776717106,1.0
B_S_2bcd350f3edd716f,noise_0.01_trial0,Ridge,XRD,0.12441515856624796,1.0
B_S_33e4d07c8e59bbf8,noise_0.01_trial0,Ridge,XRD,0.07965489237943749,1.0
B_S_343f9524e8e7dfc0,noise_0.01_trial0,Ridge,XRD,0.13763639765133936,1.0
B_S_38259668fb240eff,noise_0.01_trial0,Ridge,XRD,0.1073665875002382,1.0
B_S_39652e9b29a04adc,noise_0.01_trial0,Ridge,XRD,0.09094077611675468,1.0
B_S_3a329dddf4808dd4,noise_0.01_trial0,Ridge,XRD,0.08485563896287478,1.0
B_S_3a533c17710751e0,noise_0.01_trial0,Ridge,XRD,0.06379653734626652,1.0
B_S_3a66cb2aa1b13bd5,noise_0.01_trial0,Ridge,XRD,0.0659636191874233,1.0
B_S_3b42bd897a080cce,noise_0.01_trial0,Ridge,XRD,0.10439275009490269,1.0
B_S_3ce02575e7e819cb,noise_0.01_trial0,Ridge,XRD,0.07913555700486803,1.0
B_S_3de23c08d3b09250,noise_0.01_trial0,Ridge,XRD,0.10596685304502061,1.0
B_S_3f2a0ddec73b890f,noise_0.01_trial0,Ridge,XRD,0.09466591950859676,1.0
B_S_40c88f49ed4685e1,noise_0.01_trial0,Ridge,XRD,0.08924535911457267,1.0
B_S_430a82a008f9b980,noise_0.01_trial0,Ridge,XRD,0.12377531529308182,1.0
B_S_456d02a3d4909ae4,noise_0.01_trial0,Ridge,XRD,0.058358692788590835,1.0
B_S_46995a01e1170f51,noise_0.01_trial0,Ridge,XRD,0.05903775005901352,1.0
B_S_46faad4831ea7d33,noise_0.01_trial0,Ridge,XRD,0.09417787651101389,1.0
B_S_46fef32514520e02,noise_0.01_trial0,Ridge,XRD,0.05972561351108464,1.0
B_S_494356a7ae173e64,noise_0.01_trial0,Ridge,XRD,0.07894127627464131,1.0
B_S_4bc0c360b6da5e88,noise_0.01_trial0,Ridge,XRD,0.09864106710001372,1.0
B_S_4d591555f89116f6,noise_0.01_trial0,Ridge,XRD,0.06814035348363243,1.0
B_S_4e609147e5b89722,noise_0.01_trial0,Ridge,XRD,0.08838892740658101,1.0
B_S_4fa3ecf596dcb922,noise_0.01_trial0,Ridge,XRD,0.08677279356293319,1.0
B_S_561c9833eab6e386,noise_0.01_trial0,Ridge,XRD,0.03788395922148762,1.0
B_S_56c19bd51765c35e,noise_0.01_trial0,Ridge,XRD,0.1082696916913012,1.0
B_S_5895d7aac8727a00,noise_0.01_trial0,Ridge,XRD,0.12810730614674803,1.0
B_S_59e31d0bf0779ea8,noise_0.01_trial0,Ridge,XRD,0.09456593913980346,1.0
B_S_5ac0f04a42e8d93e,noise_0.01_trial0,Ridge,XRD,0.04668093943701635,1.0
B_S_5c317a75d423fd6e,noise_0.01_trial0,Ridge,XRD,0.12154612295765926,1.0
B_S_5c9685626bf49946,noise_0.01_trial0,Ridge,XRD,0.0712051103337137,1.0
B_S_5ce46392be1d6b88,noise_0.01_trial0,Ridge,XRD,0.08146753512409868,1.0
B_S_5f941612c41dbc5c,noise_0.01_trial0,Ridge,XRD,0.0950011811831416,1.0
B_S_61d4ed6ef35e9a84,noise_0.01_trial0,Ridge,XRD,0.08827841575148668,1.0
B_S_65a21a71057e133e,noise_0.01_trial0,Ridge,XRD,0.13306544489502933,1.0
B_S_662967ab8de625e8,noise_0.01_trial0,Ridge,XRD,0.12234716261279972,1.0
B_S_676831f41188202e,noise_0.01_trial0,Ridge,XRD,0.10518692965968078,1.0
B_S_67dad08422b84b71,noise_0.01_trial0,Ridge,XRD,0.12798317991161473,1.0
B_S_68cc792e8fd44592,noise_0.01_trial0,Ridge,XRD,0.07095207776481484,1.0
B_S_6ac61611c3df1467,noise_0.01_trial0,Ridge,XRD,0.1102681924695248,1.0
B_S_6bdaaf8d4c9df220,noise_0.01_trial0,Ridge,XRD,0.04817373945532165,1.0
B_S_6c8ceeec5b8a43e9,noise_0.01_trial0,Ridge,XRD,0.13617191160529463,1.0
B_S_6dffc7e04304f34b,noise_0.01_trial0,Ridge,XRD,0.08186161403256831,1.0
B_S_6e6349753b25bee6,noise_0.01_trial0,Ridge,XRD,0.09395812003389349,1.0
B_S_6f3562c0f9d93028,noise_0.01_trial0,Ridge,XRD,0.06408042572102679,1.0
B_S_7067c1e251093719,noise_0.01_trial0,Ridge,XRD,0.05775643210663764,1.0
B_S_74b9e3fceeafdeca,noise_0.01_trial0,Ridge,XRD,0.14779786530709713,1.0
B_S_7e250686d652705c,noise_0.01_trial0,Ridge,XRD,0.0683556863311354,1.0
B_S_7f19034a86906502,noise_0.01_trial0,Ridge,XRD,0.06875137458057212,1.0
B_S_80b2b12628199978,noise_0.01_trial0,Ridge,XRD,0.07360549120399007,1.0
