id,artifact,amplitude,trial,window,xrd_relative_l2,pdf_relative_l2,signal_energy_fraction,artifact_energy_fraction
B_1-Phase_0056,noise,0.01,0,1-5,0.05683448384348692,0.010895243905714686,0.19758274766746964,0.07144084981904589
B_1-Phase_0056,noise,0.01,0,5-40,0.05683448384348692,0.011926942573531604,0.7838642347731736,0.3396430899107307
B_1-Phase_0056,noise,0.01,0,1-40,0.05683448384348692,0.011726542834498692,0.9814469824406432,0.41108393972977664
B_1-Phase_0056,noise,0.01,0,40-120,0.05683448384348692,0.10208397735823095,0.0185530175593569,0.5889160602702234
B_1-Phase_0056,noise,0.01,1,1-5,0.05677000627158267,0.005399485672894137,0.19758274766746964,0.012998466035278433
B_1-Phase_0056,noise,0.01,1,5-40,0.05677000627158267,0.01454699329345534,0.7838642347731736,0.37430499565875114
B_1-Phase_0056,noise,0.01,1,1-40,0.05677000627158267,0.013224312973041503,0.9814469824406432,0.38730346169402957
B_1-Phase_0056,noise,0.01,1,40-120,0.05677000627158267,0.12097518281939917,0.0185530175593569,0.6126965383059705
B_1-Phase_0056,noise,0.01,2,1-5,0.05733417976604803,0.0040588316350185305,0.19758274766746964,0.005793129807878283
B_1-Phase_0056,noise,0.01,2,5-40,0.05733417976604803,0.01284966302677496,0.7838642347731736,0.23034908577598212
B_1-Phase_0056,noise,0.01,2,1-40,0.05733417976604803,0.011627124205355372,0.9814469824406432,0.2361422155838604
B_1-Phase_0056,noise,0.01,2,40-120,0.05733417976604803,0.15209603537242064,0.0185530175593569,0.7638577844161396
B_1-Phase_0056,noise,0.01,3,1-5,0.05795624865285412,0.004237187618114862,0.19758274766746964,0.011765856565527383
B_1-Phase_0056,noise,0.01,3,5-40,0.05795624865285412,0.010187671764164298,0.7838642347731736,0.26984220531481595
B_1-Phase_0056,noise,0.01,3,1-40,0.05795624865285412,0.00930099797355648,0.9814469824406432,0.2816080618803434
B_1-Phase_0056,noise,0.01,3,40-120,0.05795624865285412,0.10804728965305836,0.0185530175593569,0.7183919381196565
B_1-Phase_0056,noise,0.01,4,1-5,0.05643167195969141,0.008529494231488502,0.19758274766746964,0.03977687487117668
B_1-Phase_0056,noise,0.01,4,5-40,0.05643167195969141,0.011809537497316388,0.7838642347731736,0.302511373355936
B_1-Phase_0056,noise,0.01,4,1-40,0.05643167195969141,0.011226516859691667,0.9814469824406432,0.3422882482271126
B_1-Phase_0056,noise,0.01,4,40-120,0.05643167195969141,0.113186070740666,0.0185530175593569,0.6577117517728874
B_1-Phase_0056,noise,0.03,0,1-5,0.17050345153046073,0.03268573171714377,0.19758274766746964,0.07144084981904486
B_1-Phase_0056,noise,0.03,0,5-40,0.17050345153046073,0.03578082772059473,0.7838642347731736,0.3396430899107302
B_1-Phase_0056,noise,0.03,0,1-40,0.17050345153046073,0.03517962850349596,0.9814469824406432,0.41108393972977514
B_1-Phase_0056,noise,0.03,0,40-120,0.17050345153046073,0.3062519320746928,0.0185530175593569,0.5889160602702249
B_1-Phase_0056,noise,0.03,1,1-5,0.170310018814748,0.01619845701868272,0.19758274766746964,0.012998466035278922
B_1-Phase_0056,noise,0.03,1,5-40,0.170310018814748,0.043640979880366026,0.7838642347731736,0.37430499565875097
B_1-Phase_0056,noise,0.03,1,1-40,0.170310018814748,0.039672938919124545,0.9814469824406432,0.3873034616940299
B_1-Phase_0056,noise,0.03,1,40-120,0.170310018814748,0.3629255484581976,0.0185530175593569,0.6126965383059702
B_1-Phase_0056,noise,0.03,2,1-5,0.1720025392981441,0.01217649490505576,0.19758274766746964,0.005793129807878443
B_1-Phase_0056,noise,0.03,2,5-40,0.1720025392981441,0.03854898908032489,0.7838642347731736,0.23034908577598234
B_1-Phase_0056,noise,0.03,2,1-40,0.1720025392981441,0.03488137261606614,0.9814469824406432,0.23614221558386078
B_1-Phase_0056,noise,0.03,2,40-120,0.1720025392981441,0.4562881061172618,0.0185530175593569,0.7638577844161393
B_1-Phase_0056,noise,0.03,3,1-5,0.17386874595856236,0.012711562854344487,0.19758274766746964,0.011765856565527193
