chemistry,method,condition,truth,predicted,count
Li-La-Zr-O,raw_xrd,baseline,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,raw_xrd,baseline,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,raw_xrd,baseline,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,raw_xrd,baseline,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,sqrt_xrd,baseline,Zr2O_224,ZrO2_61,1
Li-La-Zr-O,sqrt_xrd,baseline,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,sqrt_xrd,baseline,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,sqrt_xrd,baseline,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,sqrt_xrd,baseline,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,background_subtracted_xrd,baseline,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,background_subtracted_xrd,baseline,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,background_subtracted_xrd,baseline,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,background_subtracted_xrd,baseline,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,derivative_xrd,baseline,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,derivative_xrd,baseline,ZrO_189,Li2O_225,1
Li-La-Zr-O,derivative_xrd,baseline,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,derivative_xrd,baseline,ZrO2_225,ZrO2_61,1
Li-La-Zr-O,derivative_xrd,baseline,La2O3_206,LaOOH_11,2
Li-La-Zr-O,derivative_xrd,baseline,Li4Zr3O8_141,Li7La3Zr2O12_230,1
Li-La-Zr-O,derivative_xrd,baseline,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,derivative_xrd,baseline,Li7La3Zr2O12_230,LiOH_129,1
Li-La-Zr-O,derivative_xrd,baseline,Zr3O_182,Zr3O_167,1
Li-La-Zr-O,derivative_xrd,baseline,ZrO2_137,ZrO2_62,1
Li-La-Zr-O,derivative_xrd,baseline,ZrO2_62,Li2CO3_15,1
Li-La-Zr-O,derivative_xrd,baseline,Zr3O_167,LiO2_58,1
Li-La-Zr-O,derivative_xrd,baseline,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,derivative_xrd,baseline,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_19,LiLaO2_14,1
Li-La-Zr-O,pdf_1_5,baseline,Zr2O_224,Li2CO3_15,3
Li-La-Zr-O,pdf_1_5,baseline,Li2O2_194,LiO2_58,2
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_225,ZrO2_61,2
Li-La-Zr-O,pdf_1_5,baseline,ZrO_189,Zr3O_167,1
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_19,Li2CO3_15,1
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_225,Zr2O_224,1
Li-La-Zr-O,pdf_1_5,baseline,LaOOH_11,La2O3_206,1
Li-La-Zr-O,pdf_1_5,baseline,Li4Zr3O8_141,Li2ZrO3_15,2
Li-La-Zr-O,pdf_1_5,baseline,Zr3O_182,Zr3O_167,1
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_137,ZrO2_14,1
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_14,ZrO2_19,2
Li-La-Zr-O,pdf_1_5,baseline,Li7La3Zr2O12_230,Li7La3Zr2O12_142,3
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_14,ZrO2_62,1
