chemistry,method,condition,accuracy,n
Li-La-Zr-O,raw_xrd,baseline,0.9553571428571429,112
Li-La-Zr-O,sqrt_xrd,baseline,0.9464285714285714,112
Li-La-Zr-O,background_subtracted_xrd,baseline,0.9553571428571429,112
Li-La-Zr-O,derivative_xrd,baseline,0.8571428571428571,112
Li-La-Zr-O,pdf_1_5,baseline,0.75,112
Li-La-Zr-O,pdf_5_40,baseline,0.9642857142857143,112
Li-La-Zr-O,pdf_1_40,baseline,0.9553571428571429,112
Li-La-Zr-O,pdf_40_120,baseline,0.8571428571428571,112
Li-La-Zr-O,raw_xrd,noise_0.01_trial0,0.9553571428571429,112
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial0,0.9464285714285714,112
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial0,0.9553571428571429,112
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,0.875,112
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,0.7321428571428571,112
Li-La-Zr-O,pdf_5_40,noise_0.01_trial0,0.9642857142857143,112
Li-La-Zr-O,pdf_1_40,noise_0.01_trial0,0.9553571428571429,112
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,0.8571428571428571,112
Li-La-Zr-O,raw_xrd,noise_0.01_trial1,0.9553571428571429,112
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial1,0.9464285714285714,112
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial1,0.9553571428571429,112
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,0.8571428571428571,112
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,0.7589285714285714,112
Li-La-Zr-O,pdf_5_40,noise_0.01_trial1,0.9732142857142857,112
Li-La-Zr-O,pdf_1_40,noise_0.01_trial1,0.9553571428571429,112
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,0.8571428571428571,112
Li-La-Zr-O,raw_xrd,noise_0.01_trial2,0.9464285714285714,112
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial2,0.9464285714285714,112
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial2,0.9553571428571429,112
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,0.8660714285714286,112
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,0.7321428571428571,112
Li-La-Zr-O,pdf_5_40,noise_0.01_trial2,0.9642857142857143,112
Li-La-Zr-O,pdf_1_40,noise_0.01_trial2,0.9553571428571429,112
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,0.8571428571428571,112
Li-La-Zr-O,raw_xrd,noise_0.04_trial0,0.9464285714285714,112
Li-La-Zr-O,sqrt_xrd,noise_0.04_trial0,0.9553571428571429,112
Li-La-Zr-O,background_subtracted_xrd,noise_0.04_trial0,0.9553571428571429,112
Li-La-Zr-O,derivative_xrd,noise_0.04_trial0,0.8660714285714286,112
Li-La-Zr-O,pdf_1_5,noise_0.04_trial0,0.6875,112
Li-La-Zr-O,pdf_5_40,noise_0.04_trial0,0.9642857142857143,112
Li-La-Zr-O,pdf_1_40,noise_0.04_trial0,0.9553571428571429,112
Li-La-Zr-O,pdf_40_120,noise_0.04_trial0,0.8392857142857143,112
Li-La-Zr-O,raw_xrd,noise_0.04_trial1,0.9464285714285714,112
Li-La-Zr-O,sqrt_xrd,noise_0.04_trial1,0.9375,112
