id,role,fold
A_S_008a8c505c38d000,train,0
A_S_0161f1e404703118,train,0
A_S_01dae63a8d8551c6,train,0
A_S_03378055a446a1e0,train,0
A_S_03893b8626861f37,train,0
A_S_03b4a75e3befc5bf,test,0
A_S_0405c4de22006aca,train,0
A_S_04489593606bd65f,test,0
A_S_0460b9c0af2db0d6,test,0
A_S_05b8f15ca25c65bf,validation,0
A_S_05ed2cef592c88a3,train,0
A_S_067e234cc2d31892,train,0
A_S_068e2ee64db544b3,test,0
A_S_06a4eaf08519a276,train,0
A_S_08395c0fdc35a3af,train,0
A_S_086616f7960ff206,train,0
A_S_093e101d57b0db98,train,0
A_S_095a68a3f186b3ba,test,0
A_S_09681ac6f35265eb,train,0
A_S_09c7ea2fb21cd5f7,test,0
A_S_0a0713c88c1df367,test,0
A_S_0a08d2ca309bb882,train,0
A_S_0aa9ddf0410e4edf,train,0
A_S_0aaee1139c9cfff7,train,0
A_S_0b1b6e6e7efdb6d7,train,0
A_S_0b53bd7b8dd1bd19,train,0
A_S_0bb01cdca5cafb49,validation,0
A_S_0be653716acc4902,validation,0
A_S_0c3e7846470c3162,validation,0
A_S_0c8c1303ed0b2153,train,0
A_S_0cd8c90cd1efb94a,train,0
A_S_0d650f8c03947787,test,0
A_S_0d770f3dc9e0a811,train,0
A_S_0dba479cb2551f3a,validation,0
A_S_0e710160e0144414,train,0
A_S_0ed7bd36748730aa,validation,0
A_S_0fc9c5802c0860aa,train,0
A_S_1005020e78f07dac,train,0
A_S_103e90c305c632e7,train,0
A_S_107880b70b56b88f,validation,0
A_S_110c371288bfafc9,train,0
A_S_11d79d88eb1d67eb,test,0
A_S_124ce673b2bf8235,train,0
A_S_124e54fe831850b2,validation,0
A_S_125bf8f89b687134,validation,0
A_S_13209c8cd6f622e1,train,0
A_S_132b2377331c3710,validation,0
A_S_1413e354480242c7,test,0
A_S_14edc7edceb719cc,validation,0
A_S_14f4fa0b10adaec3,train,0
A_S_1518dd7d8a3b196d,validation,0
A_S_15228c51dfa4042a,validation,0
A_S_156339aad240951f,train,0
A_S_15a6da8cf31c5423,validation,0
A_S_15bd2ce7160c48d1,train,0
A_S_1617100b76617313,test,0
A_S_17829bb4883cdf8a,train,0
A_S_179d7f7a747cb944,validation,0
A_S_17ad92a107662832,validation,0
A_S_18b147639b7e2473,train,0
A_S_18cb3bc817c25a9d,train,0
A_S_19910814fc4e56d3,test,0
A_S_19a0a8583aad74bf,train,0
A_S_19f9acc514d8b63d,test,0
A_S_1a29dd9c9dfcd54e,validation,0
A_S_1a2fd7fb75daf062,train,0
A_S_1a3dfbd8cb68091a,train,0
A_S_1a43b8a57c4320b2,validation,0
A_S_1b12d276b7980492,train,0
A_S_1b144372650ef4a9,validation,0
A_S_1b5ef06e63c42c64,train,0
A_S_1d4e9402a827a898,train,0
A_S_1e0d6dd73f4474cd,train,0
A_S_1ea65f3c55682bbf,test,0
A_S_1f2b00dbc078f5d5,train,0
A_S_1ff860748fa8c347,train,0
A_S_2019a6a28f19953a,train,0
A_S_2026f356a446600a,test,0
A_S_2032d79555418cff,validation,0
A_S_20b4ab3b26f00f9b,train,0
A_S_20f12535aab49417,test,0
A_S_2135f0f9b8270497,validation,0
A_S_214252c478288a82,train,0
A_S_22373d251d1dd940,train,0
A_S_2278a1c17044e5b2,validation,0
A_S_22857223efc80aa6,test,0
A_S_23b3d74cee25bf56,validation,0
A_S_23c1257f540b70a3,validation,0
A_S_23faed6e743c750b,test,0
A_S_25a947264da9bb26,validation,0
A_S_2603d3eb7e9bb343,train,0
A_S_269af13526155f64,train,0
A_S_26b0a7dc56ab38ba,train,0
A_S_26d704b038838f27,train,0
A_S_26e75d5143da8c17,train,0
A_S_26f93b9a06e11abc,test,0
A_S_2798f8344476759e,validation,0
A_S_27a9cf3335c3b001,validation,0
A_S_282cc7e5f92fef92,train,0
A_S_288f565484d6a70f,validation,0
A_S_28ddda2796075b27,validation,0
A_S_28e792bd932b6359,train,0
A_S_28e947d70d8cc980,test,0
A_S_28edd9f2d2c15f03,validation,0
A_S_29f05ca00981057d,train,0
A_S_29f40ac242615fc1,train,0
A_S_2a16c9e664f3dbd3,train,0
A_S_2a94172c703ed7d1,test,0
A_S_2ab54745132f00b1,validation,0
A_S_2ae87eddfb5cf398,test,0
A_S_2aedfbec2b4532a6,train,0
A_S_2ba176c1b7508243,train,0
A_S_2bf870683367c0d0,train,0
A_S_2c2b6797e9494d96,train,0
A_S_2cafb92688dfe7b8,test,0
A_S_2cbe3ee7285b9aea,train,0
A_S_2d16a5956be4dc8c,test,0
A_S_2d27a769e8a0d148,validation,0
A_S_2d92ddf4ee10aac1,train,0
A_S_2da50529b41df253,train,0
A_S_2de54d6121eaf431,validation,0
A_S_2dfd9a9b2010d4de,test,0
A_S_2fac081303c8148c,validation,0
A_S_2fde774f146e5b76,train,0
A_S_2fe12d7d50d13a63,train,0
A_S_30d77b1d8c86ae5e,train,0
A_S_317dd5cb31493835,train,0
A_S_327b249f674adcb1,train,0
A_S_32bc50fd08843ccc,test,0
A_S_32ebf822dd3735ba,test,0
A_S_335452cf40be663d,test,0
A_S_34d2fb17648202dd,train,0
A_S_35664879efdd6fff,validation,0
A_S_35754a3fb8f4a0c5,train,0
A_S_3738b6cbe731562b,train,0
A_S_37ff1995da75e0a1,train,0
A_S_3849b476dd470aee,test,0
A_S_38592616b5b899ca,test,0
A_S_392d62ea5b290455,train,0
A_S_3b0f7002f10022f4,validation,0
A_S_3b8c2ade80451834,test,0
A_S_3b9fef08a8b26be9,train,0
A_S_3d31541983cf1e02,test,0
A_S_3d8761e7addf9c62,validation,0
A_S_3db57c74e63fa729,validation,0
A_S_3f15a87d803e6874,train,0
A_S_3f2cfbd2fa85a3d3,test,0
A_S_4089f3991428e2ed,train,0
A_S_40c31383f608830a,test,0
A_S_41b77fb67321fc31,train,0
A_S_41c145309e20114b,train,0
A_S_4219d9500600c801,train,0
A_S_43717e04539e15c7,train,0
A_S_43ca0432bb04a8a5,test,0
A_S_43d830a069da6668,train,0
A_S_4456c513c8740534,train,0
A_S_44aafd7a143613eb,train,0
A_S_44fb55f695abe327,validation,0
A_S_4529d021e8621f7b,train,0
A_S_456a6e13839df403,train,0
A_S_45a3b6c49995819b,train,0
A_S_45c90459ce026755,train,0
A_S_46374ce3b9044c64,train,0
A_S_4646680a5b50eb10,train,0
A_S_466d0216d98f590b,test,0
A_S_467a89793092b80a,train,0
A_S_46b2957322e5c7c9,train,0
A_S_46d337e6fe04da01,train,0
A_S_47654d99f6159614,train,0
A_S_4863be0c048b12ad,train,0
A_S_48816b0872bf1681,validation,0
A_S_48965dd438d48d18,train,0
A_S_48f764092f2567ae,train,0
A_S_4906fb7b43e98de7,test,0
A_S_4989a5884300fa7f,train,0
A_S_4a50784daa476ab1,test,0
A_S_4a67a1d4ef7042f5,train,0
A_S_4a78b33e0a03b402,validation,0
A_S_4acec7d5fcff2dda,train,0
A_S_4b099512873a3641,test,0
A_S_4b36d06827739e2b,train,0
A_S_4b45f72224394626,train,0
A_S_4b8446c22843877b,test,0
A_S_4c7ac429bdd944a9,validation,0
A_S_4d245a6ec3b4d285,validation,0
A_S_4df6ea1163824f40,test,0
A_S_4ece97573673efa0,train,0
A_S_4ff40911365ea673,test,0
A_S_509b9007a8d1c7a2,train,0
A_S_512f95bf50846f42,train,0
A_S_51c47dfd25162f5f,train,0
A_S_51d51038d14c9b17,validation,0
A_S_5396a46b2c3a9213,test,0
A_S_53ed7e1a6b963b33,train,0
A_S_540645062d5c128d,validation,0
A_S_550ac0537a2ac9ed,train,0
A_S_5629ae2696b6636e,train,0
A_S_5662416155b96efd,train,0
A_S_566830f5c8b305cb,train,0
A_S_56ac59c085a04eff,test,0
A_S_57901577409f0d13,train,0
A_S_57deb72690d073b8,validation,0
A_S_5986a9df04bed3f2,validation,0
A_S_59913200274d2465,train,0
A_S_5a4763d35d860018,test,0
A_S_5a5236e0ade1341a,train,0
A_S_5a770d482f914679,train,0
A_S_5b2c50da22d33c3f,train,0
A_S_5ba140e93f45fd92,validation,0
A_S_5ce9b095eedaf98a,train,0
A_S_5d7ef9c284883b9e,train,0
A_S_5dcdef93b5385179,train,0
A_S_607b8c507c1ccf22,train,0
A_S_60dac5d86f6b87f1,test,0
A_S_61d7f7a2a593ff5c,train,0
A_S_61eba52dd59b9ea1,train,0
A_S_63a0176c9e23034a,validation,0
A_S_63ff92539e6ff93e,validation,0
A_S_64103ce069bbeed4,train,0
A_S_652941ad1380df19,train,0
A_S_65c4003a52e8e5a1,train,0
A_S_65eab40f2d31c0fe,validation,0
A_S_65f2b2d6307d85db,test,0
A_S_66bdeb5528e3dd6e,train,0
A_S_670e60283594e21f,train,0
A_S_6751613dfdb3b1f1,train,0
A_S_676e4e6e9c03f630,train,0
A_S_67b97988f31cc679,test,0
A_S_67fbd24c6a2ea0fb,test,0
A_S_6810160f368e2013,test,0
A_S_684417753d3a9226,train,0
A_S_686e1e7b10a88d9a,train,0
A_S_6875e5cd5dee75c4,train,0
A_S_689d4962b46f454a,train,0
A_S_68b752e8803964e3,train,0
A_S_6a177b9f6e4751fd,train,0
A_S_6a2d967c6031a068,train,0
A_S_6ac682c95aae7ac1,train,0
A_S_6af1f62b8927bc5c,train,0
A_S_6b0da8215b134df1,train,0
A_S_6b72e2226ff3744e,train,0
A_S_6c620699bc07e38a,train,0
A_S_6c9d167fccbf7100,train,0
A_S_6dc625311d14a123,test,0
A_S_6e203e8535d901de,test,0
A_S_6ed8d2bfcacfbe54,train,0
A_S_6f27d82a24d91b9b,test,0
A_S_6f9899c3bef679c1,test,0
A_S_6fc707fbd3dbc085,test,0
A_S_701c3102ef9e358b,test,0
A_S_701f268053a21fa5,test,0
A_S_70ec7c775d4132ef,train,0
A_S_70fcb4e009244bb3,validation,0
A_S_72958096b5fabdf7,train,0
A_S_72ab02f8a23c07bf,validation,0
A_S_732ea372c40369ba,validation,0
A_S_7406cc1b98cd1e1f,validation,0
A_S_7420cbc89e8abe32,validation,0
A_S_742fdf0254b1b511,train,0
A_S_7488f21c0c966021,train,0
A_S_74a3ac4ea931a967,train,0
A_S_754a832698593acc,validation,0
A_S_762ea52fe039e547,train,0
A_S_766b6801ab9a37ac,train,0
A_S_769fd43fe53f3a54,train,0
A_S_76ba8d2ba7703499,train,0
A_S_774fe743fdc4b09c,train,0
A_S_77603f8919546ee8,train,0
A_S_778321fa2a77b5ec,test,0
A_S_779698d0b76c8d07,train,0
A_S_77e373bd60147463,validation,0
A_S_79706157e99f7c6a,train,0
A_S_799d923c60440b0a,test,0
A_S_79cfa519821737ea,validation,0
A_S_79d95e446112ffc7,train,0
A_S_7ad37050cddf31f7,test,0
A_S_7b3c0f7b38770550,validation,0
A_S_7b9ce5617b05cca6,train,0
A_S_7bc0440270583088,train,0
A_S_7c1b1685b0a00df5,test,0
A_S_7c21777fc0e7c183,test,0
A_S_7c8b33a89a8e4c84,test,0
A_S_7ce4e7f422d0f896,test,0
A_S_7d3fb3652da418f3,test,0
A_S_7d57937457adeef6,test,0
A_S_7db160016cd77da7,test,0
A_S_7de2d0e2e85aefae,train,0
A_S_7ebd1658d19d164e,test,0
A_S_7ee3a7a6349dd467,train,0
A_S_7fcb4612180cb56f,validation,0
A_S_7fd9ea4856c6bcc3,validation,0
A_S_8142068a84aa425a,train,0
A_S_81daba518684c09b,train,0
A_S_82380ac966817107,train,0
A_S_8271d6343b6362c2,train,0
A_S_83919a7284bf9afd,validation,0
A_S_858163438d1e7db2,test,0
A_S_8630658aef394ece,train,0
A_S_86ae12aa7f1f9b74,test,0
A_S_8834b5183e360690,test,0
A_S_88791c092a90de8e,test,0
A_S_88ec68f624514b96,validation,0
A_S_893ae1bfe55c4b30,train,0
A_S_8a2b056ce4368eaa,train,0
A_S_8b2a45fe50a72ee5,test,0
A_S_8bf38141c0882a02,validation,0
A_S_8c9ce2bbec2c5cae,train,0
A_S_8d5f0bea52ccb94e,test,0
A_S_8d6c9da1dfcdf277,train,0
A_S_8d79233fe8896e8e,train,0
A_S_8e138b194414cae3,train,0
A_S_8e5a588430f4d79e,test,0
A_S_8f1c206704e1c20b,train,0
A_S_8fb7f1d832dc5c33,validation,0
A_S_8ff1d62db6b29b63,validation,0
A_S_9050ebad092becdf,train,0
A_S_9074b47cae77c661,train,0
A_S_907b7ed0452f92a2,train,0
A_S_907d06870795cd2f,test,0
A_S_90c79cda39729baa,train,0
A_S_913976fcaf684c12,train,0
A_S_91ffe68af9e0da4d,test,0
A_S_9244086976b64ca8,train,0
A_S_92ab0fd127ef3223,train,0
A_S_95568dc742a1c719,train,0
A_S_95b422b11998ff3c,train,0
A_S_964c4975da3dc388,test,0
A_S_973916c1a58712fc,train,0
A_S_973d4dca41727526,train,0
A_S_985504d0c8fac332,train,0
A_S_992aa3705d9c6ee2,validation,0
A_S_994f38aa760cb910,test,0
A_S_9963fe7ebd4984de,train,0
A_S_99d96dd59f93cbd3,train,0
A_S_99f26d731e051460,train,0
A_S_9a4deff3eda9f55a,train,0
A_S_9b7a0cb71be193f3,train,0
A_S_9bd12e01d7934650,train,0
A_S_9cd22c688baac2d9,train,0
A_S_9d54f2b2fa8dd7cb,train,0
A_S_9ede1f4dd095f062,train,0
A_S_9f08df599f6bbaea,test,0
A_S_9f63b089f10b59ea,validation,0
A_S_a0a065edb1dd439a,validation,0
A_S_a0b90fb20e59a7da,test,0
A_S_a0d288048230a9a1,train,0
A_S_a0e6c7bc410a21ed,train,0
A_S_a1a3acb628a9a2ce,train,0
A_S_a1c08a07a20a153c,train,0
A_S_a24727c1ddec8de5,train,0
A_S_a2fe815e2a2da685,validation,0
A_S_a31ef6111fb2cde9,test,0
A_S_a32735c61744a504,train,0
A_S_a358781db3835e58,test,0
A_S_a3631901363e2fd1,train,0
A_S_a36f6c31b8a20818,test,0
A_S_a4014aba66a6b64c,train,0
A_S_a451d8eee8f0ce4b,validation,0
A_S_a458b6ec898d0e2d,train,0
A_S_a467bfe8d6709811,test,0
A_S_a484e44e000b2175,train,0
A_S_a4b174113ec95291,train,0
A_S_a598630898353213,validation,0
A_S_a5c0f4653f437b36,train,0
A_S_a5cdbfcb3e97f7dd,train,0
A_S_a6297b21e6d2e436,train,0
A_S_a631e79cc51aa572,train,0
A_S_a6d57a37643d427e,test,0
A_S_a77c8d8faddb6a9b,train,0
A_S_a8436a55fa43815b,test,0
A_S_a8b51725ce1b97a1,train,0
A_S_a8fd900c5ddac22f,train,0
A_S_a94dd008cb184865,validation,0
A_S_a9e5544482a1610f,validation,0
A_S_aadb3a7a53eb92b2,train,0
A_S_ab73922b3775b22e,validation,0
A_S_ab98b806c218d40e,test,0
A_S_ad96e3ee2eb892f5,test,0
A_S_adcc0677eb568006,train,0
A_S_adce9f5ba47229e7,train,0
A_S_ae288cf97d6494c5,validation,0
A_S_ae58a38867eed751,test,0
A_S_ae96c2a7268bef09,test,0
A_S_af14435dbb410c07,validation,0
A_S_afb4fc724d4eff2b,validation,0
A_S_b1a348a3976bfc34,validation,0
A_S_b1f080eef559ae1a,validation,0
A_S_b25c42c495c601db,validation,0
A_S_b2f4c4b19ef2931b,train,0
A_S_b2f8acd3f584e18e,validation,0
A_S_b32ceeea06eee846,train,0
A_S_b34e3674785511e2,train,0
A_S_b3c9438193b512c9,train,0
A_S_b3fa076386b9afac,validation,0
A_S_b431ff18876d50f3,train,0
A_S_b4b7b7ffe29c3894,train,0
A_S_b55173b5829930d0,train,0
A_S_b56bd7eb717195ca,train,0
A_S_b5d6bf5f2ac9de7b,train,0
A_S_b62a928678a44aba,train,0
A_S_b6a7525d122f10fc,test,0
A_S_b6ba90111b8f306d,test,0
A_S_b780e060b745d7d7,train,0
A_S_b79366ccc5934c54,train,0
A_S_b79f56577f459c92,test,0
