run_id,role,coordination,count
Ti_coord_identified_material_r0_s113_untreated,train,4,114
Ti_coord_identified_material_r0_s113_untreated,train,5,791
Ti_coord_identified_material_r0_s113_untreated,train,6,628
Ti_coord_identified_material_r0_s113_untreated,validation,4,57
Ti_coord_identified_material_r0_s113_untreated,validation,5,273
Ti_coord_identified_material_r0_s113_untreated,validation,6,198
Ti_coord_identified_material_r0_s113_untreated,test,4,39
Ti_coord_identified_material_r0_s113_untreated,test,5,251
Ti_coord_identified_material_r0_s113_untreated,test,6,175
Ti_coord_identified_material_r0_s113_treated,train,4,114
Ti_coord_identified_material_r0_s113_treated,train,5,791
Ti_coord_identified_material_r0_s113_treated,train,6,628
Ti_coord_identified_material_r0_s113_treated,validation,4,57
Ti_coord_identified_material_r0_s113_treated,validation,5,273
Ti_coord_identified_material_r0_s113_treated,validation,6,198
Ti_coord_identified_material_r0_s113_treated,test,4,39
Ti_coord_identified_material_r0_s113_treated,test,5,251
Ti_coord_identified_material_r0_s113_treated,test,6,175
Ti_coord_identified_material_r1_s113_untreated,train,4,126
Ti_coord_identified_material_r1_s113_untreated,train,5,762
Ti_coord_identified_material_r1_s113_untreated,train,6,590
Ti_coord_identified_material_r1_s113_untreated,validation,4,48
Ti_coord_identified_material_r1_s113_untreated,validation,5,321
Ti_coord_identified_material_r1_s113_untreated,validation,6,228
Ti_coord_identified_material_r1_s113_untreated,test,4,36
Ti_coord_identified_material_r1_s113_untreated,test,5,232
Ti_coord_identified_material_r1_s113_untreated,test,6,183
Ti_coord_identified_material_r1_s113_treated,train,4,126
Ti_coord_identified_material_r1_s113_treated,train,5,762
Ti_coord_identified_material_r1_s113_treated,train,6,590
Ti_coord_identified_material_r1_s113_treated,validation,4,48
Ti_coord_identified_material_r1_s113_treated,validation,5,321
Ti_coord_identified_material_r1_s113_treated,validation,6,228
Ti_coord_identified_material_r1_s113_treated,test,4,36
Ti_coord_identified_material_r1_s113_treated,test,5,232
Ti_coord_identified_material_r1_s113_treated,test,6,183
Ti_coord_spectrum_r0_s113_untreated,train,4,129
Ti_coord_spectrum_r0_s113_untreated,train,5,767
Ti_coord_spectrum_r0_s113_untreated,train,6,619
Ti_coord_spectrum_r0_s113_untreated,validation,4,45
Ti_coord_spectrum_r0_s113_untreated,validation,5,283
Ti_coord_spectrum_r0_s113_untreated,validation,6,177
Ti_coord_spectrum_r0_s113_untreated,test,4,36
Ti_coord_spectrum_r0_s113_untreated,test,5,265
Ti_coord_spectrum_r0_s113_untreated,test,6,205
Ti_coord_spectrum_r0_s113_treated,train,4,129
Ti_coord_spectrum_r0_s113_treated,train,5,767
Ti_coord_spectrum_r0_s113_treated,train,6,619
Ti_coord_spectrum_r0_s113_treated,validation,4,45
Ti_coord_spectrum_r0_s113_treated,validation,5,283
Ti_coord_spectrum_r0_s113_treated,validation,6,177
Ti_coord_spectrum_r0_s113_treated,test,4,36
Ti_coord_spectrum_r0_s113_treated,test,5,265
Ti_coord_spectrum_r0_s113_treated,test,6,205
Ti_coord_spectrum_r1_s113_untreated,train,4,136
Ti_coord_spectrum_r1_s113_untreated,train,5,773
Ti_coord_spectrum_r1_s113_untreated,train,6,606
Ti_coord_spectrum_r1_s113_untreated,validation,4,45
Ti_coord_spectrum_r1_s113_untreated,validation,5,266
Ti_coord_spectrum_r1_s113_untreated,validation,6,194
Ti_coord_spectrum_r1_s113_untreated,test,4,29
Ti_coord_spectrum_r1_s113_untreated,test,5,276
Ti_coord_spectrum_r1_s113_untreated,test,6,201
Ti_coord_spectrum_r1_s113_treated,train,4,136
Ti_coord_spectrum_r1_s113_treated,train,5,773
Ti_coord_spectrum_r1_s113_treated,train,6,606
Ti_coord_spectrum_r1_s113_treated,validation,4,45
Ti_coord_spectrum_r1_s113_treated,validation,5,266
Ti_coord_spectrum_r1_s113_treated,validation,6,194
Ti_coord_spectrum_r1_s113_treated,test,4,29
Ti_coord_spectrum_r1_s113_treated,test,5,276
Ti_coord_spectrum_r1_s113_treated,test,6,201
V_coord_identified_material_r0_s113_untreated,train,4,871
V_coord_identified_material_r0_s113_untreated,train,5,847
V_coord_identified_material_r0_s113_untreated,train,6,824
V_coord_identified_material_r0_s113_untreated,validation,4,327
V_coord_identified_material_r0_s113_untreated,validation,5,303
V_coord_identified_material_r0_s113_untreated,validation,6,270
