element,true_class,predicted_class,mean_count
Ti,4,4,30.333333333333293
Ti,4,5,7.666666666666663
Ti,4,6,0.0
Ti,5,4,5.999999999999998
Ti,5,5,206.33333333333482
Ti,5,6,29.66666666666663
Ti,6,4,0.0
Ti,6,5,16.333333333333343
Ti,6,6,174.66666666666725
V,4,4,195.66666666666785
V,4,5,4.333333333333333
V,4,6,0.0
V,5,4,11.66666666666667
V,5,5,178.33333333333402
V,5,6,33.999999999999964
V,6,4,0.0
V,6,5,32.99999999999996
V,6,6,230.00000000000216
Cr,4,4,43.333333333333364
Cr,4,5,4.666666666666666
Cr,4,6,0.0
Cr,5,4,1.0
Cr,5,5,33.33333333333329
Cr,5,6,13.666666666666673
Cr,6,4,0.0
Cr,6,5,12.333333333333337
Cr,6,6,126.66666666666595
Mn,4,4,16.666666666666675
Mn,4,5,19.333333333333332
Mn,4,6,0.0
Mn,5,4,3.666666666666667
Mn,5,5,321.66666666666583
Mn,5,6,61.66666666666683
Mn,6,4,0.0
Mn,6,5,66.33333333333347
Mn,6,6,291.66666666666754
Fe,4,4,84.99999999999987
Fe,4,5,16.666666666666675
Fe,4,6,0.3333333333333333
Fe,5,4,16.333333333333343
Fe,5,5,256.6666666666695
Fe,5,6,35.99999999999998
Fe,6,4,0.3333333333333333
Fe,6,5,37.33333333333332
Fe,6,6,219.3333333333352
Co,4,4,44.000000000000036
Co,4,5,11.000000000000002
Co,4,6,0.0
Co,5,4,10.0
Co,5,5,70.00000000000009
Co,5,6,27.999999999999968
Co,6,4,0.0
Co,6,5,16.00000000000001
Co,6,6,165.0000000000003
Ni,4,4,14.000000000000007
Ni,4,5,1.0
Ni,4,6,0.0
Ni,5,4,4.333333333333333
Ni,5,5,69.66666666666676
Ni,5,6,21.99999999999999
Ni,6,4,0.0
Ni,6,5,9.666666666666666
Ni,6,6,216.3333333333351
Cu,4,4,26.333333333333307
Cu,4,5,25.666666666666643
Cu,4,6,0.0
Cu,5,4,4.999999999999999
Cu,5,5,217.33333333333513
Cu,5,6,6.666666666666664
Cu,6,4,0.0
Cu,6,5,12.333333333333337
Cu,6,6,44.66666666666671
