run_id,metric,value
Ti_md_identified_material_r0_s113_model,mae,0.01708997383056852
Ti_md_identified_material_r0_s113_model,r2,0.6659780090826988
Ti_md_identified_material_r1_s113_model,mae,0.01504514221025967
Ti_md_identified_material_r1_s113_model,r2,0.8242430272808987
V_md_identified_material_r0_s113_model,mae,0.013323550145330241
V_md_identified_material_r0_s113_model,r2,0.9169612570540511
V_md_identified_material_r1_s113_model,mae,0.014783172552542592
V_md_identified_material_r1_s113_model,r2,0.8994476244381239
Cr_md_identified_material_r0_s113_model,mae,0.019029511249233397
Cr_md_identified_material_r0_s113_model,r2,0.9326031413601232
Cr_md_identified_material_r1_s113_model,mae,0.01773486383394781
Cr_md_identified_material_r1_s113_model,r2,0.9467803583505615
Mn_md_identified_material_r0_s113_model,mae,0.020660061616282473
Mn_md_identified_material_r0_s113_model,r2,0.8647879399585476
Mn_md_identified_material_r1_s113_model,mae,0.019172716382269184
Mn_md_identified_material_r1_s113_model,r2,0.8802321112113185
Fe_md_identified_material_r0_s113_model,mae,0.016991141234687677
Fe_md_identified_material_r0_s113_model,r2,0.8247191767165951
Fe_md_identified_material_r1_s113_model,mae,0.019270461255476663
Fe_md_identified_material_r1_s113_model,r2,0.7723321003541032
Co_md_identified_material_r0_s113_model,mae,0.02060037732058247
Co_md_identified_material_r0_s113_model,r2,0.8727359280606781
Co_md_identified_material_r1_s113_model,mae,0.018836425026125134
Co_md_identified_material_r1_s113_model,r2,0.8857719164096182
Ni_md_identified_material_r0_s113_model,mae,0.01651675169954831
Ni_md_identified_material_r0_s113_model,r2,0.7637663418386147
Ni_md_identified_material_r1_s113_model,mae,0.016165805756512774
Ni_md_identified_material_r1_s113_model,r2,0.8342389147502323
Cu_md_identified_material_r0_s113_model,mae,0.06375649299515548
Cu_md_identified_material_r0_s113_model,r2,0.5541956596712843
Cu_md_identified_material_r1_s113_model,mae,0.06113233010958304
Cu_md_identified_material_r1_s113_model,r2,0.5310695449746008
