comparison_id,element,target,generalization,repeat,fit_seed,first,second,metric,gain,low,high,bootstrap_units
Ti_coord_identified_material_r0_s113,Ti,coord,identified_material,0,113,pointwise,multiscale,macro_f1_gain,-0.020909612405005107,-0.04766183008676568,0.0027846832678724313,213
Ti_coord_identified_material_r1_s113,Ti,coord,identified_material,1,113,pointwise,multiscale,macro_f1_gain,-0.006506834516251669,-0.04367085500374936,0.027280920257991528,213
Ti_md_identified_material_r0_s113,Ti,md,identified_material,0,113,pointwise,multiscale,mae_reduction,-0.001750550604986023,-0.002977485102558761,-0.00043192660049549525,216
Ti_md_identified_material_r1_s113,Ti,md,identified_material,1,113,pointwise,multiscale,mae_reduction,2.878542481887965e-05,-0.0009995863728411033,0.001252106924776762,216
Ti_bader_identified_material_r0_s113,Ti,bader,identified_material,0,113,pointwise,multiscale,mae_reduction,7.312098047473903e-05,-0.006812754736735201,0.006419158970216202,141
Ti_bader_identified_material_r1_s113,Ti,bader,identified_material,1,113,pointwise,multiscale,mae_reduction,0.002942296538712197,-0.001184876881062206,0.0062542925527170655,141
V_coord_identified_material_r0_s113,V,coord,identified_material,0,113,pointwise,multiscale,macro_f1_gain,0.002240768615071498,-0.011883274347532849,0.015352928663881958,404
V_coord_identified_material_r1_s113,V,coord,identified_material,1,113,pointwise,multiscale,macro_f1_gain,-0.012921825432468892,-0.029949948530048554,0.001486708961472634,404
V_md_identified_material_r0_s113,V,md,identified_material,0,113,pointwise,multiscale,mae_reduction,-0.00022382226497931652,-0.0009312245334411812,0.000451098292461775,405
V_md_identified_material_r1_s113,V,md,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.00045664542132512614,-0.0011320194201253388,6.342887397858302e-05,405
V_bader_identified_material_r0_s113,V,bader,identified_material,0,113,pointwise,multiscale,mae_reduction,-0.0008514916183035431,-0.0030228592551268885,0.00176686346472082,261
V_bader_identified_material_r1_s113,V,bader,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.0009953029944121117,-0.003779228281781942,0.0016637216383554388,261
Cr_coord_identified_material_r0_s113,Cr,coord,identified_material,0,113,pointwise,multiscale,macro_f1_gain,-0.02208548708960878,-0.04899405563744966,0.005030983582934949,163
Cr_coord_identified_material_r1_s113,Cr,coord,identified_material,1,113,pointwise,multiscale,macro_f1_gain,-0.008430613774993545,-0.03161826539833777,0.012393871008714811,163
Cr_md_identified_material_r0_s113,Cr,md,identified_material,0,113,pointwise,multiscale,mae_reduction,0.0011205965112483195,-0.0006065708535553794,0.002723705252507517,164
Cr_md_identified_material_r1_s113,Cr,md,identified_material,1,113,pointwise,multiscale,mae_reduction,-4.278759629582421e-05,-0.0020071699595461865,0.001864243126715999,164
Cr_bader_identified_material_r0_s113,Cr,bader,identified_material,0,113,pointwise,multiscale,mae_reduction,0.00013233016012376836,-0.0041471947766425574,0.004836102173227625,126
Cr_bader_identified_material_r1_s113,Cr,bader,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.0029265593485820057,-0.009146832182039114,0.002667871800359718,126
Mn_coord_identified_material_r0_s113,Mn,coord,identified_material,0,113,pointwise,multiscale,macro_f1_gain,0.0018749253770655727,-0.037778230669303046,0.04222347300924446,419
Mn_coord_identified_material_r1_s113,Mn,coord,identified_material,1,113,pointwise,multiscale,macro_f1_gain,0.00998780593561388,-0.0093267134313122,0.03775856584629413,419
Mn_md_identified_material_r0_s113,Mn,md,identified_material,0,113,pointwise,multiscale,mae_reduction,-8.395691831757437e-05,-0.0008859678296639241,0.0007240775345574793,423
Mn_md_identified_material_r1_s113,Mn,md,identified_material,1,113,pointwise,multiscale,mae_reduction,0.0004537340336432834,-0.0005004993950535866,0.001205129945783714,423
Mn_bader_identified_material_r0_s113,Mn,bader,identified_material,0,113,pointwise,multiscale,mae_reduction,-0.00023000567657821547,-0.0035265026877038795,0.002830410444722562,255
Mn_bader_identified_material_r1_s113,Mn,bader,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.0037930379659083524,-0.006931135197180193,-0.00010641910797553475,255
Fe_coord_identified_material_r0_s113,Fe,coord,identified_material,0,113,pointwise,multiscale,macro_f1_gain,0.006399884716379756,-0.009630427428207914,0.026156773617170566,389
Fe_coord_identified_material_r1_s113,Fe,coord,identified_material,1,113,pointwise,multiscale,macro_f1_gain,-0.01573993112603267,-0.035785639980293424,0.003783808574229919,389
Fe_md_identified_material_r0_s113,Fe,md,identified_material,0,113,pointwise,multiscale,mae_reduction,-0.0011805938618556187,-0.0019504173955441325,-0.00047989902684623785,393
Fe_md_identified_material_r1_s113,Fe,md,identified_material,1,113,pointwise,multiscale,mae_reduction,3.457366111385071e-05,-0.0013643288532581646,0.001615685365636328,393
Fe_bader_identified_material_r0_s113,Fe,bader,identified_material,0,113,pointwise,multiscale,mae_reduction,0.0006558973893613096,-0.004064249004633156,0.003969505736659929,255
Fe_bader_identified_material_r1_s113,Fe,bader,identified_material,1,113,pointwise,multiscale,mae_reduction,0.000956946404672282,-0.0036166585727996623,0.005684538407253206,255
Co_coord_identified_material_r0_s113,Co,coord,identified_material,0,113,pointwise,multiscale,macro_f1_gain,0.012840663891583004,-0.014477245914616368,0.04415389119723344,250
Co_coord_identified_material_r1_s113,Co,coord,identified_material,1,113,pointwise,multiscale,macro_f1_gain,-0.03083575559042273,-0.06019125496454326,0.0007507763313270588,250
Co_md_identified_material_r0_s113,Co,md,identified_material,0,113,pointwise,multiscale,mae_reduction,5.510957951953069e-05,-0.0009033426353876496,0.0008958117959863074,252
Co_md_identified_material_r1_s113,Co,md,identified_material,1,113,pointwise,multiscale,mae_reduction,2.9596212651313014e-05,-0.0010746024081586276,0.0010311331685020433,252
Co_bader_identified_material_r0_s113,Co,bader,identified_material,0,113,pointwise,multiscale,mae_reduction,-0.0006875611417433147,-0.004870423570539702,0.0031521298443450965,167
Co_bader_identified_material_r1_s113,Co,bader,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.0018325935313922154,-0.00676411258568453,0.002645583696245195,167
Ni_coord_identified_material_r0_s113,Ni,coord,identified_material,0,113,pointwise,multiscale,macro_f1_gain,0.009376629480939092,-0.030156432092025696,0.04654235647232003,214
Ni_coord_identified_material_r1_s113,Ni,coord,identified_material,1,113,pointwise,multiscale,macro_f1_gain,0.02380329263181713,-0.0069568880505469655,0.06910203848131691,214
Ni_md_identified_material_r0_s113,Ni,md,identified_material,0,113,pointwise,multiscale,mae_reduction,-0.00010904761205140015,-0.0011942620258345792,0.0008872337661289708,217
Ni_md_identified_material_r1_s113,Ni,md,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.0009467451891219912,-0.0019683730202355414,-0.00016638803838896573,217
Ni_bader_identified_material_r0_s113,Ni,bader,identified_material,0,113,pointwise,multiscale,mae_reduction,-0.0003694083261244485,-0.0037093784779191467,0.0028039659263086147,152
Ni_bader_identified_material_r1_s113,Ni,bader,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.002170155413475691,-0.006640814372213898,0.0019391216712564717,152
Cu_coord_identified_material_r0_s113,Cu,coord,identified_material,0,113,pointwise,multiscale,macro_f1_gain,0.011287608410075367,-0.022858809730464565,0.053296728800816144,233
Cu_coord_identified_material_r1_s113,Cu,coord,identified_material,1,113,pointwise,multiscale,macro_f1_gain,0.015254337288688857,-0.020658933035955347,0.045063024711232025,233
Cu_md_identified_material_r0_s113,Cu,md,identified_material,0,113,pointwise,multiscale,mae_reduction,0.00050045736094112,-0.001585317857235626,0.0024497877273008477,239
Cu_md_identified_material_r1_s113,Cu,md,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.0024779207754263358,-0.005388838786351302,0.0001930536528166503,239
Cu_bader_identified_material_r0_s113,Cu,bader,identified_material,0,113,pointwise,multiscale,mae_reduction,0.00019708780915868307,-0.00496766950615183,0.005240755013518184,155
Cu_bader_identified_material_r1_s113,Cu,bader,identified_material,1,113,pointwise,multiscale,mae_reduction,-0.004514434268516387,-0.01124377750491789,0.002633126943566538,155
