run_id,true_coordination,predicted_coordination,count
Ti_coord_identified_material_r0_s113_pointwise,4,4,22
Ti_coord_identified_material_r0_s113_pointwise,4,5,17
Ti_coord_identified_material_r0_s113_pointwise,4,6,0
Ti_coord_identified_material_r0_s113_pointwise,5,4,1
Ti_coord_identified_material_r0_s113_pointwise,5,5,221
Ti_coord_identified_material_r0_s113_pointwise,5,6,29
Ti_coord_identified_material_r0_s113_pointwise,6,4,0
Ti_coord_identified_material_r0_s113_pointwise,6,5,25
Ti_coord_identified_material_r0_s113_pointwise,6,6,150
Ti_coord_identified_material_r0_s113_multiscale,4,4,20
Ti_coord_identified_material_r0_s113_multiscale,4,5,19
Ti_coord_identified_material_r0_s113_multiscale,4,6,0
Ti_coord_identified_material_r0_s113_multiscale,5,4,1
Ti_coord_identified_material_r0_s113_multiscale,5,5,209
Ti_coord_identified_material_r0_s113_multiscale,5,6,41
Ti_coord_identified_material_r0_s113_multiscale,6,4,0
Ti_coord_identified_material_r0_s113_multiscale,6,5,17
Ti_coord_identified_material_r0_s113_multiscale,6,6,158
Ti_coord_identified_material_r1_s113_pointwise,4,4,27
Ti_coord_identified_material_r1_s113_pointwise,4,5,9
Ti_coord_identified_material_r1_s113_pointwise,4,6,0
Ti_coord_identified_material_r1_s113_pointwise,5,4,3
Ti_coord_identified_material_r1_s113_pointwise,5,5,208
Ti_coord_identified_material_r1_s113_pointwise,5,6,21
Ti_coord_identified_material_r1_s113_pointwise,6,4,0
Ti_coord_identified_material_r1_s113_pointwise,6,5,21
Ti_coord_identified_material_r1_s113_pointwise,6,6,162
Ti_coord_identified_material_r1_s113_multiscale,4,4,26
Ti_coord_identified_material_r1_s113_multiscale,4,5,10
Ti_coord_identified_material_r1_s113_multiscale,4,6,0
Ti_coord_identified_material_r1_s113_multiscale,5,4,2
Ti_coord_identified_material_r1_s113_multiscale,5,5,206
Ti_coord_identified_material_r1_s113_multiscale,5,6,24
Ti_coord_identified_material_r1_s113_multiscale,6,4,0
Ti_coord_identified_material_r1_s113_multiscale,6,5,21
Ti_coord_identified_material_r1_s113_multiscale,6,6,162
V_coord_identified_material_r0_s113_pointwise,4,4,266
V_coord_identified_material_r0_s113_pointwise,4,5,7
V_coord_identified_material_r0_s113_pointwise,4,6,0
V_coord_identified_material_r0_s113_pointwise,5,4,18
V_coord_identified_material_r0_s113_pointwise,5,5,289
V_coord_identified_material_r0_s113_pointwise,5,6,45
V_coord_identified_material_r0_s113_pointwise,6,4,0
V_coord_identified_material_r0_s113_pointwise,6,5,43
V_coord_identified_material_r0_s113_pointwise,6,6,247
V_coord_identified_material_r0_s113_multiscale,4,4,266
V_coord_identified_material_r0_s113_multiscale,4,5,6
V_coord_identified_material_r0_s113_multiscale,4,6,1
V_coord_identified_material_r0_s113_multiscale,5,4,16
V_coord_identified_material_r0_s113_multiscale,5,5,288
V_coord_identified_material_r0_s113_multiscale,5,6,48
V_coord_identified_material_r0_s113_multiscale,6,4,0
V_coord_identified_material_r0_s113_multiscale,6,5,40
V_coord_identified_material_r0_s113_multiscale,6,6,250
V_coord_identified_material_r1_s113_pointwise,4,4,265
