comparison_id,element,study,seed,generalization,delta_spectrum,delta_material,ci_low,ci_high,fraction_bootstrap_nonpositive,mae_white_material,mae_full_material,n_test_units
Ti_primary_1729,Ti,primary,1729,identified_material,0.024826007717130075,0.034811733020835796,0.011734618862536518,0.0598197305431113,0.0005,0.12294249009916215,0.08813075707832638,141
Ti_primary_2718,Ti,primary,2718,identified_material,0.0431621732663731,0.0470623293585542,0.028134241459476114,0.06755809449184262,0.0,0.1437072657139936,0.09664493635543936,141
Ti_primary_31415,Ti,primary,31415,identified_material,0.024479909897330995,0.03369373456168994,0.013748904503205905,0.05430409960384021,0.00075,0.13845225122893512,0.10475851666724516,141
Ti_primary_57721,Ti,primary,57721,identified_material,0.029085455580808786,0.05079509099002937,0.0240983349328953,0.0833244789157522,0.0,0.13528359829231806,0.08448850730228867,141
Ti_primary_81173,Ti,primary,81173,identified_material,0.0202378853297219,0.039931077413498176,0.020560887606721884,0.06387154382806004,0.0,0.12458639937898662,0.08465532196548842,141
Ti_unit_peak_normalized_1729,Ti,unit_peak_normalized,1729,identified_material,0.025661348858562832,0.03819131029454053,0.022294191574914198,0.05575024584047304,0.0,0.12294249009916215,0.08475117980462162,141
Ti_spectrum_identified_1729,Ti,spectrum_identified,1729,spectrum,0.034081823698882616,0.03408182369888263,0.023614573488780984,0.04526258412160745,0.0,0.08770151134237535,0.05361968764349273,271
Ti_spectrum_all_1729,Ti,spectrum_all,1729,spectrum,0.028861694141483235,0.028861694141483263,0.02097913285664037,0.037721309597878235,0.0,0.09349419828406964,0.06463250414258638,654
V_primary_1729,V,primary,1729,identified_material,0.09453036174844034,0.08965551980623018,0.07411025966241387,0.10548655763183447,0.0,0.16485255953827002,0.07519703973203982,261
V_primary_2718,V,primary,2718,identified_material,0.0902726563977734,0.08985434885032656,0.07241972325990444,0.10726223207836329,0.0,0.16907100359437416,0.0792166547440476,261
V_primary_31415,V,primary,31415,identified_material,0.08000197521273654,0.07449958834113993,0.060052845659696666,0.08866538502705301,0.0,0.15209915515451225,0.07759956681337234,261
V_primary_57721,V,primary,57721,identified_material,0.0635524765536337,0.07131580735435825,0.05682814901617248,0.08643987888827771,0.0,0.15167933476129034,0.08036352740693213,261
V_primary_81173,V,primary,81173,identified_material,0.0770794019564172,0.07892030565920832,0.06384172259957982,0.09482576661033112,0.0,0.15760230455645635,0.07868199889724803,261
V_unit_peak_normalized_1729,V,unit_peak_normalized,1729,identified_material,0.09082394267031085,0.08547463341115882,0.06985432838380662,0.10103092585286831,0.0,0.16485255953827002,0.07937792612711118,261
V_spectrum_identified_1729,V,spectrum_identified,1729,spectrum,0.0797281951769375,0.07972819517693751,0.06924296822292264,0.09141854690712448,0.0,0.1491843382519839,0.06945614307504636,446
