source_row,material_id,origin,bader,white_line,pred_white_line,pred_full
2223,,feff,1.4094982500000002,7728.82898989899,1.440475016452193,1.3986488249305558
870,,feff,1.3879330000000003,7725.657474747475,1.4396119537914227,1.387295969523503
1381,mp-24873,scrape,1.3205682499999998,7729.357575757575,1.4420129635791261,1.4237068497847216
1589,mp-782822,scrape,1.469734,7725.657474747475,1.4396119537914227,1.4053992443597882
2120,,feff,1.3586916666666669,7733.057676767677,1.5356538457996305,1.2559570084160057
3280,mp-793779,scrape,1.4628573333333332,7731.471919191919,1.4863023188948512,1.4741271227817463
2734,mp-776676,scrape,1.7592939166666668,7751.558181818182,1.4562695147842653,1.7486471450674619
1335,mp-540842,scrape,1.1646100000000004,7731.471919191919,1.4863023188948512,1.3425193500436514
1264,mp-33332,scrape,1.4045504000000002,7733.586262626262,1.544608646016021,1.3811892257585985
2458,,feff,1.4666027500000003,7732.000505050505,1.504244836968102,1.4579650126309525
3005,mp-849507,scrape,1.6545907499999999,7730.943333333334,1.4698258089620353,1.551398915752671
554,,feff,1.5691065,7733.057676767677,1.5356538457996305,1.5295040955715813
3528,,feff,1.5929979999999997,7736.229191919192,1.4925151661076073,1.5828823687147433
3320,,feff,1.470042333333333,7733.586262626262,1.544608646016021,1.6357896462037045
1153,mp-18941,scrape,1.3866505624999999,7755.258282828283,1.4630636023788273,1.329815320596459
1766,mp-683773,scrape,1.3957405833333334,7720.900202020202,1.3579731896385858,1.3653891060026717
2560,mp-647969,scrape,0.5769468750000002,7729.886161616161,1.447151456411078,0.5972512406944445
1298,mp-31551,scrape,1.594557666666667,7762.129898989899,1.3905833180576128,1.5362189478269237
2439,,feff,1.4572250000000002,7730.943333333334,1.4698258089620353,1.545398463542124
2433,,feff,1.420443,7727.771818181818,1.4435320641404603,1.4214585632463876
2315,,feff,1.629347,7729.357575757575,1.4420129635791261,1.6600408598541674
271,,feff,1.5667998,7727.771818181818,1.4435320641404603,1.5083262958710315
3422,mp-40761,scrape,1.4926589999999997,7727.771818181818,1.4435320641404603,1.5222799153115332
918,mp-769840,scrape,1.7485925,7726.186060606061,1.444008011596627,1.503114901083333
3348,mp-603567,scrape,1.426831,7747.858080808081,1.3272693597640508,1.421519227763431
1383,mp-24876,scrape,1.4047953333333334,7745.7437373737375,1.4278823510137921,1.396368959347451
861,mp-849357,scrape,1.551616,7726.714646464647,1.4458035053133573,1.5565946101388888
211,mp-764992,scrape,1.391291310344828,7728.82898989899,1.440475016452193,1.3535526352792022
877,,feff,1.7985309999999997,7732.000505050505,1.504244836968102,1.5454575537620574
3039,mp-540375,scrape,1.5315940000000001,7726.186060606061,1.444008011596627,1.6764395654861113
2225,,feff,1.4576669999999998,7763.18707070707,1.3811042347977698,1.3836765860077835
115,,feff,1.4240249999999999,7729.886161616161,1.447151456411078,1.4678870176458334
2612,mp-543100,scrape,1.654776,7740.457878787879,1.5227067000039933,1.5943663853018153
3447,mp-25681,scrape,1.4635309999999997,7725.1288888888885,1.4326492067783527,1.4197855914722217
2010,,feff,1.38274,7728.300404040404,1.4414381672946954,1.4144692826001986
1053,mp-776004,scrape,1.5935959999999998,7740.457878787879,1.5227067000039933,1.4884637188379621
2935,mp-19504,scrape,1.4402726875,7728.300404040404,1.4414381672946954,1.4275053266091278
2718,,feff,0.6061753333333332,7730.943333333334,1.4698258089620353,0.6416208465046295
2466,,feff,1.4090290000000003,7729.886161616161,1.447151456411078,1.4688960457706048
532,,feff,1.5612969999999997,7715.085757575757,1.5633236896094287,1.431730514660104
1369,mp-19612,scrape,1.4225069999999997,7728.300404040404,1.4414381672946954,1.4094302203829365
3300,,feff,1.4533394999999998,7726.186060606061,1.444008011596627,1.4430776573263882
2915,,feff,1.3996120000000003,7735.700606060606,1.5123913227432575,1.4389017182689252
2364,mp-617237,scrape,0.5339775000000003,7733.586262626262,1.544608646016021,0.7631830411787746
1392,mp-19141,scrape,1.5727260000000003,7743.100808080808,1.5855619825734066,1.500563642036325
2921,mp-18786,scrape,1.3333087500000003,7732.000505050505,1.504244836968102,1.343236972979498
1251,mp-19196,scrape,1.4186580000000004,7727.243232323232,1.4453764593843865,1.4429194303604505
3172,mp-767200,scrape,1.3648713333333333,7727.771818181818,1.4435320641404603,1.3404321008158075
269,mp-774082,scrape,1.5561105,7733.586262626262,1.544608646016021,1.519862105978454
519,mp-763412,scrape,1.5667069230769228,7733.057676767677,1.5356538457996305,1.5578309460606434
930,mp-765818,scrape,1.5898404999999998,7733.057676767677,1.5356538457996305,1.5776099113668607
3421,mp-25481,scrape,1.6250280000000004,7727.243232323232,1.4453764593843865,1.6850036185694452
1956,,feff,1.7296250000000004,7732.529090909091,1.5214822602709677,1.5333564521878305
3474,mp-767318,scrape,1.4278110000000002,7724.071717171717,1.4127471684538366,1.4292704983670634
2930,mp-560723,scrape,1.3897805,7724.600303030303,1.4234918179134834,1.419793551967592
1554,mp-763828,scrape,1.2883520000000002,7731.471919191919,1.4863023188948512,1.3939235636091272
2021,mp-850982,scrape,1.8320636666666668,7730.943333333334,1.4698258089620353,1.6446966598518518
1727,,feff,1.3842210000000001,7730.943333333334,1.4698258089620353,1.5251458825525797
2179,,feff,1.3808745,7730.414747474748,1.4564673091723255,1.3767386470630345
846,mp-778880,scrape,1.8159452500000002,7756.84404040404,1.3952002328439035,1.7552621759600135
1724,,feff,1.4600822500000001,7726.186060606061,1.444008011596627,1.4501619804186512
724,,feff,1.5907823749999999,7733.057676767677,1.5356538457996305,1.549370360907407
1367,mp-25740,scrape,1.4354966666666666,7727.243232323232,1.4453764593843865,1.453506912667328
2414,mp-765839,scrape,1.4976789999999998,7725.1288888888885,1.4326492067783527,1.4267343764563494
694,mp-853147,scrape,1.5646675,7728.300404040404,1.4414381672946954,1.5560394694166666
985,mp-777605,scrape,1.582128,7733.057676767677,1.5356538457996305,1.5551334876666665
791,,feff,1.5760446666666663,7730.943333333334,1.4698258089620353,1.5048867886862534
1014,,feff,1.547513875,7737.814949494949,1.4482833330678553,1.5342745511449432
1524,mp-540093,scrape,1.717645,7741.515050505051,1.5715673166843065,1.6643832916597225
