source_row,material_id,origin,bader,white_line,pred_white_line,pred_full
1445,mp-504356,scrape,1.500381,6008.50397979798,1.8709893699052926,1.4485054765456589
2235,,feff,0.9029280000000002,6007.4416363636365,1.864869216621373,1.6975412264972018
442,,feff,1.2351580000000002,6013.284525252526,1.9250263327708739,1.5430618323967062
463,,feff,2.0552007499999996,6033.46905050505,2.077821537428359,2.0858923157081057
177,,feff,1.7860255,6011.159838383838,1.85720261569543,1.8495919259739553
400,,feff,2.0132580000000004,6015.4092121212125,2.0071531845451123,1.9868578065729559
1927,,feff,1.9217973333333331,6010.097494949495,1.8543546730121259,1.9018773626821368
2529,,feff,2.1336325,6014.878040404041,1.9913303998064062,2.1202766207370973
70,,feff,1.8192509999999995,6009.0351515151515,1.8658104441174281,1.8030319621636397
687,mp-585323,scrape,1.9620980000000001,6006.379292929293,1.818273075481816,1.9646955020889505
1223,mp-777464,scrape,1.753119666666666,6012.753353535353,1.9022932525133716,1.797150075263336
510,mp-781054,scrape,2.1172263333333334,6015.940383838384,2.018080221347961,2.090879014733094
947,,feff,1.5177811250000002,6012.2221818181815,1.8824352097230486,1.5227683724837238
1652,,feff,1.2990370000000002,6018.5962424242425,2.0109130645266386,1.5074219760759657
1252,,feff,1.876462,6011.159838383838,1.85720261569543,1.864461521754149
1249,,feff,1.6294619999999993,6011.69101010101,1.867056851114527,1.7347300711754041
2275,,feff,1.8569820000000004,6010.097494949495,1.8543546730121259,1.8791112359758924
2261,,feff,2.0389167499999994,6009.566323232323,1.8593201195608855,1.9793485216814612
202,,feff,2.027247,6010.6286666666665,1.853161748257669,2.0960314699987648
267,,feff,2.1056230833333327,6032.406707070707,2.0725131683496003,2.0929493875476717
2113,,feff,1.22513,6001.067575757576,1.1667274056522419,1.2074345548294139
1795,,feff,1.8837223333333337,6010.097494949495,1.8543546730121259,1.9085173032551441
533,mp-776703,scrape,2.097847,6034.531393939394,2.0843096962435066,2.109538427120027
2203,,feff,1.5760264999999998,6010.097494949495,1.8543546730121259,1.4493300084874723
2398,,feff,2.142466,6009.0351515151515,1.8658104441174281,2.1063629764636267
2316,,feff,2.011107,6012.753353535353,1.9022932525133716,1.925577800500289
1330,,feff,2.178722666666667,6008.50397979798,1.8709893699052926,2.1596083366055687
36,mp-776999,scrape,1.7524629999999997,6010.097494949495,1.8543546730121259,1.8506315972633423
1852,,feff,1.5165959999999998,6001.067575757576,1.1667274056522419,1.5257389705081328
1499,mp-560078,scrape,2.0381135000000006,6034.000222222222,2.0809797218195167,2.100059750382238
871,mp-777496,scrape,2.015703333333333,6013.8156969696975,1.9487174220390788,2.011432777448809
973,,feff,1.8392675,6010.097494949495,1.8543546730121259,1.7805969243557178
1122,mp-767104,scrape,1.431393,6009.0351515151515,1.8658104441174281,1.5143141724772957
775,mp-782662,scrape,1.8032359999999992,6011.69101010101,1.867056851114527,1.806558623786617
2299,,feff,1.21098825,6001.598747474748,1.204786068466154,1.3648982552239348
343,,feff,1.770429,6011.159838383838,1.85720261569543,1.8156982179628693
877,mp-777715,scrape,2.0141872307692306,6011.69101010101,1.867056851114527,2.0142735441671715
