source_row,material_id,origin,bader,white_line,pred_white_line,pred_full
5448,mp-780484,scrape,1.5215247499999998,6557.674848484849,1.7243996558599475,1.56914635553502
8482,,feff,1.8899179999999998,6557.674848484849,1.7243996558599475,1.9687621172946537
2572,,feff,1.9488560000000001,6562.999797979798,1.9086197268000253,1.9012017880531784
3687,mp-849428,scrape,1.4519225000000002,6546.492454545454,1.513518783186813,1.5421727957024762
6485,mp-41742,scrape,1.773987,6558.207343434344,1.7636457384137525,1.7851589512448334
2546,,feff,1.5248259999999991,6557.142353535353,1.6833846505283767,1.6527073886510217
4022,mp-767199,scrape,1.5312313333333332,6553.947383838384,1.5321204918093851,1.5543151926504923
1962,,feff,1.831365,6544.362474747474,1.5828452274929496,1.7752388329035158
5974,mp-19315,scrape,1.616574,6552.349898989899,1.5391934507626708,1.5250473602265555
8285,,feff,2.097602,6559.804828282829,1.8553884863755774,2.0898174974343147
3530,,feff,1.842066,6560.869818181818,1.8908407855355487,1.9264550183117852
6042,,feff,1.7669370000000004,6557.142353535353,1.6833846505283767,1.7045120834945482
7662,,feff,1.465732,6549.154929292929,1.4862292508491124,1.439629542090273
7936,,feff,1.6335985000000002,6551.817404040404,1.5402309377369812,1.5814769434840508
1901,mp-19001,scrape,1.9700202500000001,6560.337323232323,1.8755729302947164,2.0291783899163223
857,,feff,1.5865509999999992,6565.6622727272725,1.8525118238613634,1.6281175310653542
3031,,feff,1.7867286666666662,6560.337323232323,1.8755729302947164,1.8308214562511984
2620,mp-36884,scrape,1.4451857499999998,6554.479878787879,1.538333608281576,1.4477213361829466
3388,,feff,1.7375410000000002,6561.402313131313,1.901570176864415,1.7585277907855115
5195,,feff,1.7838639999999995,6559.272333333333,1.8299557993677602,1.5679516855581328
4051,,feff,1.9354612,6559.804828282829,1.8553884863755774,1.893588026802486
5997,mp-542432,scrape,1.8926755000000002,6557.142353535353,1.6833846505283767,1.6447220949401313
6212,mp-764933,scrape,1.8191160000000002,6559.804828282829,1.8553884863755774,1.903691906085922
3034,,feff,1.7867286666666662,6560.337323232323,1.8755729302947164,1.8178419375399395
2579,mp-19227,scrape,1.6698315,6561.934808080808,1.908035046145667,1.6865766071931385
5719,mp-540121,scrape,1.7442166666666665,6559.804828282829,1.8553884863755774,1.6993389625569082
7796,,feff,2.1308995,6560.337323232323,1.8755729302947164,2.118342085116681
6630,,feff,1.7391109999999994,6556.077363636364,1.6062825175604776,1.7478289850336366
8206,,feff,2.066489,6559.804828282829,1.8553884863755774,2.072145566226895
2405,mp-767998,scrape,1.3985522222222224,6555.5448686868685,1.5754999839574513,1.403932171924776
3184,mp-767728,scrape,1.6719610000000005,6560.337323232323,1.8755729302947164,1.642647182115387
