source_row,material_id,origin,bader,white_line,pred_white_line,pred_full
334,mp-853227,scrape,1.353892,8354.435171717172,1.3420102093714152,1.4424943557362688
1458,mp-1013796,scrape,1.5097052500000006,8353.380161616162,1.3074274995316106,1.4230659120201727
627,mp-770220,scrape,1.4474549999999997,8348.105111111112,1.337153940659704,1.4740468218911635
11,mp-767815,scrape,1.2907368333333331,8352.852656565656,1.298084814237839,1.280199622466792
3023,mp-775171,scrape,1.3494719999999998,8350.21513131313,1.3535332029358353,1.4050658927537658
2509,mp-32389,scrape,1.4076529999999998,8348.632616161616,1.3466968907250767,1.42937327310239
2462,mp-767975,scrape,1.2979690000000002,8348.632616161616,1.3466968907250767,1.260712978589695
2717,mp-775405,scrape,1.3594439999999999,8348.632616161616,1.3466968907250767,1.412041237084525
285,mp-640147,scrape,1.3738231250000001,8353.380161616162,1.3074274995316106,1.3704280867350631
741,mp-765670,scrape,1.3234879999999993,8353.380161616162,1.3074274995316106,1.2864675542061221
375,mp-762388,scrape,1.3603333333333332,8356.017686868687,1.3626758260465819,1.3585701043916452
2272,mp-540286,scrape,1.4467395000000005,8350.21513131313,1.3535332029358353,1.3865597407647023
908,mp-690572,scrape,1.3629326666666668,8354.435171717172,1.3420102093714152,1.339391227982486
1880,mp-765506,scrape,1.3081326666666662,8350.742636363637,1.3413060717689342,1.2641549495480944
2805,mp-769504,scrape,1.3501772500000002,8349.687626262627,1.3581212717345201,1.4069123200564777
2674,mp-767260,scrape,1.3605853333333335,8350.742636363637,1.3413060717689342,1.3846464157485594
2570,mp-768098,scrape,1.4069554999999996,8349.687626262627,1.3581212717345201,1.4422159924457336
2897,mp-775992,scrape,1.3554106666666665,8353.907666666666,1.323729225705396,1.339538694843847
1466,mp-775091,scrape,1.2131255000000003,8353.907666666666,1.323729225705396,1.1819405937660306
2243,mp-504371,scrape,1.2970743333333339,8348.632616161616,1.3466968907250767,1.4098810244006308
26,mp-705519,scrape,1.2695333999999998,8352.325151515151,1.2985747196125286,1.271359398059596
2642,mp-775507,scrape,1.312303,8350.21513131313,1.3535332029358353,1.2847308899643042
2360,mp-565580,scrape,1.3077945,8355.490181818182,1.3644211173322933,1.2406782320619938
1407,mp-775517,scrape,1.3773806666666666,8350.742636363637,1.3413060717689342,1.3297644542864977
2065,mp-767900,scrape,1.1889319999999994,8350.742636363637,1.3413060717689342,1.3434420397072204
2029,mp-769856,scrape,1.2635520000000007,8352.325151515151,1.2985747196125286,1.2630616118514468
1644,mp-778695,scrape,1.2742369999999994,8352.325151515151,1.2985747196125286,1.2451664861211944
2591,mp-850155,scrape,1.2905615,8348.105111111112,1.337153940659704,1.304362414481711
2187,mp-777039,scrape,1.3599420000000002,8370.260323232324,1.3484627366907,1.3121812636802608
293,mp-780633,scrape,1.4169983333333331,8350.21513131313,1.3535332029358353,1.4236401616311394
2001,mp-765909,scrape,1.2695259999999997,8353.380161616162,1.3074274995316106,1.3067906134762846
2334,mp-32314,scrape,1.408445,8349.687626262627,1.3581212717345201,1.391830579397717
2849,mp-777148,scrape,1.2482363333333328,8349.16012121212,1.3549687389492429,1.2457548932635976
899,mp-776065,scrape,1.4394181666666668,8350.742636363637,1.3413060717689342,1.310630032720966
2978,mp-566629,scrape,1.1661954999999997,8349.16012121212,1.3549687389492429,1.3976180944692957
27,mp-656884,scrape,1.275576444444444,8352.852656565656,1.298084814237839,1.27082761721598
2601,mp-775512,scrape,1.352064,8349.687626262627,1.3581212717345201,1.367892869235057
1404,mp-775456,scrape,1.3164410000000002,8371.315333333334,1.3739566816225768,1.3222917678709012
2827,mp-776680,scrape,1.4460006666666672,8349.687626262627,1.3581212717345201,1.4362120758298216
2840,mp-776916,scrape,1.4101420000000005,8349.16012121212,1.3549687389492429,1.33708702557775
2379,mp-566578,scrape,1.263766,8348.632616161616,1.3466968907250767,1.2993557954242014
2532,mp-19220,scrape,1.3027302500000002,8350.21513131313,1.3535332029358353,1.2318197576326415
2962,mp-40575,scrape,1.3825535000000002,8350.21513131313,1.3535332029358353,1.3960379977785347
2105,mp-777201,scrape,1.2582781111111112,8350.742636363637,1.3413060717689342,1.223446948369468
1248,mp-764857,scrape,1.4305145000000001,8349.16012121212,1.3549687389492429,1.3539979993387123
83,mp-768079,scrape,1.335689,8353.380161616162,1.3074274995316106,1.317473726457344
74,mp-782704,scrape,1.456473833333333,8351.270141414141,1.3245865735418756,1.3998974714955257
2374,mp-566896,scrape,1.4164535000000003,8351.270141414141,1.3245865735418756,1.3303453301739154
2125,mp-765057,scrape,1.1754476666666662,8352.852656565656,1.298084814237839,1.244461743040402
12,mp-767815,scrape,1.2907368333333331,8352.852656565656,1.298084814237839,1.2489734504092438
1106,mp-765679,scrape,1.3717146666666669,8354.962676767676,1.3569265256287426,1.3105081280072468
1383,mp-762425,scrape,1.2711044999999999,8357.600202020201,1.3131141409540446,1.189666282520803
2055,mp-767861,scrape,1.1760790000000005,8355.490181818182,1.3644211173322933,1.3164017776591133
2558,mp-764918,scrape,1.4296629999999997,8349.16012121212,1.3549687389492429,1.435738822692099
2438,mp-25601,scrape,1.1666084999999997,8349.687626262627,1.3581212717345201,1.1297396351599889
1039,mp-19135,scrape,1.3970835000000001,8348.632616161616,1.3466968907250767,1.458485058082683
48,mp-768104,scrape,1.361218076923077,8354.962676767676,1.3569265256287426,1.3699047741561778
1772,mp-764831,scrape,1.3759630000000005,8352.852656565656,1.298084814237839,1.2474792696821642
798,mp-632491,scrape,1.4547552499999996,8354.962676767676,1.3569265256287426,1.3981272186039189
2831,mp-776853,scrape,1.3160175,8349.687626262627,1.3581212717345201,1.3303952557849004
2996,mp-542790,scrape,1.359254,8348.105111111112,1.337153940659704,1.3324580760016278
208,mp-765666,scrape,1.3508268,8355.490181818182,1.3644211173322933,1.3297695239906886
1014,mp-541511,scrape,1.37259725,8351.797646464647,1.3085654952890096,1.3779143819121198
316,mp-764814,scrape,1.3671244444444441,8353.380161616162,1.3074274995316106,1.3679163935285341
3030,mp-767290,scrape,1.1058529999999998,8347.050101010102,1.3240441365153939,1.2905178233121282
1902,mp-769674,scrape,1.0546990000000003,8349.16012121212,1.3549687389492429,1.1820824454622358
684,mp-775542,scrape,1.3774610000000003,8351.270141414141,1.3245865735418756,1.3409473999676007
893,mp-19072,scrape,1.3222952500000003,8351.270141414141,1.3245865735418756,1.1556740292362129
2123,mp-765893,scrape,1.1235229999999996,8368.677808080807,1.311446917868924,1.3102698228318082
2201,mp-768050,scrape,1.2769529999999998,8352.852656565656,1.298084814237839,1.3084356022509422
1663,mp-778768,scrape,1.373049,8353.380161616162,1.3074274995316106,1.3481039456855932
2505,mp-540153,scrape,1.4740269999999995,8345.995090909091,1.308407603674511,1.4133837061484158
2367,mp-565699,scrape,1.3674325000000005,8351.797646464647,1.3085654952890096,1.3249873109493602
2954,mp-776052,scrape,1.293635,8349.16012121212,1.3549687389492429,1.3185132130854236
2786,mp-766922,scrape,1.3313359999999996,8355.490181818182,1.3644211173322933,1.3745002911770314
695,mp-977100,scrape,0.8230269999999997,8343.88507070707,1.1437926958132665,1.2174196296904032
3013,mp-504104,scrape,1.4737619999999998,8379.755414141415,1.4437840716023493,1.4361872512903209
1936,mp-777140,scrape,0.9062079999999995,8353.380161616162,1.3074274995316106,1.1875431262280456
769,mp-773252,scrape,1.3592046666666662,8355.490181818182,1.3644211173322933,1.333381823176548
1011,mp-32393,scrape,1.5194740000000007,8350.742636363637,1.3413060717689342,1.4741628650668774
638,mp-778713,scrape,1.3885377499999998,8357.072696969697,1.3347669273701206,1.4267048914160982
2456,mp-766736,scrape,1.2512062857142856,8352.325151515151,1.2985747196125286,1.2117135448690257
2895,mp-775992,scrape,1.3554106666666665,8348.632616161616,1.3466968907250767,1.3884069900081564
2716,mp-775405,scrape,1.3594439999999999,8349.16012121212,1.3549687389492429,1.3722308030885708
896,mp-690528,scrape,1.3352340000000003,8353.907666666666,1.323729225705396,1.326133799546709
2010,mp-777896,scrape,1.3265225000000003,8351.797646464647,1.3085654952890096,1.2830701446552306
1058,mp-25591,scrape,1.3233552500000005,8350.742636363637,1.3413060717689342,1.3043103722511262
2843,mp-776920,scrape,1.3025914999999992,8349.16012121212,1.3549687389492429,1.4178156967546243
1881,mp-776903,scrape,1.116695875,8361.820242424243,1.2222292814528202,1.1218714662891132
2800,mp-767547,scrape,1.352093,8345.995090909091,1.308407603674511,1.392311783883344
900,mp-776065,scrape,1.4394181666666668,8348.632616161616,1.3466968907250767,1.4011140959008475
2942,mp-767869,scrape,1.3215935,8348.632616161616,1.3466968907250767,1.2920754937497387
2937,mp-767868,scrape,1.3295602499999997,8347.577606060606,1.3294001447395427,1.340612569369507
2417,mp-25099,scrape,1.060428,8349.16012121212,1.3549687389492429,1.5456507302398597
1671,mp-770400,scrape,1.342104,8351.270141414141,1.3245865735418756,1.422369081500487
2441,mp-19470,scrape,1.3656217857142858,8349.16012121212,1.3549687389492429,1.3446857502160248
1640,mp-763542,scrape,1.238671,8349.16012121212,1.3549687389492429,1.3572215683956155
2024,mp-776671,scrape,1.1425362500000005,8352.325151515151,1.2985747196125286,1.198870504170866
740,mp-769727,scrape,1.3917275,8353.907666666666,1.323729225705396,1.3666905864012804
142,mp-635257,scrape,1.3532860000000007,8351.270141414141,1.3245865735418756,1.4215892441374882
2706,mp-775346,scrape,1.2246365,8350.21513131313,1.3535332029358353,1.2606880125118907
1709,mp-779266,scrape,1.2845110000000002,8358.127707070707,1.2894899794393948,1.186528803084718
1133,mp-770397,scrape,1.3986639999999992,8353.907666666666,1.323729225705396,1.3339333884470674
72,mp-782704,scrape,1.456473833333333,8349.687626262627,1.3581212717345201,1.4059691139869948
1483,mp-767311,scrape,1.1662684999999993,8348.632616161616,1.3466968907250767,1.2249216413952608
2860,mp-777420,scrape,1.4456820000000004,8348.105111111112,1.337153940659704,1.4155735674169243
981,mp-540821,scrape,1.3184079999999998,8349.687626262627,1.3581212717345201,1.305075958248349
372,mp-762387,scrape,1.3876618,8356.017686868687,1.3626758260465819,1.3758386564896639
825,mp-771927,scrape,1.3226868000000003,8353.907666666666,1.323729225705396,1.3233118445378302
748,mp-777116,scrape,1.3940800000000004,8357.072696969697,1.3347669273701206,1.4128408105641885
2511,mp-540367,scrape,1.6447880000000001,8351.270141414141,1.3245865735418756,1.372141730665732
2373,mp-566823,scrape,1.3726850000000006,8351.797646464647,1.3085654952890096,1.298731328855598
2659,mp-779223,scrape,1.2028543333333328,8353.380161616162,1.3074274995316106,1.1630650904905824
1923,mp-769754,scrape,1.4584905,8352.325151515151,1.2985747196125286,1.385634565567469
1614,mp-766070,scrape,1.3301105000000002,8356.017686868687,1.3626758260465819,1.3567338720683266
3062,mp-776757,scrape,1.3031686666666669,8353.380161616162,1.3074274995316106,1.3791725728733533
1647,mp-766636,scrape,1.3224043333333337,8356.545191919193,1.3521311717900701,1.3180013300179871
2344,mp-32383,scrape,1.3594352499999998,8352.852656565656,1.298084814237839,1.3931506358943315
145,mp-694965,scrape,1.3838240000000002,8356.017686868687,1.3626758260465819,1.3574736217275576
2229,mp-504139,scrape,1.4087194999999997,8352.852656565656,1.298084814237839,1.396527155656906
