source_row,material_id,origin,bader,white_line,pred_white_line,pred_full
1502,mp-765623,scrape,2.2413346666666665,5487.138545454545,2.1361623015487616,2.254155299929894
1610,,feff,1.9737146666666667,5486.075292929293,2.0888522197509554,1.9874370657941918
1322,,feff,2.2995157999999996,5487.670171717172,2.1698618252274455,2.373933755217593
4736,mp-769572,scrape,2.211994666666667,5487.138545454545,2.1361623015487616,2.0932651023873547
3008,,feff,1.5579839999999998,5485.012040404041,2.0727755227424565,1.5351327219067465
3816,mp-770365,scrape,2.1838440000000006,5499.36594949495,2.348047874239936,2.1178032943055562
4294,mp-850093,scrape,2.0169076666666665,5488.201797979798,2.2066521083882646,2.140421371660714
6688,,feff,1.89666225,5482.353909090909,2.0319122052058876,1.9328382857187494
1503,mp-765623,scrape,2.2413346666666665,5488.201797979798,2.2066521083882646,2.2631823837407405
3151,,feff,2.2338240000000003,5482.353909090909,2.0319122052058876,2.2879196841666674
2788,mp-764908,scrape,2.1734989999999996,5486.075292929293,2.0888522197509554,2.163333184037036
3843,,feff,1.9712969999999999,5485.012040404041,2.0727755227424565,1.9204628395536611
2040,mp-690555,scrape,1.6256932500000003,5484.480414141414,2.072304750471744,1.7825503089583339
6305,mp-776659,scrape,2.03247775,5482.353909090909,2.0319122052058876,2.0211328055972215
6816,,feff,2.6013585,5500.9608282828285,2.3098007649362375,2.295630207569444
2045,mp-625457,scrape,2.2651261666666667,5489.265050505051,2.27488752367345,2.310490817718915
5790,,feff,2.075553,5483.417161616162,2.067931100311886,2.053365525902777
6685,,feff,1.909008,5484.480414141414,2.072304750471744,1.9142971098194443
6373,,feff,2.4311369999999997,5485.5436666666665,2.0773661813015094,2.3626835453333324
3504,,feff,1.9837179999999996,5487.670171717172,2.1698618252274455,2.06104916388889
1433,,feff,1.9963490000000004,5487.138545454545,2.1361623015487616,1.9852128488888885
3786,mp-631621,scrape,2.18426,5503.087333333334,2.2782163750429887,2.348476270031745
5102,mp-567038,scrape,2.29823725,5506.808717171717,2.27553837771348,2.3066930397043652
4443,mp-777625,scrape,2.2293019999999997,5489.796676767677,2.299562217102456,2.3680107433273814
4432,mp-765925,scrape,2.4500216666666663,5488.201797979798,2.2066521083882646,2.282337567101851
3939,,feff,1.9073797499999996,5486.075292929293,2.0888522197509554,1.8951182558762631
7044,,feff,2.470195,5483.948787878788,2.0721242377328224,2.276620246208333
5409,mp-19075,scrape,2.4342630625,5506.277090909091,2.285754482506421,2.318719795212301
5931,,feff,1.8716410000000003,5492.454808080808,2.2910447164176238,1.9688763905555557
313,mp-765069,scrape,1.8478381333333331,5486.60691919192,2.1085517057893846,1.8917239563360402
1635,mp-777494,scrape,2.3058506666666667,5485.012040404041,2.0727755227424565,2.289344261624999
3748,mp-778623,scrape,1.9014955,5485.5436666666665,2.0773661813015094,1.9426029329444443
699,mp-851269,scrape,2.3480615,5502.555707070707,2.2800657764252183,2.327133394936509
5190,mp-580503,scrape,2.2431475,5488.201797979798,2.2066521083882646,2.3016568752986104
1857,mp-850239,scrape,2.342457,5505.745464646465,2.290867704751453,2.298423501178571
5010,mp-775527,scrape,2.3464861999999997,5487.138545454545,2.1361623015487616,2.3465732367893524
3656,mp-19067,scrape,2.2630055000000002,5501.492454545455,2.29650596910698,2.375876764109127
4868,mp-765550,scrape,2.2688689999999996,5488.201797979798,2.2066521083882646,2.3378626862364422
5137,mp-654373,scrape,2.211225625,5492.454808080808,2.2910447164176238,2.126240876972222
6822,,feff,2.6588905000000005,5491.391555555556,2.3165062332638837,2.4700444950486107
6630,,feff,2.148368,5494.049686868687,2.256350478984816,1.9857708792500008
7051,,feff,2.349874,5485.5436666666665,2.0773661813015094,2.2695339940416672
1248,mp-778790,scrape,1.8261974000000003,5487.138545454545,2.1361623015487616,1.9810187079224832
2929,,feff,1.8126326,5484.480414141414,2.072304750471744,1.8539010389267667
3441,,feff,2.3429615000000004,5487.670171717172,2.1698618252274455,2.3221239212744713
4655,mp-765361,scrape,1.934602125,5485.5436666666665,2.0773661813015094,1.9907884091835322
6324,mp-776014,scrape,2.3463281999999994,5487.138545454545,2.1361623015487616,2.368596332060186
2707,,feff,2.1702934999999997,5488.733424242424,2.2428859603173152,2.2183221629166665
4449,,feff,1.97286475,5487.670171717172,2.1698618252274455,1.973694217424604
2306,mp-505821,scrape,2.3335117499999996,5485.5436666666665,2.0773661813015094,2.331346315899471
4987,mp-648179,scrape,2.4169481250000002,5495.644565656566,2.276442260416049,2.3307601571111105
1548,mp-769783,scrape,1.8433620000000008,5488.733424242424,2.2428859603173152,2.057269887906746
6990,,feff,2.6433075,5490.328303030303,2.3148960798429132,2.5389964713101856
3231,mp-764785,scrape,1.9761219999999997,5487.670171717172,2.1698618252274455,1.9802712474305568
1477,mp-783905,scrape,1.974812375,5487.670171717172,2.1698618252274455,1.9444053014002518
5564,,feff,1.9448555,5483.948787878788,2.0721242377328224,2.225174115598545
4545,mp-642284,scrape,2.2713884999999996,5486.075292929293,2.0888522197509554,2.328690476296627
2083,mp-19660,scrape,2.2837947499999998,5504.682212121213,2.28852343397416,2.279207912617063
3507,mp-767777,scrape,2.319375000000001,5485.5436666666665,2.0773661813015094,2.2733736454722226
6579,,feff,2.413797,5489.796676767677,2.299562217102456,2.3396616676521163
4049,mp-764774,scrape,2.3493400000000007,5505.213838383838,2.291377165974347,2.3166257448333347
2885,mp-775681,scrape,1.8065953333333329,5481.290656565657,1.9444544120139775,2.0212925710277765
3366,,feff,1.5521310000000001,5478.632525252526,1.5930215493860729,1.5535549428571422
5705,mp-850764,scrape,2.3365697499999993,5483.948787878788,2.0721242377328224,2.289010737083333
6739,,feff,2.063362,5483.948787878788,2.0721242377328224,2.0155532945277783
7060,,feff,1.983781,5490.859929292929,2.3202648001588093,2.1836223156666663
4424,mp-765914,scrape,2.339257,5487.138545454545,2.1361623015487616,2.2777797154355155
4393,mp-622619,scrape,2.4659805,5488.733424242424,2.2428859603173152,2.2996439417427257
6741,,feff,2.366778,5484.480414141414,2.072304750471744,2.2028873676111105
2446,mp-626879,scrape,2.2305133333333322,5489.265050505051,2.27488752367345,2.30494806274074
6017,mp-779079,scrape,1.6087524999999996,5480.2274040404045,1.8110592581010618,1.5837353441408732
3641,,feff,1.8246943333333334,5483.417161616162,2.067931100311886,1.874002210556818
4571,,feff,2.1918917499999995,5484.480414141414,2.072304750471744,2.01605526678125
902,,feff,2.409196833333333,5485.5436666666665,2.0773661813015094,2.3997243717291674
1760,mp-18883,scrape,1.9871919999999996,5482.8855353535355,2.055616153781161,2.0350099512500006
5516,mp-765620,scrape,2.30516025,5483.948787878788,2.0721242377328224,2.3176969478472222
5994,mp-770404,scrape,2.026599,5485.5436666666665,2.0773661813015094,2.019909639118055
2752,mp-764996,scrape,1.9564094999999995,5483.948787878788,2.0721242377328224,1.9949609085659723
5827,,feff,2.1770049999999994,5482.8855353535355,2.055616153781161,2.008388524791666
6460,mp-777203,scrape,2.0710146666666662,5480.75903030303,1.8820969263001655,2.0443566810590275
3362,mp-775091,scrape,1.9080271999999998,5485.5436666666665,2.0773661813015094,1.8976940210073954
3310,,feff,1.9455259999999992,5481.290656565657,1.9444544120139775,1.857571581013889
6879,,feff,2.083618,5483.948787878788,2.0721242377328224,2.0220194941354177
2398,mp-19169,scrape,2.46340425,5498.3026969696975,2.351753524716948,2.469585072766865
6352,mp-566626,scrape,2.668601,5486.075292929293,2.0888522197509554,2.3582828173816144
4894,mp-765099,scrape,2.218893,5483.948787878788,2.0721242377328224,2.262829410277777
4886,,feff,1.9452989999999997,5482.353909090909,2.0319122052058876,1.9990178781666676
4183,mp-781743,scrape,1.9180832000000003,5486.60691919192,2.1085517057893846,1.909028459428571
6144,mp-780675,scrape,2.0645180000000005,5481.290656565657,1.9444544120139775,2.0251964927361112
4635,mp-768097,scrape,2.3340303333333328,5487.138545454545,2.1361623015487616,2.3843137931699725
3928,mp-767038,scrape,1.9654355,5496.707818181819,2.312681791383537,1.9715858515972218
5579,,feff,2.2101327500000005,5487.670171717172,2.1698618252274455,2.333119315731481
5368,mp-565993,scrape,2.29039675,5497.239444444444,2.3302042596242516,2.258809518611111
3365,,feff,2.3199819999999995,5481.822282828283,1.9949232010713962,2.193735356944445
5378,mp-566090,scrape,2.4317930833333334,5492.986434343435,2.275834590341913,2.316218795053572
5966,,feff,2.2903691250000002,5486.60691919192,2.1085517057893846,2.2739519331541005
3878,,feff,1.5409050000000004,5480.75903030303,1.8820969263001655,1.9336042694652782
5182,mp-579382,scrape,2.168668,5482.8855353535355,2.055616153781161,1.979824291922618
4378,mp-765831,scrape,1.8055955,5483.948787878788,2.0721242377328224,1.9293841373333334
3724,mp-777917,scrape,2.1943034,5486.60691919192,2.1085517057893846,2.3308748548571425
5514,mp-776893,scrape,2.30119225,5485.5436666666665,2.0773661813015094,2.2839804418472225
6835,,feff,2.103008,5482.353909090909,2.0319122052058876,1.9755714899513885
7034,,feff,2.609795,5490.859929292929,2.3202648001588093,2.469646991541667
5766,mp-850892,scrape,2.073746666666666,5482.353909090909,2.0319122052058876,2.0481056835416673
5103,mp-567038,scrape,2.29823725,5504.682212121213,2.28852343397416,2.2960648755416657
5315,mp-566321,scrape,2.62785375,5491.391555555556,2.3165062332638837,2.4332863059583327
6060,,feff,2.1734349999999996,5490.859929292929,2.3202648001588093,2.2221271638888886
3982,mp-775204,scrape,1.8403759999999998,5486.075292929293,2.0888522197509554,1.9077485164141408
4125,,feff,2.2250910000000004,5481.822282828283,1.9949232010713962,2.2848498524999994
6886,,feff,2.447643,5486.075292929293,2.0888522197509554,2.272452123079364
3429,mp-767451,scrape,2.1402375000000005,5498.834323232323,2.3530868396172995,2.1301953627777785
5842,mp-775609,scrape,2.1976693333333333,5491.391555555556,2.3165062332638837,2.2575970074305562
4730,,feff,2.224372625,5498.3026969696975,2.351753524716948,2.3804398028204368
5039,,feff,2.4760391666666663,5498.834323232323,2.3530868396172995,2.3805222494444456
2154,mp-540263,scrape,2.3903024999999998,5491.391555555556,2.3165062332638837,2.420051227513889
4144,mp-767784,scrape,1.98112575,5487.670171717172,2.1698618252274455,2.0332392693055565
2833,mp-853162,scrape,2.2553954999999997,5489.796676767677,2.299562217102456,2.30970641990873
5547,mp-769590,scrape,2.0049156666666668,5488.201797979798,2.2066521083882646,2.0774451276309525
4120,,feff,2.3286803333333337,5483.417161616162,2.067931100311886,2.2606306905555553
3945,mp-640515,scrape,2.075021875,5483.417161616162,2.067931100311886,2.0130844813958344
5418,mp-645272,scrape,2.502659833333333,5487.670171717172,2.1698618252274455,2.3056587377685185
4836,,feff,2.2787155,5504.682212121213,2.28852343397416,2.300647831960318
5873,mp-767245,scrape,2.0970580000000005,5487.670171717172,2.1698618252274455,2.069928687819444
994,mp-767752,scrape,1.9478330999999998,5485.012040404041,2.0727755227424565,2.0315815899785363
3833,mp-766764,scrape,2.2119230000000005,5486.60691919192,2.1085517057893846,2.2088875936805556
5787,,feff,1.5468449999999994,5489.796676767677,2.299562217102456,1.9999871865520833
5707,mp-776765,scrape,2.1707173333333336,5482.353909090909,2.0319122052058876,2.221873621736112
4591,,feff,2.395823,5489.265050505051,2.27488752367345,2.406698342361111
268,mp-25615,scrape,2.2048109999999994,5487.670171717172,2.1698618252274455,2.0784684053194438
397,mp-775377,scrape,2.0388648333333337,5487.670171717172,2.1698618252274455,2.242150033592593
2019,mp-767913,scrape,2.35140775,5490.859929292929,2.3202648001588093,2.409393121287037
4074,mp-619577,scrape,2.1923395,5481.290656565657,1.9444544120139775,2.1289234507638892
5074,mp-19496,scrape,2.2479815,5503.087333333334,2.2782163750429887,2.3720799527936505
3703,,feff,1.541426285714286,5482.353909090909,2.0319122052058876,1.5528381398125
3489,mp-775437,scrape,2.3847563333333333,5482.8855353535355,2.055616153781161,2.3078574941666656
3335,,feff,1.5383125,5484.480414141414,2.072304750471744,1.833565412321428
614,,feff,1.9100218571428573,5485.5436666666665,2.0773661813015094,1.8827855232184338
4878,,feff,2.2095839999999995,5482.8855353535355,2.055616153781161,2.0905574797916673
6676,,feff,1.6787592499999997,5483.417161616162,2.067931100311886,1.7353961922222225
6380,mp-777070,scrape,2.0214895,5490.859929292929,2.3202648001588093,2.007554892125
4843,,feff,1.9895755,5481.290656565657,1.9444544120139775,1.9941846531250003
4262,mp-777084,scrape,1.9883265000000003,5483.948787878788,2.0721242377328224,2.060617011013889
2075,mp-776707,scrape,2.41776725,5497.239444444444,2.3302042596242516,2.3086748667083334
