run_id,metric,value
Ti_primary_1729_white_line,mae,0.09753238638112882
Ti_primary_1729_white_line,r2,0.1307271733041403
Ti_primary_1729_full,mae,0.07270637866399875
Ti_primary_1729_full,r2,0.5306895845859465
Ti_primary_2718_white_line,mae,0.12189848887660314
Ti_primary_2718_white_line,r2,0.12203796602447503
Ti_primary_2718_full,mae,0.07873631561023003
Ti_primary_2718_full,r2,0.5222397035620283
Ti_primary_31415_white_line,mae,0.09602950807599084
Ti_primary_31415_white_line,r2,0.021932727909728444
Ti_primary_31415_full,mae,0.07154959817865984
Ti_primary_31415_full,r2,0.516764903634847
Ti_primary_57721_white_line,mae,0.10024498457767683
Ti_primary_57721_white_line,r2,0.0028967003693308735
Ti_primary_57721_full,mae,0.07115952899686805
Ti_primary_57721_full,r2,0.6595643712319956
Ti_primary_81173_white_line,mae,0.0858688227339918
Ti_primary_81173_white_line,r2,0.06420002875709896
Ti_primary_81173_full,mae,0.0656309374042699
Ti_primary_81173_full,r2,0.5420771287414878
Ti_unit_peak_normalized_1729_white_line,mae,0.09753238638112882
Ti_unit_peak_normalized_1729_white_line,r2,0.1307271733041403
Ti_unit_peak_normalized_1729_full,mae,0.07187103752256599
Ti_unit_peak_normalized_1729_full,r2,0.5682912267912394
Ti_spectrum_identified_1729_white_line,mae,0.08770151134237535
Ti_spectrum_identified_1729_white_line,r2,0.1288298810338998
Ti_spectrum_identified_1729_full,mae,0.05361968764349273
Ti_spectrum_identified_1729_full,r2,0.6528550704132662
Ti_spectrum_all_1729_white_line,mae,0.09349419828406962
Ti_spectrum_all_1729_white_line,r2,0.20848948582615978
Ti_spectrum_all_1729_full,mae,0.06463250414258638
Ti_spectrum_all_1729_full,r2,0.616189262051245
V_primary_1729_white_line,mae,0.1624160249668752
V_primary_1729_white_line,r2,0.25588113150485803
V_primary_1729_full,mae,0.06788566321843487
V_primary_1729_full,r2,0.8381791275293428
V_primary_2718_white_line,mae,0.15838737916255022
V_primary_2718_white_line,r2,0.311166206585605
V_primary_2718_full,mae,0.06811472276477681
V_primary_2718_full,r2,0.8478802863114316
V_primary_31415_white_line,mae,0.14905572187486846
V_primary_31415_white_line,r2,0.3126649132271758
V_primary_31415_full,mae,0.06905374666213192
V_primary_31415_full,r2,0.8417412653339528
V_primary_57721_white_line,mae,0.13726691437812946
V_primary_57721_white_line,r2,0.3564580008052508
V_primary_57721_full,mae,0.07371443782449576
V_primary_57721_full,r2,0.8147050860384365
V_primary_81173_white_line,mae,0.14987501641171325
V_primary_81173_white_line,r2,0.27478634652071576
V_primary_81173_full,mae,0.07279561445529605
V_primary_81173_full,r2,0.8232672015001314
V_unit_peak_normalized_1729_white_line,mae,0.1624160249668752
V_unit_peak_normalized_1729_white_line,r2,0.25588113150485803
V_unit_peak_normalized_1729_full,mae,0.07159208229656436
V_unit_peak_normalized_1729_full,r2,0.8233995083168926
V_spectrum_identified_1729_white_line,mae,0.14918433825198385
V_spectrum_identified_1729_white_line,r2,0.3801367349320175
V_spectrum_identified_1729_full,mae,0.06945614307504636
V_spectrum_identified_1729_full,r2,0.8333359882382407
V_spectrum_all_1729_white_line,mae,0.1615389137073171
V_spectrum_all_1729_white_line,r2,0.283094431584317
V_spectrum_all_1729_full,mae,0.07385970109560488
V_spectrum_all_1729_full,r2,0.8283719945766788
Cr_primary_1729_white_line,mae,0.12981398400372912
Cr_primary_1729_white_line,r2,0.21977028739209326
Cr_primary_1729_full,mae,0.06420967281195017
Cr_primary_1729_full,r2,0.762123906588077
Cr_primary_2718_white_line,mae,0.12579904246045348
Cr_primary_2718_white_line,r2,0.21168833966503775
Cr_primary_2718_full,mae,0.07080852619977744
Cr_primary_2718_full,r2,0.6836582115103229
Cr_primary_31415_white_line,mae,0.13876802798556437
Cr_primary_31415_white_line,r2,0.2105092650858862
Cr_primary_31415_full,mae,0.07490478606065586
Cr_primary_31415_full,r2,0.6347666238622645
Cr_primary_57721_white_line,mae,0.14873939611141881
Cr_primary_57721_white_line,r2,0.22948056588027754
Cr_primary_57721_full,mae,0.0739943825617115
Cr_primary_57721_full,r2,0.7540454777407896
Cr_primary_81173_white_line,mae,0.13664051262056706
Cr_primary_81173_white_line,r2,0.14308477514956697
Cr_primary_81173_full,mae,0.06304493573363976
Cr_primary_81173_full,r2,0.7435408862554108
Cr_unit_peak_normalized_1729_white_line,mae,0.12981398400372912
Cr_unit_peak_normalized_1729_white_line,r2,0.21977028739209326
Cr_unit_peak_normalized_1729_full,mae,0.07301598488462326
Cr_unit_peak_normalized_1729_full,r2,0.7497584966221764
Cr_spectrum_identified_1729_white_line,mae,0.12342004044916685
Cr_spectrum_identified_1729_white_line,r2,0.19483166675268715
Cr_spectrum_identified_1729_full,mae,0.0566417996002464
Cr_spectrum_identified_1729_full,r2,0.8136723887015962
Cr_spectrum_all_1729_white_line,mae,0.14654010348521904
Cr_spectrum_all_1729_white_line,r2,0.3771801590872339
Cr_spectrum_all_1729_full,mae,0.07235072380720757
Cr_spectrum_all_1729_full,r2,0.8094015397743617
Mn_primary_1729_white_line,mae,0.14997740977534627
Mn_primary_1729_white_line,r2,0.047980624950111794
Mn_primary_1729_full,mae,0.05908415924133174
Mn_primary_1729_full,r2,0.828051877304533
Mn_primary_2718_white_line,mae,0.136217165000201
Mn_primary_2718_white_line,r2,0.07044329692878282
Mn_primary_2718_full,mae,0.05486668929330904
Mn_primary_2718_full,r2,0.8336341793579277
Mn_primary_31415_white_line,mae,0.14324463466954754
Mn_primary_31415_white_line,r2,0.18591576123119247
Mn_primary_31415_full,mae,0.070547099886277
Mn_primary_31415_full,r2,0.7449377556721624
Mn_primary_57721_white_line,mae,0.15746753466043026
Mn_primary_57721_white_line,r2,0.08744779852017248
Mn_primary_57721_full,mae,0.06703977186668902
Mn_primary_57721_full,r2,0.7593035147188499
Mn_primary_81173_white_line,mae,0.1316821624838123
Mn_primary_81173_white_line,r2,0.20094514339339198
Mn_primary_81173_full,mae,0.058006201146289925
Mn_primary_81173_full,r2,0.7942846788278904
Mn_unit_peak_normalized_1729_white_line,mae,0.14997740977534627
