element,target,metric,pointwise,poly,delta
Ti,coord,macro_f1,0.8577542846081637,0.8455130608195046,-0.012241223788659106
Ti,md,r2,0.8568084479382475,0.8428649401246417,-0.01394350781360576
Ti,bader,r2,0.571185445780216,0.5506447369824999,-0.02054070879771608
V,coord,macro_f1,0.8815989464056582,0.881905616176535,0.0003066697708767885
V,md,r2,0.9290074604658609,0.9334019670528731,0.004394506587012237
V,bader,r2,0.8298866191121167,0.8304410044135336,0.0005543853014169375
Cr,coord,macro_f1,0.8411524630819361,0.8474257916713966,0.006273328589460503
Cr,md,r2,0.8382474589330741,0.8440243812895281,0.005776922356453995
Cr,bader,r2,0.8466148846833793,0.8487298001712071,0.0021149154878278287
Mn,coord,macro_f1,0.7406174087142623,0.7422380547080203,0.0016206459937579965
Mn,md,r2,0.9193399163305295,0.9122470842586475,-0.007092832071881938
Mn,bader,r2,0.7848056287002798,0.7889908630374904,0.00418523433721063
Fe,coord,macro_f1,0.8395906316248132,0.8397508789807945,0.00016024735598130224
Fe,md,r2,0.8931831286753052,0.8869139983908002,-0.006269130284505042
Fe,bader,r2,0.7904101663755281,0.8010599561406563,0.010649789765128204
Co,coord,macro_f1,0.7908528159196169,0.7990083859333397,0.008155570013722802
Co,md,r2,0.9112086350070944,0.9019570279241256,-0.009251607082968794
Co,bader,r2,0.8196181198386943,0.7966539413357117,-0.022964178502982602
Ni,coord,macro_f1,0.8540095812084828,0.814756356602162,-0.03925322460632086
Ni,md,r2,0.8911480595685036,0.8833378252266281,-0.007810234341875555
Ni,bader,r2,0.6055329442660655,0.4818675710112926,-0.12366537325477295
Cu,coord,macro_f1,0.7846507987686984,0.7806231926075645,-0.004027606161133845
Cu,md,r2,0.697937980169654,0.6771720401312565,-0.02076594003839749
Cu,bader,r2,0.6817786381000834,0.6636561948940624,-0.018122443206021077
