element,target,representation,metric,delta,importance_spearman,top12_jaccard
Ti,coord,pointwise,macro_f1,-0.042948552319780564,0.42153015301530145,0.3333333333333333
Ti,coord,poly,macro_f1,0.003980916046499194,0.7325429951810666,0.6
Ti,md,pointwise,r2,-0.032068388047414964,0.3953795379537953,0.2631578947368421
Ti,md,poly,r2,-0.018900240632346077,0.7969752975396771,0.2631578947368421
V,coord,pointwise,macro_f1,-0.018129693956089987,0.5178517851785178,0.2
V,coord,poly,macro_f1,-0.015848659679966515,0.7397279814436954,0.5
V,md,pointwise,r2,-0.005099885936518667,0.5661086108610861,0.5
V,md,poly,r2,-0.0015766887108479288,0.9069703979806375,0.14285714285714285
Cr,coord,pointwise,macro_f1,-0.030248553540831224,0.3311491149114912,0.09090909090909091
Cr,coord,poly,macro_f1,-0.017052449103880374,0.6620234558636559,0.4117647058823529
Cr,md,pointwise,r2,0.00018640640581413237,0.6434803480348035,0.3333333333333333
Cr,md,poly,r2,0.016157314956777857,0.8708283975961151,0.4117647058823529
Mn,coord,pointwise,macro_f1,-0.029904834103808953,-0.01488148814881488,0.4117647058823529
Mn,coord,poly,macro_f1,-0.03047062554936142,0.8484206674563847,0.09090909090909091
Mn,md,pointwise,r2,-0.021583068428084218,0.4573777377737773,0.0
Mn,md,poly,r2,-0.01909180556759138,0.8223940857981009,0.2
Fe,coord,pointwise,macro_f1,-0.04502822936508022,0.25286528652865287,0.0
Fe,coord,poly,macro_f1,-0.02682267121519577,0.800342969132778,0.2631578947368421
Fe,md,pointwise,r2,-0.0077362782184566825,0.2936453645364536,0.0
Fe,md,poly,r2,-0.027519796333260627,0.8000824862471239,0.09090909090909091
Co,coord,pointwise,macro_f1,0.014166192037877057,-0.002028202820282028,0.0
Co,coord,poly,macro_f1,-0.0071173572579971145,0.8117204894597461,0.0
Co,md,pointwise,r2,-0.04032416287934715,0.2785598559855985,0.0
Co,md,poly,r2,-0.036960648847032096,0.8184279237653421,0.2
Ni,coord,pointwise,macro_f1,-0.033630793827831074,0.4462406240624062,0.043478260869565216
Ni,coord,poly,macro_f1,0.008379092823229017,0.7297645110674217,0.2
Ni,md,pointwise,r2,-0.027134499740578688,0.2911131113111311,0.0
Ni,md,poly,r2,-0.04588786448274684,0.8128027338299046,0.2
Cu,coord,pointwise,macro_f1,-0.02491575400621482,0.35741974197419735,0.0
Cu,coord,poly,macro_f1,-0.013104170096293943,0.728406278877939,0.2631578947368421
Cu,md,pointwise,r2,-0.03193948794200607,0.7940594059405939,0.2631578947368421
Cu,md,poly,r2,-0.032765275528867654,0.7812781026922767,0.2631578947368421
